Date,  ONI
01/01/1950,-1.53
01/02/1950,-1.34
01/03/1950,-1.16
01/04/1950,-1.18
01/05/1950,-1.07
01/06/1950,-0.85
01/07/1950,-0.54
01/08/1950,-0.42
01/09/1950,-0.39
01/10/1950,-0.44
01/11/1950,-0.6
01/12/1950,-0.8
01/01/1951,-0.82
01/02/1951,-0.54
01/03/1951,-0.17
01/04/1951,0.18
01/05/1951,0.36
01/06/1951,0.58
01/07/1951,0.7
01/08/1951,0.89
01/09/1951,0.99
01/10/1951,1.15
01/11/1951,1.04
01/12/1951,0.81
01/01/1952,0.53
01/02/1952,0.37
01/03/1952,0.34
01/04/1952,0.29
01/05/1952,0.2
01/06/1952,0
01/07/1952,-0.08
01/08/1952,0
01/09/1952,0.15
01/10/1952,0.1
01/11/1952,0.04
01/12/1952,0.15
01/01/1953,0.4
01/02/1953,0.6
01/03/1953,0.63
01/04/1953,0.66
01/05/1953,0.75
01/06/1953,0.77
01/07/1953,0.75
01/08/1953,0.73
01/09/1953,0.78
01/10/1953,0.84
01/11/1953,0.84
01/12/1953,0.81
01/01/1954,0.76
01/02/1954,0.47
01/03/1954,-0.05
01/04/1954,-0.41
01/05/1954,-0.54
01/06/1954,-0.5
01/07/1954,-0.64
01/08/1954,-0.84
01/09/1954,-0.9
01/10/1954,-0.77
01/11/1954,-0.73
01/12/1954,-0.66
01/01/1955,-0.68
01/02/1955,-0.62
01/03/1955,-0.69
01/04/1955,-0.8
01/05/1955,-0.79
01/06/1955,-0.72
01/07/1955,-0.68
01/08/1955,-0.75
01/09/1955,-1.09
01/10/1955,-1.42
01/11/1955,-1.67
01/12/1955,-1.47
01/01/1956,-1.11
01/02/1956,-0.76
01/03/1956,-0.63
01/04/1956,-0.54
01/05/1956,-0.52
01/06/1956,-0.51
01/07/1956,-0.57
01/08/1956,-0.55
01/09/1956,-0.46
01/10/1956,-0.42
01/11/1956,-0.43
01/12/1956,-0.43
01/01/1957,-0.25
01/02/1957,0.06
01/03/1957,0.41
01/04/1957,0.72
01/05/1957,0.92
01/06/1957,1.11
01/07/1957,1.25
01/08/1957,1.32
01/09/1957,1.33
01/10/1957,1.39
01/11/1957,1.53
01/12/1957,1.74
01/01/1958,1.81
01/02/1958,1.66
01/03/1958,1.27
01/04/1958,0.93
01/05/1958,0.74
01/06/1958,0.64
01/07/1958,0.57
01/08/1958,0.43
01/09/1958,0.39
01/10/1958,0.44
01/11/1958,0.5
01/12/1958,0.61
01/01/1959,0.61
01/02/1959,0.62
01/03/1959,0.52
01/04/1959,0.33
01/05/1959,0.2
01/06/1959,-0.07
01/07/1959,-0.18
01/08/1959,-0.28
01/09/1959,-0.09
01/10/1959,-0.03
01/11/1959,0.05
01/12/1959,-0.04
01/01/1960,-0.1
01/02/1960,-0.1
01/03/1960,-0.07
01/04/1960,0.03
01/05/1960,0.02
01/06/1960,0.03
01/07/1960,0.13
01/08/1960,0.24
01/09/1960,0.27
01/10/1960,0.2
01/11/1960,0.12
01/12/1960,0.05
01/01/1961,0.04
01/02/1961,0.03
01/03/1961,0.04
