Date,Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2016-01-01,5.4,6.2,6.8,26.6,28.5,24.5,10.1,41.8
2016-01-02,9.2,11.0,11.2,25.7,27.9,23.1,7.9,49.3
2016-01-03,0.2,0.2,0.2,25.8,26.7,25.3,7.9,28.4
2016-01-04,0.2,0.4,0.4,27.6,31.1,25.2,11.2,34.2
2016-01-05,0.0,0.0,0.0,28.3,31.9,25.8,12.6,34.6
2016-01-06,0.4,0.4,0.4,28.2,31.7,26.2,12.6,37.4
2016-01-07,0.0,0.0,0.0,28.2,32.4,25.7,14.0,37.4
2016-01-08,0.0,0.0,0.0,28.1,31.9,25.6,13.0,43.9
2016-01-09,0.0,0.0,0.0,28.2,32.3,25.7,12.6,39.2
2016-01-10,0.0,0.0,0.0,28.4,32.7,26.1,11.2,36.4
2016-01-11,22.4,33.8,33.8,28.0,32.2,24.4,8.6,29.2
2016-01-12,0.0,0.0,0.0,28.5,32.1,26.0,12.6,35.3
2016-01-13,0.0,0.0,0.0,28.4,32.5,26.3,12.2,36.4
2016-01-14,1.4,1.4,1.4,28.3,31.4,26.4,10.1,29.9
2016-01-15,7.4,10.0,10.8,27.2,30.3,24.8,5.8,20.5
2016-01-16,1.4,1.4,2.0,27.2,32.7,25.2,5.4,31.7
2016-01-17,8.2,14.4,19.4,26.7,31.2,23.8,6.5,38.9
2016-01-18,13.8,14.0,14.0,27.9,34.4,25.0,6.1,26.3
2016-01-19,0.0,0.0,0.0,28.2,31.5,26.1,10.8,35.3
2016-01-20,0.4,0.4,0.4,28.2,31.5,26.0,7.9,31.7
2016-01-21,0.4,0.4,0.4,27.9,30.3,26.5,10.4,32.8
2016-01-22,13.8,19.6,21.8,27.6,31.4,26.1,8.3,33.5
2016-01-23,6.2,6.4,6.4,27.8,32.3,25.7,11.5,43.6
2016-01-24,0.0,0.0,0.0,28.4,31.9,26.0,15.8,51.8
2016-01-25,5.0,5.0,5.0,27.4,31.3,25.3,14.0,64.4
2016-01-26,6.6,6.6,6.6,27.1,29.5,25.1,11.9,40.7
2016-01-27,0.2,0.2,0.2,28.2,31.4,25.7,13.0,40.7
2016-01-28,3.2,4.6,5.0,27.6,32.6,25.0,9.7,30.2
2016-01-29,0.0,0.0,0.0,27.7,31.5,25.0,10.1,39.6
2016-01-30,0.0,0.0,0.0,28.4,33.0,25.9,11.5,33.8
2016-01-31,5.8,5.8,6.8,28.0,31.8,25.9,10.4,38.5
2016-02-01,0.0,0.0,0.0,28.5,32.4,25.7,14.0,43.2
2016-02-02,3.8,4.8,6.4,27.4,30.8,24.3,11.5,40.7
2016-02-03,0.0,0.0,0.0,28.2,32.6,25.6,10.1,36.7
2016-02-04,2.2,2.8,4.2,27.4,30.5,26.0,8.6,27.0
2016-02-05,2.0,2.0,2.8,27.6,31.6,25.7,6.8,25.2
2016-02-06,1.2,1.2,1.2,28.0,31.4,26.1,14.8,44.6
2016-02-07,19.4,24.2,27.4,26.4,28.1,24.0,18.0,56.2
2016-02-08,0.0,0.0,0.0,26.8,28.3,25.9,16.6,52.2
2016-02-09,0.0,0.0,0.0,26.5,28.5,25.2,9.7,27.7
2016-02-10,2.8,5.0,7.6,26.2,28.0,24.7,12.2,35.3
2016-02-11,0.0,0.0,0.0,26.9,29.7,24.9,11.2,28.8
2016-02-12,6.2,6.2,6.2,27.2,31.7,23.6,10.4,40.3
2016-02-13,0.2,0.2,0.2,28.1,31.8,26.1,14.0,40.3
2016-02-14,15.4,24.4,36.4,27.1,32.6,24.8,9.4,42.5
2016-02-15,0.0,0.0,0.0,28.3,32.2,25.6,11.9,34.9
