Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,8.6,13.4,14.2,24.9,29.7,23.5,14.9,42.8
2022-01-02,8.0,12.8,14.6,23.7,24.7,23.3,8.3,35.2
2022-01-03,0.6,0.6,0.6,25.3,29.2,23.1,11.6,29.1
2022-01-04,19.0,19.6,30.4,25.5,30.5,23.7,15.5,50.0
2022-01-05,11.2,11.2,11.2,27.4,32.3,24.7,16.8,42.4
2022-01-06,0.0,0.0,0.0,27.9,31.9,25.2,20.4,54.4
2022-01-07,21.4,31.0,36.0,27.1,31.8,25.0,17.7,42.0
2022-01-08,0.4,0.4,0.6,27.1,30.4,25.4,23.8,56.5
2022-01-09,0.0,0.0,0.0,27.5,31.2,25.2,22.7,55.4
2022-01-10,0.0,0.0,0.0,27.5,31.5,25.4,24.0,50.4
2022-01-11,0.0,0.0,0.0,27.2,31.7,24.6,22.2,50.0
2022-01-12,0.0,0.0,0.0,27.1,31.1,24.6,24.8,57.2
2022-01-13,0.0,0.0,0.0,27.0,31.8,24.4,24.3,51.9
2022-01-14,0.0,0.0,0.0,26.9,30.8,24.7,23.9,54.8
2022-01-15,0.0,0.0,0.0,27.3,32.1,24.9,22.8,47.6
2022-01-16,0.0,0.0,0.0,27.5,31.6,25.1,24.7,50.4
2022-01-17,0.6,0.6,0.6,27.0,30.3,25.3,24.6,56.5
2022-01-18,0.0,0.0,0.0,27.6,31.5,25.3,26.0,59.1
2022-01-19,1.0,1.4,1.4,26.8,30.3,24.4,23.4,56.9
2022-01-20,0.8,0.8,1.0,26.9,30.8,24.9,18.9,46.9
2022-01-21,0.0,0.0,0.0,27.1,31.7,24.4,23.0,48.9
2022-01-22,0.2,0.2,0.2,27.4,32.5,24.8,20.6,40.4
2022-01-23,0.0,0.0,0.0,27.6,33.2,24.8,20.8,43.2
2022-01-24,0.0,0.0,0.0,27.5,33.6,24.6,16.8,36.3
2022-01-25,0.0,0.0,0.0,27.7,32.9,24.6,,
2022-01-26,0.0,0.0,0.0,27.6,32.3,25.3,,
2022-01-27,0.0,0.0,0.0,27.4,32.2,24.8,,
2022-01-28,0.0,0.0,0.0,27.9,32.8,24.8,,
2022-01-29,0.0,0.0,0.0,27.6,33.3,24.9,,
2022-01-30,9.4,9.4,10.2,26.9,32.7,23.9,,
2022-01-31,0.0,0.0,0.0,27.6,32.3,24.7,,
2022-02-01,0.0,0.0,0.0,27.4,31.8,25.1,,
2022-02-02,0.0,0.0,0.0,27.7,32.7,25.0,,
2022-02-03,0.0,0.0,0.0,28.0,32.2,25.4,,
2022-02-04,0.0,0.0,0.0,27.9,32.0,25.7,,
2022-02-05,1.8,1.8,1.8,27.1,31.3,24.8,,
2022-02-06,8.0,8.0,13.0,25.7,29.2,23.8,,
2022-02-07,1.2,1.8,1.8,26.1,28.8,24.1,,
2022-02-08,0.4,0.6,0.8,26.2,30.1,24.1,,
2022-02-09,13.6,21.8,41.2,25.5,32.0,23.1,,
2022-02-10,9.2,11.2,12.2,24.1,25.5,23.2,,
2022-02-11,0.8,0.8,0.8,25.3,28.9,23.0,,
2022-02-12,0.6,1.0,1.2,27.0,31.9,23.6,,
2022-02-13,17.8,24.0,25.4,26.7,31.9,24.7,,
2022-02-14,0.0,0.0,0.0,27.4,31.5,25.1,,
2022-02-15,2.8,2.8,2.8,27.9,32.1,26.1,,
2022-02-16,1.8,1.8,2.4,26.0,29.3,23.0,,
2022-02-17,0.0,0.0,0.0,27.6,33.1,23.1,,
2022-02-18,0.0,0.0,0.0,28.2,31.5,26.1,,
2022-02-19,0.0,0.0,0.0,27.8,32.9,25.6,,
2022-02-20,4.2,4.2,4.2,27.4,34.3,23.6,,
2022-02-21,0.0,0.0,0.0,28.0,32.5,25.2,,
2022-02-22,0.0,0.0,0.0,27.8,32.7,25.3,,
2022-02-23,0.0,0.0,0.0,27.1,30.7,25.3,12.7,37.8
2022-02-24,4.6,6.8,9.4,24.6,26.4,23.2,10.3,35.6
2022-02-25,11.0,11.0,11.0,26.3,32.6,23.4,8.4,53.3
2022-02-26,0.0,0.0,0.0,26.7,30.3,24.9,6.8,26.3
2022-02-27,12.8,14.2,26.8,26.0,29.7,23.9,10.9,32.4
2022-02-28,0.0,0.0,0.0,27.4,31.8,24.8,14.3,37.0
2022-03-01,23.8,24.6,24.6,27.0,30.9,24.1,10.9,39.6
2022-03-02,57.8,83.6,89.8,26.4,33.2,22.1,9.5,40.0
2022-03-03,7.6,7.8,9.0,26.7,32.7,23.4,9.7,50.4
2022-03-04,0.0,0.0,0.0,27.2,30.9,25.2,11.8,35.9
2022-03-05,36.2,46.0,63.0,26.8,32.7,23.4,8.1,36.7
2022-03-06,0.0,0.0,0.0,27.0,32.5,25.0,6.2,19.4
2022-03-07,13.6,20.2,25.0,26.6,31.4,23.3,8.1,44.6
2022-03-08,1.0,1.0,1.0,27.5,31.8,25.1,8.2,30.2
2022-03-09,0.2,0.2,0.2,27.7,31.5,25.5,11.7,35.9
2022-03-10,0.0,0.0,0.0,27.5,32.2,24.8,12.5,36.3
2022-03-11,8.6,12.4,14.2,27.5,33.9,24.6,9.1,31.7
2022-03-12,0.0,0.0,0.0,28.0,34.3,24.9,10.6,33.2
2022-03-13,12.4,21.4,24.0,28.2,35.2,25.2,7.9,24.4
2022-03-14,0.6,0.6,0.6,28.0,34.0,24.9,8.7,37.4
2022-03-15,4.8,5.2,6.2,26.3,32.1,24.3,7.5,24.8
2022-03-16,0.0,0.0,0.0,27.9,33.2,24.7,6.5,26.7
2022-03-17,1.2,1.6,1.6,27.3,32.7,25.7,6.5,40.0
2022-03-18,0.0,0.0,0.0,27.9,33.4,25.2,8.1,28.5
2022-03-19,0.0,0.0,0.0,29.4,34.6,26.1,8.2,26.7
2022-03-20,0.6,0.8,0.8,29.0,34.0,26.2,8.1,26.7
2022-03-21,0.8,0.8,1.6,28.1,33.1,23.7,7.0,46.5
2022-03-22,1.2,1.2,1.2,28.0,31.8,25.9,8.6,26.7
2022-03-23,19.6,22.0,22.2,27.6,32.9,24.3,7.8,33.5
2022-03-24,5.6,5.8,7.0,27.9,35.3,24.8,8.0,29.1
2022-03-25,0.4,0.4,0.4,28.1,33.8,26.1,8.9,30.2
2022-03-26,20.4,24.6,24.8,27.9,34.8,23.2,7.8,55.7
2022-03-27,0.0,0.0,0.0,28.4,33.4,24.6,6.7,28.9
2022-03-28,26.4,33.8,34.4,27.7,34.4,22.5,7.5,65.6
2022-03-29,2.0,2.0,2.0,28.1,34.7,25.3,7.9,37.4
2022-03-30,0.4,0.6,0.6,28.7,34.5,25.7,7.3,30.2
2022-03-31,10.6,11.2,11.2,27.6,32.6,21.8,7.7,54.4
2022-04-01,0.0,0.0,0.0,28.6,36.8,25.6,6.2,46.1
2022-04-02,0.4,0.4,0.6,27.9,34.2,25.7,5.3,32.4
2022-04-03,27.2,30.2,39.0,26.1,30.4,23.7,5.4,24.8
2022-04-04,0.0,0.0,0.0,27.1,33.5,23.6,6.9,32.8
2022-04-05,0.0,0.0,0.0,27.5,30.7,25.6,8.4,27.8
2022-04-06,9.6,10.2,12.6,27.5,34.2,24.4,7.0,37.0
2022-04-07,0.8,1.2,1.2,26.1,27.5,23.9,7.4,32.4
2022-04-08,0.0,0.0,0.0,27.4,33.5,25.0,7.2,31.7
2022-04-09,4.2,4.2,4.2,26.8,32.5,22.2,6.6,45.7
2022-04-10,1.0,1.0,1.0,27.1,32.9,25.5,6.2,30.9
2022-04-11,7.6,7.8,7.8,26.5,31.1,23.8,5.1,37.8
2022-04-12,0.0,0.0,0.0,27.9,33.9,24.8,4.5,34.3
2022-04-13,0.0,0.0,0.0,27.9,32.1,25.7,5.4,33.2
2022-04-14,5.8,8.2,9.0,28.4,33.7,22.3,7.1,56.5
2022-04-15,8.8,9.2,12.0,27.9,31.7,24.1,7.6,36.7
2022-04-16,0.0,0.0,0.0,29.0,32.9,24.6,6.0,32.0
2022-04-17,0.2,0.2,0.2,29.1,34.4,26.5,6.1,29.4
2022-04-18,5.8,6.6,9.4,27.4,33.6,24.4,7.7,28.9
