Date,Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2019-01-01,0.0,0.0,0.0,28.4,33.9,25.1,5.4,30.6
2019-01-02,0.0,0.0,0.0,28.8,32.3,26.0,7.6,32.8
2019-01-03,0.2,0.2,0.2,29.0,32.2,26.4,10.4,39.2
2019-01-04,0.0,0.0,0.0,29.2,32.6,26.3,7.6,31.3
2019-01-05,35.8,37.4,37.4,27.8,32.3,24.0,5.0,33.5
2019-01-06,0.0,0.0,0.0,28.1,32.3,25.8,8.3,33.8
2019-01-07,0.0,0.0,0.0,28.4,32.1,25.9,9.0,36.0
2019-01-08,2.0,2.4,2.6,27.6,30.6,25.7,7.2,30.2
2019-01-09,0.0,0.0,0.0,28.1,32.0,25.6,8.6,36.4
2019-01-10,0.0,0.0,0.0,28.3,32.0,25.7,9.4,38.2
2019-01-11,0.6,0.6,0.6,27.7,31.5,24.4,8.3,34.2
2019-01-12,1.0,1.0,1.0,28.0,32.8,24.9,7.2,28.8
2019-01-13,2.4,3.2,4.8,27.3,31.5,25.4,6.8,32.8
2019-01-14,0.0,0.0,0.0,27.5,31.3,25.3,7.6,32.8
2019-01-15,0.0,0.0,0.0,28.1,32.9,25.5,5.4,24.1
2019-01-16,0.0,0.0,0.0,28.0,31.4,25.9,7.2,29.9
2019-01-17,16.8,16.8,18.2,26.4,31.6,24.2,6.5,33.8
2019-01-18,10.2,11.8,13.6,25.5,27.9,23.0,7.6,33.8
2019-01-19,0.0,0.0,0.0,27.0,30.6,24.7,7.2,32.4
2019-01-20,0.0,0.0,0.0,27.8,32.1,25.3,8.3,33.8
2019-01-21,2.2,3.2,3.4,27.6,32.0,25.8,7.9,33.8
2019-01-22,0.0,0.0,0.0,27.2,30.6,25.1,9.0,40.3
2019-01-23,0.0,0.0,0.0,27.6,31.3,25.3,10.4,45.4
2019-01-24,0.0,0.0,0.0,27.1,30.5,25.4,9.0,38.9
2019-01-25,0.0,0.0,0.0,26.7,30.0,24.6,8.6,35.6
2019-01-26,0.0,0.0,0.0,26.7,30.1,24.5,9.7,37.1
2019-01-27,0.0,0.0,0.0,27.4,31.4,25.2,10.1,37.1
2019-01-28,0.4,0.4,0.4,26.2,28.8,24.3,8.6,40.0
2019-01-29,0.2,0.2,0.2,27.3,31.3,25.1,10.1,40.3
2019-01-30,0.0,0.0,0.0,27.5,31.2,25.4,9.4,40.7
2019-01-31,0.0,0.0,0.0,27.3,31.4,25.2,7.9,33.5
2019-02-01,0.0,0.0,0.0,27.7,31.9,25.0,9.4,40.7
2019-02-02,0.0,0.0,0.0,27.9,32.1,25.5,8.3,41.8
2019-02-03,0.0,0.0,0.0,28.1,32.3,25.4,8.3,41.0
2019-02-04,0.0,0.0,0.0,28.2,33.5,25.4,7.9,32.4
2019-02-05,0.0,0.0,0.0,27.9,32.2,25.3,7.6,41.8
2019-02-06,0.0,0.0,0.0,27.5,32.1,24.3,8.3,38.2
2019-02-07,7.2,7.4,7.6,27.4,33.3,24.7,7.2,28.8
2019-02-08,0.0,0.0,0.0,28.2,32.9,24.9,7.6,31.7
2019-02-09,0.0,0.0,0.0,28.5,34.1,25.6,6.8,37.8
2019-02-10,0.0,0.0,0.0,28.2,32.8,25.7,9.0,47.9
2019-02-11,0.0,0.0,0.0,27.4,32.0,24.6,9.4,41.8
2019-02-12,0.0,0.0,0.0,28.2,33.4,24.6,8.6,33.1
2019-02-13,0.0,0.0,0.0,28.2,32.0,25.8,10.1,42.5
2019-02-14,0.0,0.0,0.0,28.4,32.8,26.5,11.2,42.1
2019-02-15,0.0,0.0,0.0,27.5,31.9,25.3,9.4,33.5
2019-02-16,0.0,0.0,0.0,27.8,32.9,24.9,8.6,34.6
2019-02-17,40.0,41.0,43.2,26.8,33.3,23.1,6.8,45.4
2019-02-18,4.0,4.2,4.2,26.5,30.6,22.5,6.1,35.3
2019-02-19,0.0,0.0,0.0,28.1,32.9,25.6,7.2,41.4
2019-02-20,11.8,11.8,11.8,27.7,32.1,23.1,6.5,42.1
2019-02-21,0.0,0.0,0.0,28.1,32.4,25.1,9.4,37.8
2019-02-22,0.0,0.0,0.0,28.2,33.6,25.2,8.6,34.6
2019-02-23,0.0,0.0,0.0,28.0,32.7,25.1,7.9,31.0
2019-02-24,0.0,0.0,0.0,27.7,33.2,24.8,7.6,34.9
2019-02-25,0.0,0.0,0.0,28.4,33.4,25.1,9.0,38.2
2019-02-26,0.0,0.0,0.0,28.3,32.1,25.9,10.4,40.0
2019-02-27,0.0,0.0,0.0,27.8,31.9,26.0,10.1,44.6
2019-02-28,0.2,0.2,0.2,27.8,31.5,25.5,7.9,38.5
2019-03-01,0.0,0.0,0.0,27.9,32.1,25.5,9.7,43.2
2019-03-02,0.0,0.0,0.0,28.0,32.9,25.4,10.1,41.0
2019-03-03,0.0,0.0,0.0,27.7,33.4,24.4,8.6,35.6
2019-03-04,22.2,23.0,23.0,27.6,34.0,24.6,8.3,30.6
2019-03-05,0.0,0.0,0.0,28.5,34.0,24.9,6.5,27.0
2019-03-06,0.0,0.0,0.0,28.2,31.8,26.4,7.6,34.6
2019-03-07,0.0,0.0,0.0,29.2,33.4,26.8,6.5,30.2
2019-03-08,0.0,0.0,0.0,29.0,33.4,26.4,7.9,34.2
2019-03-09,0.0,0.0,0.0,29.0,35.0,26.2,7.9,34.6
2019-03-10,0.0,0.0,0.0,28.9,33.9,26.3,7.6,29.5
2019-03-11,48.6,62.2,65.2,26.8,32.9,21.6,6.1,49.3
2019-03-12,2.8,2.8,2.8,28.4,34.5,24.1,5.8,29.5
2019-03-13,0.0,0.0,0.0,29.0,34.6,26.0,8.3,32.4
2019-03-14,0.0,0.0,0.0,28.7,33.8,25.7,8.6,36.0
2019-03-15,0.0,0.0,0.0,28.5,34.0,25.3,7.6,35.6
2019-03-16,0.0,0.0,0.0,28.4,33.1,25.2,9.0,33.5
2019-03-17,0.0,0.0,0.0,28.5,33.3,25.4,9.0,29.5
2019-03-18,0.0,0.0,0.0,28.6,34.0,24.7,9.7,37.8
2019-03-19,0.0,0.0,0.0,28.6,33.4,25.4,10.1,43.2
2019-03-20,0.0,0.0,0.0,28.8,33.1,26.1,8.3,31.0
2019-03-21,29.0,43.6,65.0,27.3,34.1,23.1,8.3,36.0
2019-03-22,10.4,10.4,10.4,28.3,35.0,25.2,5.4,43.2
2019-03-23,0.0,0.0,0.0,29.0,34.0,26.3,6.1,29.5
2019-03-24,5.0,5.2,5.2,28.4,33.9,25.8,5.8,38.9
2019-03-25,24.2,28.0,28.6,28.1,33.5,24.9,7.2,37.1
2019-03-26,0.0,0.0,0.0,29.2,33.0,26.7,9.4,37.4
2019-03-27,0.0,0.0,0.0,29.5,34.4,26.5,8.6,39.6
2019-03-28,26.6,33.6,34.2,27.3,33.1,21.5,6.8,40.7
2019-03-29,0.0,0.0,0.0,28.8,34.3,24.6,6.5,25.6
2019-03-30,0.8,0.8,0.8,27.8,32.3,23.9,5.4,42.8
2019-03-31,0.0,0.0,0.0,28.7,31.4,26.6,5.0,50.4
2019-04-01,2.0,3.6,4.8,27.1,31.1,24.4,5.4,29.9
2019-04-02,0.0,0.0,0.0,28.0,32.6,25.8,5.0,23.0
2019-04-03,6.2,7.0,8.6,26.9,31.6,22.6,6.8,42.1
2019-04-04,0.0,0.0,0.0,28.8,34.3,25.4,7.9,35.6
2019-04-05,0.0,0.0,0.0,28.6,33.7,26.1,7.6,31.3
2019-04-06,0.0,0.0,0.0,28.7,33.1,25.5,9.0,38.5
2019-04-07,0.0,0.0,0.0,29.1,34.2,25.3,8.3,34.2
2019-04-08,0.0,0.0,0.0,28.9,33.1,26.1,9.0,41.0
2019-04-09,1.0,1.8,1.8,28.5,33.8,26.5,7.6,31.0
2019-04-10,5.0,5.0,5.0,28.2,33.5,25.8,6.1,33.1
2019-04-11,3.6,4.4,4.4,27.5,31.5,25.4,5.8,26.3
2019-04-12,0.4,0.6,0.6,28.6,33.7,25.5,6.1,28.8
2019-04-13,0.0,0.0,0.0,29.7,33.9,26.8,6.8,29.2
2019-04-14,0.2,0.2,0.2,28.7,32.3,26.1,7.6,36.7
2019-04-15,0.0,0.0,0.0,29.7,35.1,25.9,7.2,32.4
2019-04-16,0.0,0.0,0.0,30.2,34.1,27.3,8.6,29.5
2019-04-17,1.6,1.6,1.6,30.2,34.5,25.8,7.2,27.4
2019-04-18,0.0,0.0,0.0,30.1,34.2,27.3,6.8,24.5
2019-04-19,16.2,16.8,16.8,29.1,34.9,25.2,7.2,32.8
2019-04-20,1.4,1.6,1.6,27.7,31.2,26.4,6.5,23.4
2019-04-21,0.0,0.0,0.0,29.5,34.4,26.6,7.9,33.8
2019-04-22,0.0,0.0,0.0,29.2,32.8,27.4,6.8,26.6
2019-04-23,7.8,8.0,8.0,27.5,32.4,25.1,6.5,29.2
2019-04-24,0.0,0.0,0.0,28.6,32.7,26.1,5.0,21.2
2019-04-25,10.2,10.2,10.8,28.4,33.3,25.6,5.8,28.4
2019-04-26,28.0,41.4,50.8,25.8,28.4,23.7,6.8,47.2
2019-04-27,2.8,3.6,5.0,27.4,31.3,24.9,6.8,22.7
2019-04-28,0.8,0.8,0.8,29.2,35.1,25.3,7.2,47.5
2019-04-29,18.0,18.4,18.6,28.9,33.7,24.0,9.0,41.8
2019-04-30,0.2,0.2,0.2,28.1,32.3,25.5,6.5,26.6
2019-05-01,0,0,0,29.7,33.0,26.8,6.8,23.8
2019-05-02,1.8,1.8,1.8,28.8,33.7,27.1,6.5,24.8
2019-05-03,1.8,1.8,1.8,29.1,32.9,26.9,7.6,27.7
