Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,12.6,14.2,19.4,25.1,29.8,23.5,4.1,27.0
2022-01-02,20.2,38.8,45.4,23.8,24.6,22.9,4.3,29.4
2022-01-03,1.8,1.8,2.0,25.8,30.8,23.3,4.7,30.6
2022-01-04,6.6,8.8,9.6,25.8,30.3,24.1,5.4,34.6
2022-01-05,0.2,0.2,0.2,28.0,33.7,24.9,6.6,29.8
2022-01-06,0.0,0.0,0.0,28.2,32.6,25.6,7.2,35.0
2022-01-07,44.2,71.6,74.8,27.4,32.4,24.5,6.1,28.9
2022-01-08,0.2,0.2,0.2,27.2,30.8,25.2,7.5,31.7
2022-01-09,0.4,0.4,0.4,27.6,31.2,25.3,7.9,34.6
2022-01-10,0.0,0.0,0.0,27.6,32.0,25.2,8.4,34.3
2022-01-11,0.0,0.0,0.0,27.5,32.0,24.9,7.6,31.3
2022-01-12,0.0,0.0,0.0,27.3,31.9,24.9,9.3,37.0
2022-01-13,0.0,0.0,0.0,27.2,32.0,24.2,8.4,30.6
2022-01-14,0.0,0.0,0.0,27.2,31.4,24.6,8.6,34.6
2022-01-15,0.0,0.0,0.0,27.6,32.6,25.1,8.4,31.7
2022-01-16,0.0,0.0,0.0,27.7,31.8,25.3,9.1,35.2
2022-01-17,0.0,0.0,0.0,27.3,30.2,25.5,8.7,34.3
2022-01-18,0.0,0.0,0.0,27.6,31.7,25.0,9.4,38.2
2022-01-19,8.6,8.6,8.6,26.7,30.6,23.0,8.1,38.5
2022-01-20,1.6,1.6,1.6,27.1,31.8,25.2,6.7,30.2
2022-01-21,0.0,0.0,0.0,27.3,32.5,24.4,8.4,33.9
2022-01-22,0.0,0.0,0.0,27.6,33.0,24.7,7.0,27.0
2022-01-23,0.0,0.0,0.0,27.8,33.3,24.8,6.0,26.7
2022-01-24,0.0,0.0,0.0,27.8,33.8,24.9,5.5,23.0
2022-01-25,0.0,0.0,0.0,27.9,32.9,24.7,8.1,29.4
2022-01-26,0.0,0.0,0.0,28.0,33.1,25.4,6.5,29.4
