Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,3.0,3.0,3.4,,,,,
2023-01-04,0.2,0.2,0.2,,,,,
2023-01-05,3.6,3.6,3.8,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,0.6,0.8,0.8,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,0.6,0.6,0.6,,,,,
2023-01-14,0.4,0.8,1.0,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,0.2,0.2,0.2,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,0.6,0.8,1.0,,,,,
2023-01-20,1.8,1.8,3.0,,,,,
2023-01-21,0.0,0.2,0.4,,,,,
2023-01-22,17.2,28.6,44.4,,,,,
2023-01-23,7.2,7.4,7.6,,,,,
2023-01-24,2.4,4.2,7.6,,,,,
2023-01-25,4.0,6.6,8.6,,,,,
2023-01-26,3.8,4.4,5.2,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.8,2.8,4.0,,,,,
2023-01-29,2.0,3.6,5.4,,,,,
2023-01-30,1.6,1.8,1.8,,,,,
2023-01-31,1.0,1.2,2.0,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,11.6,12.4,16.2,,,,,
2023-02-03,29.0,30.6,31.2,,,,,
2023-02-04,1.0,1.6,3.0,,,,,
2023-02-05,5.0,6.0,7.8,,,,,
2023-02-06,0.2,0.2,0.2,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,29.2,36.4,41.2,,,,,
2023-02-09,0.4,0.4,0.4,,,,,
2023-02-10,7.2,7.2,8.6,,,,,
2023-02-11,0.2,0.2,0.2,,,,,
2023-02-12,13.2,15.8,21.2,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,16.0,16.4,16.8,,,,,
2023-02-15,13.0,15.4,16.0,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,1.2,1.2,1.2,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,1.4,1.6,1.6,,,,,
2023-02-20,3.0,3.4,4.0,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,1.4,1.4,1.8,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.6,0.6,0.8,,,,,
2023-02-27,4.0,4.0,4.0,,,,,
2023-02-28,19.6,32.2,58.4,,,,,
2023-03-01,10.0,13.2,17.8,,,,,
2023-03-02,8.2,10.8,14.8,,,,,
2023-03-03,5.0,7.2,7.8,,,,,
2023-03-04,9.2,14.2,21.6,,,,,
2023-03-05,1.6,1.6,1.8,,,,,
2023-03-06,0.6,0.6,0.6,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,0.4,0.4,0.6,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,18.8,22.8,35.6,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,2.0,2.2,2.4,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,13.6,13.6,13.6,,,,,
2023-03-20,12.6,17.0,18.2,,,,,
2023-03-21,5.2,6.6,7.0,,,,,
2023-03-22,4.4,4.6,4.6,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,3.0,5.2,6.8,,,,,
2023-03-25,2.4,3.0,4.0,,,,,
2023-03-26,8.2,8.6,8.6,,,,,
2023-03-27,5.2,6.2,6.6,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.0,0.0,0.0,,,,,
2023-03-30,28.2,48.6,89.8,,,,,
2023-03-31,18.6,20.6,21.2,,,,,
2023-04-01,0.4,0.4,0.4,,,,,
2023-04-02,0.0,0.0,0.0,,,,,
2023-04-03,3.8,5.2,7.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,13.0,15.2,15.6,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,5.6,6.8,7.4,,,,,
2023-04-09,1.8,1.8,1.8,,,,,
2023-04-10,19.8,25.8,29.8,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,2.2,2.2,2.2,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,2.4,2.4,2.6,,,,,
2023-04-15,0.8,0.8,0.8,,,,,
2023-04-16,0.0,0.0,0.0,,,,,
2023-04-17,40.4,42.6,42.8,,,,,
2023-04-18,10.8,11.2,11.6,,,,,
2023-04-19,2.0,2.0,2.0,,,,,
2023-04-20,21.2,28.0,28.2,,,,,
2023-04-21,1.0,1.8,2.0,,,,,
2023-04-22,1.4,1.4,1.4,,,,,
2023-04-23,4.0,4.0,4.0,,,,,
2023-04-24,3.8,6.6,7.6,,,,,
2023-04-25,0.0,0.0,0.0,,,,,
2023-04-26,2.2,2.2,2.2,,,,,
2023-04-27,25.4,37.0,39.6,,,,,
2023-04-28,8.0,10.0,10.2,,,,,
2023-04-29,29.8,39.4,42.2,,,,,
