Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,1.0,1.0,1.6,,,,,
2023-01-03,0.6,0.6,0.6,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,15.4,22.0,32.4,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,1.2,1.2,1.2,,,,,
2023-01-11,0.0,0.0,0.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,0.0,0.0,0.0,,,,,
2023-01-14,0.0,0.0,0.0,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,0.2,0.2,0.4,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,8.0,11.0,16.6,,,,,
2023-01-20,4.6,5.0,5.8,,,,,
2023-01-21,3.6,3.6,5.2,,,,,
2023-01-22,22.4,26.8,34.6,,,,,
2023-01-23,1.8,3.0,3.4,,,,,
2023-01-24,2.0,3.8,6.6,,,,,
2023-01-25,17.8,22.0,23.2,,,,,
2023-01-26,3.0,4.0,4.6,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.8,2.8,4.0,,,,,
2023-01-29,2.0,3.2,4.8,,,,,
2023-01-30,3.2,5.0,5.4,,,,,
2023-01-31,0.6,1.0,1.8,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,7.6,11.2,14.0,,,,,
2023-02-03,7.0,8.0,8.0,,,,,
2023-02-04,1.2,1.8,3.0,,,,,
2023-02-05,13.6,19.0,21.6,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,22.8,32.2,35.4,,,,,
2023-02-09,2.4,2.6,2.6,,,,,
2023-02-10,14.8,15.0,16.6,,,,,
2023-02-11,0.2,0.2,0.2,,,,,
2023-02-12,52.8,62.2,64.2,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,14.0,14.0,24.6,,,,,
2023-02-15,14.6,18.0,19.8,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,0.4,0.4,0.6,,,,,
2023-02-18,0.2,0.2,0.2,,,,,
2023-02-19,0.6,0.8,0.8,,,,,
2023-02-20,0.0,0.0,0.0,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,0.0,0.0,0.0,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.8,1.2,1.2,,,,,
2023-02-27,1.4,1.4,1.8,,,,,
2023-02-28,21.6,33.4,57.0,,,,,
2023-03-01,24.2,36.6,54.8,,,,,
2023-03-02,9.6,15.6,19.0,,,,,
2023-03-03,8.4,10.2,13.4,,,,,
2023-03-04,6.0,10.2,13.8,,,,,
2023-03-05,4.2,4.4,6.8,,,,,
2023-03-06,1.2,1.2,1.2,,,,,
2023-03-07,0.2,0.2,0.2,,,,,
2023-03-08,0.0,0.0,0.0,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.2,0.2,0.2,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.0,0.0,0.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,1.8,1.8,1.8,,,,,
2023-03-20,18.0,23.8,24.6,,,,,
2023-03-21,8.4,11.2,11.4,,,,,
2023-03-22,2.6,3.0,3.0,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,1.4,1.6,2.0,,,,,
2023-03-25,1.6,2.8,3.8,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,7.2,8.0,8.6,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,11.6,12.2,12.4,,,,,
2023-03-30,41.4,56.2,59.8,,,,,
2023-03-31,14.0,15.6,15.6,,,,,
2023-04-01,0.6,0.8,1.0,,,,,
2023-04-02,2.0,2.0,2.0,,,,,
2023-04-03,21.0,26.4,30.2,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,6.6,8.0,8.8,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,4.8,7.8,9.6,,,,,
2023-04-09,0.4,0.4,0.4,,,,,
2023-04-10,7.2,8.4,8.4,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,7.4,7.4,7.4,,,,,
2023-04-14,4.6,4.6,4.6,,,,,
2023-04-15,1.4,1.6,1.6,,,,,
2023-04-16,10.8,11.0,11.0,,,,,
2023-04-17,1.8,1.8,2.0,,,,,
2023-04-18,0.0,0.0,0.0,,,,,
2023-04-19,0.0,0.0,0.0,,,,,
2023-04-20,0.8,1.4,2.2,,,,,
2023-04-21,3.4,5.6,7.4,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,1.2,1.2,1.2,,,,,
2023-04-25,7.4,7.4,7.4,,,,,
2023-04-26,0.2,0.2,0.2,,,,,
2023-04-27,0.0,0.0,0.0,,,,,
2023-04-28,1.2,1.8,1.8,,,,,
2023-04-29,10.8,12.0,12.8,,,,,
2023-04-30,9.8,10.8,11.6,,,,,
2023-05-01,9.2,9.8,9.8,,,,,
2023-05-02,0.0,0.0,0.0,,,,,
2023-05-03,12.4,12.6,14.4,,,,,
2023-05-04,36.8,41.8,45.2,,,,,
2023-05-05,1.4,1.6,1.6,,,,,
2023-05-06,11.6,11.8,13.2,,,,,
2023-05-07,2.6,4.2,5.8,,,,,
2023-05-08,0.0,0.0,0.0,,,,,
2023-05-09,0.0,0.0,0.0,,,,,
2023-05-10,0.0,0.0,0.0,,,,,
2023-05-11,0.0,0.0,0.0,,,,,
2023-05-12,0.0,0.0,0.0,,,,,
2023-05-13,0.0,0.0,0.0,,,,,
2023-05-14,0.0,0.0,0.0,,,,,
2023-05-15,0.0,0.0,0.0,,,,,
2023-05-16,5.0,6.6,6.6,,,,,
2023-05-17,0.0,0.0,0.0,,,,,
2023-05-18,0.0,0.0,0.0,,,,,
2023-05-19,9.2,9.4,9.8,,,,,
2023-05-20,0.8,0.8,0.8,,,,,
2023-05-21,15.4,19.6,19.8,,,,,
2023-05-22,0.2,0.2,0.2,,,,,
2023-05-23,21.0,22.0,22.6,,,,,
2023-05-24,0.0,0.0,0.0,,,,,
2023-05-25,0.0,0.0,0.0,,,,,
2023-05-26,8.2,8.4,8.4,,,,,
2023-05-27,1.6,1.6,1.6,,,,,
2023-05-28,3.0,3.2,3.2,,,,,
2023-05-29,5.4,5.4,5.4,,,,,
2023-05-30,0.0,0.0,0.0,,,,,
2023-05-31,0.0,0.0,0.0,,,,,
2023-06-01,9.4,13.8,17.0,,,,,
2023-06-02,0.0,0.0,0.0,,,,,
2023-06-03,7.4,7.6,7.6,,,,,
2023-06-04,39.2,54.0,57.0,,,,,
2023-06-05,0.0,0.0,0.0,,,,,
2023-06-06,0.8,0.8,0.8,,,,,
2023-06-07,0.0,0.0,0.0,,,,,
2023-06-08,0.0,0.0,0.0,,,,,
2023-06-09,0.0,0.0,0.0,,,,,
2023-06-10,0.0,0.0,0.0,,,,,
2023-06-11,0.0,0.0,0.0,,,,,
2023-06-12,11.8,15.2,19.4,,,,,
2023-06-13,0.4,0.4,0.4,,,,,
2023-06-14,2.0,2.0,2.0,,,,,
2023-06-15,0.8,0.8,0.8,,,,,
2023-06-16,0.0,0.0,0.0,,,,,
2023-06-17,0.0,0.0,0.0,,,,,
2023-06-18,16.4,18.4,21.4,,,,,
2023-06-19,0.0,0.0,0.0,,,,,
2023-06-20,0.0,0.0,0.0,,,,,
2023-06-21,0.0,0.0,0.0,,,,,
2023-06-22,0.0,0.0,0.0,,,,,
2023-06-23,0.0,0.0,0.0,,,,,
2023-06-24,11.4,11.6,11.6,,,,,
2023-06-25,3.2,3.4,3.4,,,,,
2023-06-26,1.0,1.2,1.2,,,,,
2023-06-27,37.8,40.0,40.6,,,,,
2023-06-28,17.2,26.6,26.6,,,,,
2023-06-29,11.2,11.8,12.0,,,,,
2023-06-30,14.0,17.4,19.8,,,,,
2023-07-01,0.8,1.2,1.2,,,,,
2023-07-02,0.0,0.0,0.0,,,,,
2023-07-03,13.4,16.0,16.6,,,,,
2023-07-04,0.0,0.0,0.0,,,,,
2023-07-05,16.0,16.6,19.0,,,,,
2023-07-06,0.2,0.4,0.4,,,,,
2023-07-07,0.0,0.0,0.0,,,,,
2023-07-08,0.0,0.0,0.0,,,,,
2023-07-09,4.4,7.6,7.8,,,,,
2023-07-10,4.2,4.2,4.2,,,,,
2023-07-11,5.4,8.2,8.4,,,,,
2023-07-12,0.0,0.0,0.0,,,,,
2023-07-13,0.0,0.0,0.0,,,,,
2023-07-14,16.8,20.8,26.2,,,,,
2023-07-15,0.2,0.4,0.4,,,,,
2023-07-16,0.0,0.0,0.0,,,,,
2023-07-17,5.0,5.0,5.0,,,,,
2023-07-18,21.0,25.4,35.8,,,,,
2023-07-19,21.2,24.4,25.2,,,,,
2023-07-20,53.4,57.4,60.8,,,,,
2023-07-21,0.0,0.0,0.2,,,,,
2023-07-22,3.6,3.6,3.6,,,,,
2023-07-23,13.0,13.0,13.0,,,,,
2023-07-24,0.0,0.0,0.0,,,,,
2023-07-25,0.0,0.0,0.0,,,,,
2023-07-26,0.0,0.0,0.0,,,,,
2023-07-27,0.0,0.0,0.0,,,,,
2023-07-28,0.0,0.0,0.0,,,,,
2023-07-29,0.0,0.0,0.0,,,,,
2023-07-30,0.2,0.2,0.2,,,,,
2023-07-31,0.0,0.0,0.0,,,,,
2023-08-01,0.0,0.0,0.0,,,,,
2023-08-02,0.0,0.0,0.0,,,,,
2023-08-03,11.6,12.6,13.0,,,,,
2023-08-04,0.0,0.0,0.0,,,,,
2023-08-05,0.0,0.0,0.0,,,,,
2023-08-06,0.0,0.0,0.0,,,,,
2023-08-07,0.0,0.0,0.0,,,,,
2023-08-08,0.0,0.0,0.0,,,,,
2023-08-09,0.0,0.0,0.0,,,,,
2023-08-10,0.0,0.0,0.0,,,,,
2023-08-11,2.6,2.6,2.6,,,,,
2023-08-12,0.0,0.0,0.0,,,,,
2023-08-13,0.2,0.2,0.2,,,,,
2023-08-14,4.2,6.8,7.4,,,,,
2023-08-15,0.0,0.0,0.0,,,,,
2023-08-16,4.0,4.6,4.6,,,,,
2023-08-17,10.2,11.8,12.0,,,,,
2023-08-18,6.0,6.8,8.6,,,,,
2023-08-19,2.8,2.8,2.8,,,,,
2023-08-20,0.0,0.0,0.0,,,,,
2023-08-21,5.0,5.2,7.6,,,,,
2023-08-22,0.0,0.0,0.0,,,,,
2023-08-23,0.0,0.0,0.0,,,,,
2023-08-24,0.0,0.0,0.0,,,,,
2023-08-25,0.0,0.0,0.0,,,,,
2023-08-26,0.2,0.2,0.2,,,,,
2023-08-27,0.0,0.0,0.0,,,,,
2023-08-28,0.0,0.0,0.0,,,,,
2023-08-29,1.8,2.0,2.0,,,,,
2023-08-30,0.0,0.0,0.0,,,,,
2023-08-31,1.2,1.2,1.2,,,,,
2023-09-01,0.0,0.0,0.0,,,,,
2023-09-02,0.0,0.0,0.0,,,,,
2023-09-03,0.0,0.0,0.0,,,,,
2023-09-04,0.0,0.0,0.0,,,,,
2023-09-05,0.0,0.0,0.0,,,,,
2023-09-06,13.8,20.6,35.4,,,,,
2023-09-07,0.2,0.2,0.6,,,,,
2023-09-08,0.6,1.0,1.0,,,,,
2023-09-09,20.6,28.6,39.4,,,,,
2023-09-10,0.4,0.4,0.4,,,,,
2023-09-11,0.0,0.0,0.0,,,,,
2023-09-12,0.0,0.0,0.0,,,,,
2023-09-13,0.0,0.0,0.0,,,,,
2023-09-14,0.0,0.0,0.0,,,,,
2023-09-15,0.0,0.0,0.0,,,,,
2023-09-16,0.0,0.0,0.0,,,,,
2023-09-17,0.0,0.0,0.0,,,,,
2023-09-18,0.4,0.4,0.4,,,,,
2023-09-19,14.6,15.2,15.4,,,,,
2023-09-20,31.0,35.2,38.6,,,,,
2023-09-21,7.4,8.0,8.0,,,,,
2023-09-22,0.6,0.8,0.8,,,,,
2023-09-23,0.0,0.0,0.0,,,,,
2023-09-24,18.6,22.4,23.4,,,,,
2023-09-25,0.2,0.2,0.2,,,,,
2023-09-26,0.0,0.0,0.0,,,,,
2023-09-27,0.0,0.0,0.0,,,,,
2023-09-28,0.0,0.0,0.0,,,,,
2023-09-29,0.0,0.0,0.0,,,,,
2023-09-30,2.4,2.4,2.4,,,,,
2023-10-01,0.2,0.2,0.2,,,,,
2023-10-02,0.0,0.0,0.0,,,,,
2023-10-03,0.0,0.0,0.0,,,,,
2023-10-04,0.0,0.0,0.0,,,,,
2023-10-05,0.0,0.0,0.0,,,,,
2023-10-06,0.0,0.0,0.0,,,,,
2023-10-07,0.0,0.0,0.0,,,,,
2023-10-08,0.0,0.0,0.0,,,,,
2023-10-09,19.8,22.0,22.0,,,,,
2023-10-10,0.2,0.2,0.2,,,,,
2023-10-11,7.8,8.0,8.0,,,,,
2023-10-12,0.0,0.0,0.0,,,,,
2023-10-13,0.0,0.0,0.0,,,,,
2023-10-14,0.0,0.0,0.0,,,,,
2023-10-15,0.0,0.0,0.0,,,,,
2023-10-16,0.2,0.2,0.2,,,,,
2023-10-17,0.0,0.0,0.2,,,,,
2023-10-18,9.8,10.2,14.0,,,,,
2023-10-19,0.2,0.2,0.2,,,,,
2023-10-20,6.8,6.8,11.6,,,,,
2023-10-21,9.2,9.2,9.2,,,,,
2023-10-22,23.0,23.2,23.2,,,,,
2023-10-23,4.6,4.6,4.6,,,,,
2023-10-24,5.8,6.0,6.0,,,,,
2023-10-25,0.0,0.0,0.0,,,,,
2023-10-26,0.0,0.0,0.0,,,,,
2023-10-27,0.0,0.0,0.0,,,,,
2023-10-28,0.2,0.2,0.2,,,,,
2023-10-29,0.6,0.6,0.6,,,,,
