Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,2.4,2.4,2.6,,,,,
2023-01-03,2.0,2.0,2.0,,,,,
2023-01-04,0.2,0.2,0.2,,,,,
2023-01-05,19.2,29.2,31.4,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,3.8,3.8,3.8,,,,,
2023-01-11,0.0,0.0,0.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,1.0,1.0,1.0,,,,,
2023-01-14,0.0,0.0,0.0,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,0.0,0.0,0.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,8.0,9.5,15.5,,,,,
2023-01-20,3.8,4.6,5.0,,,,,
2023-01-21,0.4,0.4,4.8,,,,,
2023-01-22,17.0,21.0,23.6,,,,,
2023-01-23,2.0,3.0,4.2,,,,,
2023-01-24,1.8,3.4,5.6,,,,,
2023-01-25,17.0,25.0,26.4,,,,,
2023-01-26,,,,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,2.2,3.2,4.2,,,,,
2023-01-29,1.4,2.6,3.6,,,,,
2023-01-30,1.0,1.4,1.6,,,,,
2023-01-31,0.8,1.2,1.8,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,29.8,49.2,55.4,,,,,
2023-02-03,2.2,3.2,3.6,,,,,
2023-02-04,1.0,1.8,3.4,,,,,
2023-02-05,17.8,19.6,32.8,,,,,
2023-02-06,0.2,0.2,0.2,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,18.8,24.0,26.8,,,,,
2023-02-09,0.4,0.6,0.6,,,,,
2023-02-10,6.4,6.8,6.8,,,,,
2023-02-11,1.6,1.6,1.6,,,,,
2023-02-12,31.8,38.6,40.2,,,,,
2023-02-13,0.0,0.0,0.2,,,,,
2023-02-14,6.2,6.2,6.2,,,,,
2023-02-15,19.0,23.4,23.8,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,1.2,1.6,2.4,,,,,
2023-02-18,0.8,0.8,0.8,,,,,
2023-02-19,20.2,22.6,22.6,,,,,
2023-02-20,0.0,0.0,0.0,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,4.0,4.0,4.0,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.4,0.6,0.6,,,,,
2023-02-27,0.4,0.4,0.6,,,,,
2023-02-28,27.0,41.8,66.8,,,,,
2023-03-01,21.8,31.6,58.8,,,,,
2023-03-02,18.2,33.6,41.4,,,,,
2023-03-03,11.0,14.0,15.6,,,,,
2023-03-04,5.4,8.8,12.8,,,,,
2023-03-05,3.2,4.6,5.6,,,,,
2023-03-06,0.0,0.0,0.0,,,,,
2023-03-07,0.2,0.2,0.2,,,,,
2023-03-08,0.0,0.0,0.0,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.4,0.4,0.4,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.2,0.2,0.2,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,23.2,28.0,31.0,,,,,
2023-03-20,13.6,15.0,15.0,,,,,
2023-03-21,4.0,5.8,6.0,,,,,
2023-03-22,0.2,0.2,0.2,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,0.2,0.2,0.2,,,,,
2023-03-25,0.6,1.0,1.2,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,2.6,2.8,3.4,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.8,0.8,1.0,,,,,
2023-03-30,21.4,31.8,33.6,,,,,
2023-03-31,0.8,1.0,1.2,,,,,
2023-04-01,1.0,1.2,1.2,,,,,
2023-04-02,0.4,0.4,0.4,,,,,
2023-04-03,14.0,23.0,26.0,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,18.4,20.6,20.8,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,7.8,12.6,13.2,,,,,
2023-04-09,21.0,24.6,24.6,,,,,
2023-04-10,4.4,4.4,4.4,,,,,
2023-04-11,0.2,0.2,0.2,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,0.0,0.0,0.0,,,,,
2023-04-15,0.2,0.2,0.2,,,,,
2023-04-16,5.4,5.4,5.4,,,,,
2023-04-17,0.4,0.4,0.4,,,,,
2023-04-18,0.0,0.0,0.0,,,,,
2023-04-19,0.0,0.0,0.0,,,,,
2023-04-20,3.4,4.4,5.4,,,,,
2023-04-21,8.6,8.8,9.6,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,10.8,10.8,13.4,,,,,
2023-04-25,38.4,47.0,47.6,,,,,
2023-04-26,0.2,0.2,0.2,,,,,
2023-04-27,0.0,0.0,0.0,,,,,
2023-04-28,6.6,7.2,7.2,,,,,
2023-04-29,7.0,7.2,7.6,,,,,
2023-04-30,8.2,9.4,9.6,,,,,
2023-05-01,22.0,24.6,24.6,,,,,
2023-05-02,0.0,0.0,0.0,,,,,
2023-05-03,0.2,0.2,0.2,,,,,
2023-05-04,0.2,0.2,0.2,,,,,
2023-05-05,1.0,1.0,1.0,,,,,
2023-05-06,1.4,1.6,1.6,,,,,
2023-05-07,1.0,1.2,1.6,,,,,
2023-05-08,0.6,0.6,0.6,,,,,
2023-05-09,0.2,0.2,0.2,,,,,
2023-05-10,0.0,0.0,0.0,,,,,
2023-05-11,0.0,0.0,0.0,,,,,
2023-05-12,0.0,0.0,0.0,,,,,
2023-05-13,0.0,0.0,0.0,,,,,
2023-05-14,0.0,0.0,0.0,,,,,
2023-05-15,1.8,1.8,1.8,,,,,
2023-05-16,19.2,22.4,22.8,,,,,
2023-05-17,0.0,0.0,0.0,,,,,
2023-05-18,0.0,0.0,0.0,,,,,
2023-05-19,5.6,5.8,6.0,,,,,
2023-05-20,0.0,0.0,0.0,,,,,
2023-05-21,15.2,21.6,22.8,,,,,
2023-05-22,0.0,0.0,0.0,,,,,
2023-05-23,2.2,2.2,2.2,,,,,
2023-05-24,0.0,0.0,0.0,,,,,
2023-05-25,0.0,0.0,0.0,,,,,
