Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,8.8,11.8,11.8,25.7,30.1,23.2,6.9,31.5
2022-01-02,8.2,14.6,20.4,24.3,24.9,23.7,4.2,22.2
2022-01-03,5.2,5.2,5.4,25.9,30.5,23.5,5.2,22.2
2022-01-04,3.4,3.4,3.4,26.4,30.5,24.4,7.3,25.9
2022-01-05,0.6,1.0,1.0,27.7,32.3,25.0,6.7,22.2
2022-01-06,0.0,0.0,0.0,28.1,32.2,25.4,9.4,33.3
2022-01-07,0.0,0.0,0.0,28.0,31.7,25.3,10.3,31.5
2022-01-08,0.0,0.0,0.0,27.8,31.1,25.9,11.0,31.5
2022-01-09,0.0,0.0,0.0,28.1,31.7,25.6,11.8,38.9
2022-01-10,0.0,0.0,0.0,27.7,31.5,25.4,10.9,35.2
2022-01-11,0.0,0.0,0.0,27.4,31.1,24.9,11.3,35.2
2022-01-12,0.0,0.0,0.0,27.5,31.4,25.2,12.8,37.0
2022-01-13,0.0,0.0,0.0,27.3,31.6,24.2,11.6,35.2
2022-01-14,0.0,0.0,0.0,27.3,31.4,24.8,11.3,38.9
2022-01-15,0.0,0.0,0.0,27.7,31.9,25.2,12.6,35.2
2022-01-16,0.0,0.0,0.0,28.0,31.8,25.7,12.4,37.0
2022-01-17,2.6,2.6,2.6,27.7,31.2,26.2,12.9,37.0
2022-01-18,0.0,0.0,0.0,27.7,32.4,25.6,12.5,37.0
2022-01-19,2.4,2.4,2.4,26.8,30.3,24.1,8.9,42.6
2022-01-20,1.0,1.2,2.0,27.2,31.2,25.4,9.0,29.6
2022-01-21,0.0,0.0,0.0,27.6,32.1,24.8,13.0,35.2
2022-01-22,0.0,0.0,0.0,27.8,32.3,25.2,11.0,31.5
2022-01-23,0.0,0.0,0.0,27.8,32.6,24.6,9.3,31.5
2022-01-24,0.0,0.0,0.0,27.8,32.7,24.8,7.8,25.9
2022-01-25,0.0,0.0,0.0,27.8,32.4,24.9,11.7,35.2
2022-01-26,0.0,0.0,0.0,28.0,33.0,25.3,9.6,35.2
2022-01-27,0.0,0.0,0.0,27.7,32.4,24.9,9.1,29.6
2022-01-28,0.0,0.0,0.0,28.2,33.1,24.7,10.9,33.3
2022-01-29,0.0,0.0,0.0,28.0,32.6,24.8,10.0,27.8
2022-01-30,3.8,3.8,3.8,27.6,32.8,24.7,10.1,27.8
2022-01-31,0.0,0.0,0.0,28.3,32.8,25.2,10.5,33.3
2022-02-01,0.0,0.0,0.0,28.2,32.6,25.6,12.9,33.3
2022-02-02,0.0,0.0,0.0,28.4,33.2,25.2,9.3,29.6
2022-02-03,0.2,0.2,0.2,28.7,33.6,25.7,12.7,35.2
2022-02-04,0.0,0.2,0.2,28.7,33.3,26.5,14.5,38.9
2022-02-05,0.4,0.4,0.4,27.9,32.7,25.7,12.8,46.3
2022-02-06,3.4,6.0,8.4,26.2,29.0,24.2,6.5,27.8
2022-02-07,0.6,0.6,0.8,26.5,30.1,24.8,7.6,31.5
2022-02-08,0.6,0.8,1.0,26.7,30.8,24.3,7.6,25.9
2022-02-09,9.0,14.4,16.6,26.3,31.5,24.6,6.3,27.8
2022-02-10,2.8,5.0,7.4,24.6,25.5,23.7,5.3,20.4
2022-02-11,1.2,2.0,2.4,25.5,29.1,23.3,5.9,27.8
2022-02-12,0.0,0.0,0.0,27.4,31.6,24.1,9.8,31.5
2022-02-13,12.4,18.4,20.6,27.4,32.2,23.7,7.9,29.6
2022-02-14,1.2,1.2,1.2,27.6,31.0,25.4,9.0,29.6
2022-02-15,0.0,0.0,0.0,28.1,31.9,26.4,12.0,35.2
2022-02-16,12.6,15.2,15.2,26.1,28.0,22.6,5.7,33.3
2022-02-17,0.0,0.0,0.0,27.8,31.5,24.5,9.3,29.6
2022-02-18,0.0,0.0,0.0,28.6,32.3,26.4,11.8,29.6
2022-02-19,4.2,4.8,4.8,27.9,31.5,26.2,8.2,29.6
2022-02-20,10.6,12.0,12.2,27.3,32.9,23.5,6.9,25.9
2022-02-21,0.0,0.0,0.0,28.2,32.3,25.7,11.0,35.2
2022-02-22,0.0,0.0,0.0,28.1,32.2,25.3,9.3,29.6
2022-02-23,0.0,0.0,0.0,27.5,31.8,25.1,9.1,31.5
2022-02-24,4.6,7.0,9.2,25.6,28.4,23.5,8.6,29.6
2022-02-25,22.0,25.0,25.0,27.0,32.6,23.2,8.3,35.2
2022-02-26,0.0,0.0,0.0,26.6,29.8,24.5,7.3,24.1
2022-02-27,0.6,0.6,0.6,27.2,31.0,24.9,10.9,31.5
2022-02-28,0.0,0.0,0.0,28.0,32.4,25.2,12.5,37.0
2022-03-01,0.0,0.0,0.0,28.1,32.2,25.8,10.2,35.2
2022-03-02,6.6,10.6,11.2,27.3,32.6,23.4,8.9,31.5
2022-03-03,1.0,2.0,2.0,27.6,32.9,24.6,7.7,33.3
2022-03-04,0.0,0.0,0.0,28.0,32.5,26.0,9.0,37.0
2022-03-05,4.4,6.4,7.0,27.3,33.7,23.5,6.0,27.8
2022-03-06,1.8,2.6,3.4,27.0,30.6,25.4,4.8,18.5
2022-03-07,1.0,1.0,1.2,27.8,33.0,26.0,8.4,29.6
2022-03-08,0.0,0.0,0.0,28.3,32.2,25.5,7.8,29.6
2022-03-09,0.0,0.0,0.0,28.2,31.7,26.2,11.5,33.3
2022-03-10,0.6,0.6,0.6,27.8,32.1,24.7,11.8,40.7
2022-03-11,2.4,2.4,4.4,28.0,32.7,25.9,8.4,25.9
2022-03-12,0.0,0.0,0.0,28.2,33.0,25.3,10.0,35.2
2022-03-13,0.0,0.0,0.0,28.5,33.8,24.8,8.9,25.9
2022-03-14,0.0,0.0,0.0,28.6,31.8,26.8,10.0,27.8
2022-03-15,11.8,22.4,29.0,26.7,32.3,23.8,6.3,31.5
