Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,9.6,9.6,16.6,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,0.4,0.6,0.6,,,,,
2023-01-06,0.2,0.2,0.2,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,3.6,5.0,5.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,0.2,0.2,0.2,,,,,
2023-01-14,12.4,21.6,23.2,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,0.0,0.0,0.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,0.8,1.0,1.0,,,,,
2023-01-20,2.6,4.8,5.0,,,,,
2023-01-21,0.4,0.4,0.4,,,,,
2023-01-22,18.6,25.4,38.4,,,,,
2023-01-23,9.2,9.2,9.2,,,,,
2023-01-24,2.2,4.2,7.4,,,,,
2023-01-25,5.0,9.0,13.2,,,,,
2023-01-26,5.0,5.8,6.4,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.2,2.2,3.4,,,,,
2023-01-29,1.8,3.0,4.6,,,,,
2023-01-30,1.2,1.4,2.4,,,,,
2023-01-31,2.0,3.0,3.6,,,,,
2023-02-01,0.2,0.2,0.2,,,,,
2023-02-02,6.6,7.0,7.8,,,,,
2023-02-03,16.2,16.8,17.4,,,,,
2023-02-04,1.8,1.8,2.6,,,,,
2023-02-05,13.2,15.8,18.0,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,31.4,38.4,46.2,,,,,
2023-02-09,1.2,1.2,1.4,,,,,
2023-02-10,3.4,3.6,5.6,,,,,
2023-02-11,2.6,2.6,2.6,,,,,
2023-02-12,13.6,15.8,20.6,,,,,
2023-02-13,0.0,0.2,0.2,,,,,
2023-02-14,9.0,9.0,9.0,,,,,
2023-02-15,14.2,16.2,16.4,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,1.2,1.2,1.2,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,0.4,0.4,0.4,,,,,
2023-02-20,5.4,6.6,7.2,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,0.4,0.4,0.4,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.2,0.2,0.2,,,,,
2023-02-27,1.2,1.4,1.4,,,,,
2023-02-28,20.4,33.4,54.4,,,,,
2023-03-01,7.8,10.8,30.4,,,,,
2023-03-02,4.2,6.6,11.0,,,,,
2023-03-03,7.8,8.8,9.2,,,,,
2023-03-04,8.4,11.8,17.2,,,,,
2023-03-05,7.6,7.6,7.6,,,,,
2023-03-06,0.8,0.8,0.8,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,6.4,6.4,7.6,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.4,0.4,0.4,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,13.0,13.4,13.6,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,1.2,1.2,1.2,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,4.4,4.8,4.8,,,,,
2023-03-20,19.6,34.0,38.8,,,,,
2023-03-21,5.6,8.4,9.2,,,,,
2023-03-22,2.0,2.6,2.6,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,9.0,9.0,10.8,,,,,
2023-03-25,1.4,1.8,2.8,,,,,
2023-03-26,0.8,1.0,1.2,,,,,
2023-03-27,3.4,5.8,8.4,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.0,0.0,0.0,,,,,
2023-03-30,28.4,48.6,82.0,,,,,
2023-03-31,6.8,8.8,12.0,,,,,
2023-04-01,0.2,0.2,0.2,,,,,
2023-04-02,0.0,0.0,0.0,,,,,
2023-04-03,2.2,3.6,5.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,11.4,15.0,16.2,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,5.6,8.0,9.6,,,,,
2023-04-09,2.4,2.4,2.4,,,,,
2023-04-10,29.8,30.8,30.8,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,0.2,0.4,0.4,,,,,
2023-04-14,0.2,0.2,0.2,,,,,
2023-04-15,0.0,0.0,0.0,,,,,
2023-04-16,0.0,0.0,0.0,,,,,
2023-04-17,0.0,0.0,0.0,,,,,
2023-04-18,19.4,21.6,22.8,,,,,
2023-04-19,0.0,0.0,0.6,,,,,
2023-04-20,20.4,26.6,33.0,,,,,
2023-04-21,1.4,2.0,2.4,,,,,
2023-04-22,4.6,4.6,4.6,,,,,
2023-04-23,4.8,4.8,4.8,,,,,
2023-04-24,13.4,18.2,18.4,,,,,
2023-04-25,0.0,0.0,0.0,,,,,
2023-04-26,19.4,19.4,22.8,,,,,
2023-04-27,13.4,18.0,19.6,,,,,
2023-04-28,11.8,12.6,12.8,,,,,
2023-04-29,11.8,14.0,15.0,,,,,
