Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,11.2,21.2,26.0,23.8,25.4,21.9,7.3,40.0
2021-01-02,18.8,27.6,42.2,22.7,24.3,21.6,6.6,26.7
2021-01-03,0.6,0.8,1.0,23.7,25.6,22.6,7.3,17.2
2021-01-04,0.0,0.0,0.0,25.0,28.1,22.6,7.4,17.6
2021-01-05,0.0,0.0,0.0,26.8,31.7,23.7,8.5,27.8
2021-01-06,0.0,0.0,0.0,26.5,29.9,24.4,8.3,33.2
2021-01-07,1.0,1.4,1.4,24.4,25.3,23.6,8.3,24.8
2021-01-08,0.4,0.6,0.6,25.6,28.4,23.6,9.7,33.9
2021-01-09,16.2,25.0,30.2,24.9,28.3,23.6,8.0,40.4
2021-01-10,11.4,16.2,22.4,23.7,24.2,23.4,7.2,23.3
2021-01-11,0.8,1.4,2.6,25.4,28.7,23.7,9.4,38.9
2021-01-12,2.0,2.2,2.8,24.8,27.9,23.3,10.6,44.3
2021-01-13,0.2,0.2,0.2,24.7,27.5,23.2,9.2,40.0
2021-01-14,0.0,0.0,0.0,25.8,29.4,22.8,10.5,35.9
2021-01-15,0.0,0.0,0.0,26.9,31.5,24.2,10.1,27.4
2021-01-16,0.0,0.0,0.0,27.1,31.3,24.7,11.0,30.2
2021-01-17,0.0,0.0,0.0,27.2,31.6,24.8,13.8,42.0
2021-01-18,0.0,0.0,0.0,26.4,29.0,24.8,15.5,45.7
2021-01-19,0.0,0.0,0.0,26.2,29.9,23.6,11.1,32.4
2021-01-20,0.0,0.0,0.0,26.4,30.0,23.6,9.9,33.9
2021-01-21,21.6,24.6,27.4,26.0,32.0,23.9,9.4,31.3
2021-01-22,0.0,0.0,0.0,26.3,31.3,23.4,9.6,24.8
2021-01-23,8.8,9.4,9.8,26.1,31.2,24.0,10.2,31.3
2021-01-24,5.4,5.6,5.6,26.2,32.6,23.0,9.5,33.2
2021-01-25,1.6,1.6,1.6,26.9,32.3,24.5,9.5,24.8
2021-01-26,0.0,0.0,0.0,27.1,32.5,24.0,9.2,29.1
2021-01-27,0.0,0.0,0.0,26.8,31.2,24.0,9.0,26.7
2021-01-28,16.4,17.6,18.0,26.1,30.6,23.6,10.9,35.2
2021-01-29,0.0,0.0,0.0,27.0,31.1,23.8,11.4,33.5
2021-01-30,0.0,0.0,0.0,26.7,30.5,24.0,11.8,39.3
2021-01-31,0.0,0.0,0.0,26.8,30.3,24.6,10.8,30.9
2021-02-01,0.0,0.0,0.0,26.8,30.5,24.4,12.0,41.5
2021-02-02,0.0,0.0,0.0,27.1,31.0,24.7,11.5,35.6
2021-02-03,0.0,0.0,0.0,27.1,31.6,24.3,11.9,40.7
2021-02-04,0.0,0.0,0.0,27.0,31.6,24.3,12.8,39.6
2021-02-05,0.0,0.0,0.0,26.9,32.2,23.5,11.2,35.2
2021-02-06,0.0,0.0,0.0,27.7,32.0,25.1,14.2,40.0
2021-02-07,0.0,0.0,0.0,28.1,33.2,24.7,11.7,34.6
2021-02-08,0.0,0.0,0.0,27.6,32.6,24.8,12.4,41.5
2021-02-09,0.0,0.0,0.0,27.8,33.2,24.5,9.8,28.9
2021-02-10,14.4,14.4,14.4,27.2,32.1,24.9,9.5,24.8
2021-02-11,23.4,30.6,31.0,27.1,32.8,24.5,9.8,30.2
2021-02-12,6.4,6.4,6.8,27.2,31.9,24.9,11.4,40.7
2021-02-13,6.4,6.4,8.0,26.8,32.3,24.4,11.3,35.0
2021-02-14,0.0,0.0,0.0,27.0,31.5,24.9,13.1,34.3
2021-02-15,0.0,0.0,0.0,27.0,31.4,24.5,13.7,34.6
2021-02-16,0.0,0.0,0.0,27.0,32.0,24.2,11.9,29.4
2021-02-17,0.0,0.0,0.0,26.9,31.5,24.0,12.8,32.8
2021-02-18,0.0,0.0,0.0,27.0,31.8,23.7,13.2,34.6
2021-02-19,0.0,0.0,0.0,26.9,31.0,24.5,14.9,41.5
2021-02-20,0.0,0.0,0.0,26.9,30.7,24.5,14.7,41.1
2021-02-21,0.0,0.0,0.0,27.0,31.7,24.5,13.1,35.9
2021-02-22,0.0,0.0,0.0,27.3,32.6,24.4,11.7,34.6
2021-02-23,0.0,0.0,0.0,27.2,32.4,23.6,11.1,29.4
2021-02-24,0.2,0.2,0.2,26.8,31.2,24.0,10.6,28.5
2021-02-25,0.6,0.8,0.8,27.7,33.8,24.0,9.6,30.9
2021-02-26,0.0,0.0,0.0,28.2,33.9,24.0,9.7,28.9
2021-02-27,0.0,0.0,0.0,28.9,34.3,25.1,9.1,27.8
2021-02-28,0.0,0.0,0.0,28.4,34.6,25.5,9.9,30.9
2021-03-01,0.0,0.0,0.0,28.3,34.1,25.2,9.7,26.3
2021-03-02,0.0,0.0,0.0,28.3,33.9,25.0,11.9,31.7
2021-03-03,0.0,0.0,0.0,28.6,33.9,25.2,9.8,31.7
2021-03-04,0.0,0.0,0.0,28.6,33.5,25.3,11.1,35.0
2021-03-05,0.0,0.0,0.0,28.8,33.7,26.4,10.9,30.2
2021-03-06,1.0,1.0,1.0,28.2,33.4,25.9,12.0,32.4
2021-03-07,22.2,30.4,37.4,26.0,31.8,23.5,8.9,50.4
2021-03-08,0.6,0.6,0.6,27.2,34.2,23.2,9.5,30.9
2021-03-09,0.0,0.0,0.0,27.9,32.8,24.6,11.4,34.3
2021-03-10,0.0,0.0,0.0,27.9,33.4,24.0,11.6,37.0
2021-03-11,0.8,0.8,0.8,27.8,32.8,24.8,10.8,35.6
2021-03-12,3.8,3.8,3.8,26.0,31.3,23.8,8.2,32.0
2021-03-13,33.0,42.2,43.4,26.2,33.0,23.1,8.4,36.7
2021-03-14,1.8,2.0,2.0,27.3,32.4,24.8,8.6,29.8
2021-03-15,2.2,2.2,2.2,27.5,33.3,24.3,9.6,30.6
2021-03-16,0.4,0.6,0.8,27.6,32.4,24.8,8.8,26.7
2021-03-17,41.0,47.6,48.2,26.6,33.3,23.8,8.2,28.5
2021-03-18,26.0,37.0,41.4,26.5,33.4,22.7,8.6,41.1
2021-03-19,0.0,0.0,0.0,28.0,33.6,24.8,8.4,31.7
2021-03-20,3.0,3.4,3.4,27.7,33.3,25.1,8.2,38.5
2021-03-21,17.4,17.6,18.8,27.5,34.0,24.1,8.0,26.3
2021-03-22,0.4,0.4,0.4,28.1,32.8,25.1,9.8,37.8
2021-03-23,28.8,50.8,68.0,26.4,32.8,23.6,7.2,45.4
2021-03-24,18.2,18.4,18.4,25.5,32.0,24.2,7.0,28.2
2021-03-25,0.2,0.2,0.2,26.1,29.2,24.0,9.1,28.5
