Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,22.4,31.0,32.4,25.0,29.6,23.2,3.6,19.1
2022-01-02,13.0,20.2,26.0,23.5,24.4,22.8,4.0,21.7
2022-01-03,0.8,1.2,1.6,25.6,30.6,23.2,4.2,20.9
2022-01-04,4.0,4.2,4.4,25.7,32.2,23.8,5.4,29.8
2022-01-05,7.4,7.8,7.8,27.6,33.4,24.7,5.4,25.6
2022-01-06,0.0,0.0,0.0,28.1,33.6,25.2,5.6,26.7
2022-01-07,8.2,10.6,14.6,27.0,32.1,24.3,5.2,24.8
2022-01-08,0.5,0.5,0.5,27.2,31.2,25.0,6.8,29.4
2022-01-09,0.0,0.0,0.0,27.7,32.3,25.1,7.1,35.6
2022-01-10,0.0,0.0,0.0,27.8,32.3,25.2,7.0,33.9
2022-01-11,0.0,0.0,0.0,27.4,31.3,24.6,6.0,27.8
2022-01-12,0.0,0.0,0.0,27.2,31.8,24.7,7.9,40.4
2022-01-13,0.0,0.0,0.0,27.0,31.8,23.9,7.1,32.0
2022-01-14,0.0,0.0,0.0,27.1,31.5,24.6,7.4,33.9
2022-01-15,0.0,0.0,0.0,27.5,32.7,24.9,7.0,29.4
2022-01-16,0.0,0.0,0.0,27.5,32.0,24.9,7.7,35.6
2022-01-17,3.4,3.4,5.4,26.7,29.8,24.9,6.9,37.8
2022-01-18,0.0,0.0,0.0,27.5,32.4,24.8,7.6,35.6
2022-01-19,1.2,1.2,1.8,26.9,30.4,24.7,6.7,30.2
2022-01-20,26.2,28.6,28.8,26.7,31.8,23.9,5.4,33.2
2022-01-21,0.2,0.2,0.2,27.1,32.7,24.1,7.1,28.5
2022-01-22,0.8,0.8,0.8,27.2,33.9,24.7,6.4,24.8
2022-01-23,0.0,0.0,0.0,27.5,33.0,24.3,5.1,21.7
2022-01-24,0.0,0.0,0.0,27.3,32.3,24.7,4.9,21.3
2022-01-25,0.0,0.0,0.0,27.8,32.9,24.5,6.4,27.0
2022-01-26,0.0,0.0,0.0,27.8,32.8,25.0,5.2,28.9
2022-01-27,0.0,0.0,0.0,27.6,33.3,24.8,5.5,28.2
2022-01-28,0.0,0.0,0.0,27.8,33.3,24.4,5.9,27.8
2022-01-29,0.0,0.0,0.0,27.7,33.7,24.5,4.9,24.4
2022-01-30,3.0,3.8,4.0,26.7,32.5,24.5,5.5,24.4
2022-01-31,0.0,0.0,0.0,27.7,33.2,24.5,6.4,27.4
2022-02-01,0.0,0.0,0.0,27.6,32.1,25.1,7.9,33.2
2022-02-02,1.4,1.4,1.4,27.5,33.0,24.6,4.8,20.9
2022-02-03,0.0,0.0,0.0,28.1,32.5,25.3,7.3,29.8
2022-02-04,0.0,0.0,0.0,28.1,32.3,25.9,8.6,35.9
2022-02-05,4.8,5.0,5.6,27.0,31.4,25.0,7.1,32.0
2022-02-06,19.4,26.0,34.0,25.4,29.2,23.3,4.6,32.4
2022-02-07,1.0,1.6,1.6,26.2,29.7,23.5,6.5,28.9
2022-02-08,0.4,0.6,0.6,26.1,30.4,23.9,5.1,25.9
2022-02-09,34.2,34.6,34.8,26.0,31.4,23.2,4.0,28.2
2022-02-10,2.2,4.0,5.2,24.2,25.8,23.4,4.4,20.6
2022-02-11,1.4,2.4,2.6,25.3,29.3,22.8,4.0,27.4
2022-02-12,21.0,25.8,30.8,26.5,32.7,23.2,5.4,24.4
2022-02-13,0.8,0.8,0.8,26.7,32.5,24.2,3.5,17.6
2022-02-14,0.0,0.0,0.0,27.5,31.8,24.9,4.9,25.9
2022-02-15,11.6,11.8,11.8,27.6,32.5,24.1,4.7,27.4
2022-02-16,7.0,7.6,8.0,26.1,28.4,22.1,3.6,40.7
2022-02-17,7.0,7.0,7.0,27.4,32.1,22.8,4.7,31.3
2022-02-18,0.0,0.0,0.0,28.4,33.1,26.1,5.9,20.9
2022-02-19,0.0,0.0,0.0,27.5,32.5,25.8,4.9,24.1
2022-02-20,29.2,33.6,34.4,26.7,34.2,21.4,4.6,48.2
2022-02-21,0.0,0.0,0.0,28.0,33.0,24.8,5.7,27.8
2022-02-22,0.0,0.0,0.0,27.8,32.5,24.7,6.1,27.8
2022-02-23,0.0,0.0,0.0,27.8,32.6,25.4,6.5,30.6
2022-02-24,7.2,10.0,15.8,24.7,27.3,23.0,6.1,29.8
2022-02-25,0.0,0.0,0.0,26.9,32.5,23.2,5.1,26.3
2022-02-26,0.0,0.0,0.0,27.0,29.6,25.2,3.6,18.3
2022-02-27,2.6,2.6,2.8,25.8,29.0,23.8,5.3,26.7
2022-02-28,0.0,0.0,0.0,27.3,32.3,24.6,7.9,31.7
2022-03-01,0.0,0.0,0.0,27.3,31.8,24.9,5.7,32.0
2022-03-02,9.4,11.8,15.6,26.6,32.9,23.7,5.5,36.7
2022-03-03,4.2,4.8,8.4,26.8,33.3,24.1,5.6,27.8
2022-03-04,0.0,0.0,0.2,27.6,32.1,25.2,6.0,29.1
2022-03-05,0.0,0.0,0.0,27.7,33.2,24.8,4.8,31.7
2022-03-06,0.0,0.0,0.0,27.2,30.9,25.5,3.8,15.7
