Date,Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2017-01-01,0.8,0.8,0.8,27.9,30.5,26.3,8.6,37.8
2017-01-02,0.0,0.0,0.0,27.2,29.6,26.1,6.5,29.5
2017-01-03,2.6,2.6,2.8,27.0,28.8,25.9,6.8,27.0
2017-01-04,3.4,3.4,3.4,27.3,30.6,24.1,8.6,41.8
2017-01-05,1.0,1.4,1.4,28.5,31.7,25.5,7.6,28.8
2017-01-06,0.0,0.0,0.0,28.4,30.3,26.4,7.6,25.2
2017-01-07,0.0,0.0,0.0,28.8,30.7,27.1,9.0,29.2
2017-01-08,0.0,0.0,0.0,28.9,31.8,27.8,9.4,29.2
2017-01-09,0.0,0.0,0.0,28.6,31.9,27.0,9.4,30.2
2017-01-10,9.2,9.6,11.6,28.3,31.6,26.1,9.4,42.1
2017-01-11,1.2,1.4,1.6,27.3,31.5,23.6,9.0,48.2
2017-01-12,0.0,0.0,0.0,28.2,30.7,26.1,7.2,30.6
2017-01-13,0.8,0.8,0.8,27.5,29.9,26.4,7.6,37.4
2017-01-14,0.0,0.0,0.0,27.9,29.9,26.1,8.6,29.2
2017-01-15,6.2,6.2,6.2,27.7,30.7,26.2,7.9,37.4
2017-01-16,0.0,0.0,0.0,27.8,31.1,25.8,8.3,32.4
2017-01-17,0.0,0.0,0.0,27.8,30.5,26.0,7.6,26.6
2017-01-18,3.4,3.8,3.8,27.1,30.7,25.1,9.0,33.8
2017-01-19,7.6,7.8,8.2,27.3,31.4,24.7,6.8,35.3
2017-01-20,6.2,7.8,12.0,26.6,28.1,24.1,7.6,34.2
2017-01-21,10.6,14.0,17.2,27.1,30.5,24.0,9.4,38.5
2017-01-22,19.0,23.6,24.0,27.0,29.7,24.7,10.4,35.3
2017-01-23,10.0,12.4,22.6,25.7,28.0,24.1,8.3,50.8
2017-01-24,2.0,3.2,5.0,24.6,25.1,24.1,7.6,32.0
2017-01-25,0.0,0.0,0.0,26.5,29.2,23.8,9.4,36.7
2017-01-26,0.2,0.2,0.2,27.6,30.6,25.5,9.4,40.0
2017-01-27,0.0,0.0,0.0,27.8,30.2,26.4,14.4,62.3
2017-01-28,1.2,1.2,1.2,26.7,29.3,25.2,10.1,38.5
2017-01-29,0.0,0.0,0.0,26.8,28.7,25.4,8.6,33.1
2017-01-30,0.4,0.6,0.8,26.7,29.2,25.6,9.0,35.3
2017-01-31,0.0,0.0,0.0,27.3,29.7,25.8,11.5,40.7
2017-02-01,0.0,0.0,0.0,27.6,30.4,25.6,10.1,36.0
2017-02-02,0.0,0.0,0.0,27.7,30.3,26.3,6.5,23.8
2017-02-03,21.6,29.4,30.6,27.7,32.4,24.4,7.9,35.3
2017-02-04,16.4,27.6,32.8,27.3,31.7,25.5,7.9,38.5
2017-02-05,3.8,3.8,3.8,27.4,31.8,24.7,9.0,29.5
2017-02-06,2.8,2.8,2.8,27.7,32.7,26.0,9.0,38.9
2017-02-07,18.6,19.4,22.0,26.5,29.7,24.1,7.9,34.9
2017-02-08,18.2,20.2,23.4,26.8,30.6,24.1,7.2,23.8
2017-02-09,0.0,0.0,0.0,28.0,30.8,26.1,9.0,43.2
2017-02-10,0.0,0.0,0.0,27.8,30.6,25.8,14.0,51.1
2017-02-11,0.0,0.0,0.0,27.7,29.9,26.3,17.3,58.3
2017-02-12,1.8,2.0,2.0,26.7,29.1,25.3,14.8,51.1
2017-02-13,0.6,0.8,0.8,27.2,29.3,25.2,14.4,47.9
2017-02-14,0.0,0.0,0.0,27.1,29.1,25.3,16.9,49.7
2017-02-15,3.0,4.0,5.2,26.2,29.7,23.3,13.0,48.2
2017-02-16,0.2,0.2,0.2,27.1,29.5,25.6,13.3,43.2
2017-02-17,0.0,0.0,0.0,27.4,30.1,25.7,13.7,50.0
2017-02-18,0.0,0.0,0.0,27.5,29.8,26.1,13.7,39.2
2017-02-19,0.0,0.0,0.0,27.9,30.5,26.4,15.1,42.8
2017-02-20,0.0,0.0,0.0,28.1,30.9,26.1,13.0,41.4
2017-02-21,0.2,0.2,0.2,28.1,31.0,26.1,10.4,42.5
2017-02-22,0.0,0.0,0.0,27.9,30.4,26.3,7.2,31.3
2017-02-23,3.2,3.8,3.8,27.3,29.2,24.9,9.0,37.1
2017-02-24,25.4,33.8,42.4,25.6,28.2,24.2,9.0,37.8
2017-02-25,0.2,0.2,0.2,27.4,30.7,24.6,7.9,34.2
2017-02-26,0.0,0.0,0.0,27.9,30.8,26.3,10.1,45.0
2017-02-27,0.0,0.0,0.0,27.7,30.2,25.7,10.4,37.1
2017-02-28,13.2,14.2,14.6,27.6,29.8,25.5,11.9,45.7
2017-03-01,12.8,19.6,30.8,25.7,27.6,23.5,10.4,35.3
2017-03-02,0.2,0.2,0.2,27.4,30.0,25.4,11.5,40.0
2017-03-03,4.0,4.0,4.4,27.2,29.8,24.3,12.2,38.5
