Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,5.0,5.8,6.2,26.1,28.8,24.0,6.7,27.4
2022-01-02,4.6,6.0,11.6,24.9,25.5,24.3,5.6,23.0
2022-01-03,4.6,4.6,4.6,26.2,29.2,24.2,6.4,35.9
2022-01-04,3.0,3.0,3.0,26.8,30.1,25.2,7.2,26.3
2022-01-05,0.0,0.0,0.0,28.1,32.7,25.9,8.1,32.8
2022-01-06,0.0,0.0,0.0,28.6,31.9,26.4,10.6,41.1
2022-01-07,0.0,0.0,0.0,28.5,31.4,26.6,10.2,37.4
2022-01-08,0.0,0.0,0.0,28.2,30.5,26.8,12.1,35.2
2022-01-09,0.0,0.0,0.0,28.4,31.1,26.5,12.4,43.9
2022-01-10,0.0,0.0,0.0,28.2,30.9,26.4,13.8,43.2
2022-01-11,0.0,0.0,0.0,27.9,30.4,26.3,12.7,40.0
2022-01-12,0.0,0.0,0.0,27.9,30.8,26.1,14.3,46.5
2022-01-13,0.0,0.0,0.0,27.7,30.9,25.3,14.0,41.9
2022-01-14,0.0,0.0,0.0,27.8,30.9,25.9,13.9,46.5
2022-01-15,0.0,0.0,0.0,28.1,31.6,26.2,13.0,42.4
2022-01-16,0.0,0.0,0.0,28.2,31.1,26.5,14.2,40.0
2022-01-17,0.0,0.0,0.0,28.1,30.4,26.8,14.3,47.8
2022-01-18,0.0,0.0,0.0,28.1,31.4,26.4,14.4,42.0
2022-01-19,1.8,1.8,1.8,27.3,29.7,25.1,12.2,47.2
2022-01-20,0.0,0.0,0.0,27.9,30.4,26.3,10.2,33.5
2022-01-21,0.0,0.0,0.0,27.9,31.0,25.6,12.8,45.0
2022-01-22,0.0,0.0,0.0,28.2,31.8,26.1,10.3,38.2
2022-01-23,0.0,0.0,0.0,27.9,30.9,25.9,9.0,27.0
2022-01-24,0.0,0.0,0.0,28.0,31.7,26.0,8.7,32.4
2022-01-25,0.0,0.0,0.0,28.2,31.7,25.9,12.5,40.7
2022-01-26,0.0,0.0,0.0,28.3,31.7,26.5,9.8,41.5
2022-01-27,0.0,0.0,0.0,28.2,31.7,26.1,9.5,35.2
2022-01-28,0.0,0.0,0.0,28.6,32.7,25.9,10.8,36.7
2022-01-29,0.0,0.0,0.0,28.2,32.0,25.8,8.8,31.3
