Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,21.8,27.0,27.8,25.8,30.3,24.0,7.8,37.4
2022-01-02,7.2,8.4,11.2,24.6,25.5,23.5,8.9,28.5
2022-01-03,0.2,0.2,0.2,26.1,29.2,23.9,9.1,31.3
2022-01-04,1.0,1.0,1.0,26.5,31.0,24.6,11.1,32.0
2022-01-05,0.0,0.0,0.0,28.2,33.0,24.9,11.4,34.3
2022-01-06,0.0,0.0,0.0,28.8,33.7,26.1,11.4,33.5
2022-01-07,1.0,1.2,1.4,27.8,32.7,25.7,10.0,33.5
2022-01-08,2.0,2.0,2.0,28.1,32.4,26.2,10.0,37.4
2022-01-09,0.0,0.0,0.0,28.7,33.1,26.1,10.2,40.7
2022-01-10,0.0,0.0,0.0,28.6,32.5,26.0,10.4,38.5
2022-01-11,2.8,3.4,3.4,27.7,33.0,25.4,9.1,33.5
2022-01-12,0.0,0.0,0.0,28.2,33.3,25.7,10.2,42.8
2022-01-13,0.0,0.0,0.0,28.0,33.6,25.0,9.5,39.3
2022-01-14,0.0,0.0,0.0,28.0,32.3,25.4,10.3,40.7
2022-01-15,1.0,1.0,1.0,27.9,31.9,25.9,9.0,33.2
2022-01-16,3.2,5.8,7.2,27.8,32.3,25.0,9.8,42.4
2022-01-17,3.4,5.0,5.6,27.5,31.5,25.9,9.9,39.6
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,,,,,,,,
2022-01-20,,,,,,,,
2022-01-21,,,,,,,,
2022-01-22,,,,,,,,
2022-01-23,,,,,,,,
2022-01-24,,,,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,28.2,32.3,25.8,9.5,38.2
2022-01-27,0.0,0.0,0.0,28.1,32.4,25.5,9.1,35.2
2022-01-28,0.0,0.0,0.0,28.8,33.7,25.8,10.4,37.0
2022-01-29,0.0,0.0,0.0,28.3,32.1,25.2,10.6,42.8
2022-01-30,0.0,0.0,0.0,28.0,32.3,25.9,11.0,34.6
2022-01-31,0.0,0.0,0.0,28.5,33.0,26.1,11.5,38.2
2022-02-01,0.0,0.0,0.0,28.7,33.4,26.4,11.6,42.8
2022-02-02,0.0,0.0,0.0,28.2,31.2,26.1,10.2,32.8
2022-02-03,0.0,0.0,0.0,28.5,32.4,26.3,11.5,45.0
2022-02-04,0.6,0.6,0.6,29.1,33.3,26.2,12.3,46.9
2022-02-05,1.2,1.6,1.6,28.0,32.5,24.5,11.1,45.7
2022-02-06,17.2,21.0,29.8,25.9,29.7,23.3,10.3,32.8
2022-02-07,1.0,1.6,1.8,26.7,30.9,23.4,11.0,41.5
2022-02-08,10.6,11.2,13.4,26.1,30.9,24.0,8.8,27.4
2022-02-09,16.0,16.4,16.4,26.0,30.3,24.6,8.8,24.8
2022-02-10,4.4,5.6,6.8,24.8,26.4,23.5,10.8,33.5
2022-02-11,0.8,0.8,0.8,26.2,29.8,23.7,10.3,35.6
2022-02-12,0.0,0.0,0.2,27.7,33.6,24.5,10.0,34.3
2022-02-13,0.0,0.0,0.0,27.9,30.8,25.4,8.8,30.6
2022-02-14,0.0,0.0,0.0,28.2,30.7,26.1,13.4,39.3
2022-02-15,0.0,0.0,0.0,28.3,31.5,27.0,14.0,37.0
2022-02-16,6.8,8.0,8.6,26.8,29.2,22.6,9.5,63.3
2022-02-17,0.0,0.0,0.0,27.9,31.1,24.7,12.4,44.6
2022-02-18,0.2,0.2,0.2,28.8,31.0,27.2,15.5,45.4
2022-02-19,0.0,0.0,0.0,28.1,31.8,26.0,9.6,33.2
2022-02-20,21.8,22.4,22.4,27.6,32.0,22.5,9.1,46.9
2022-02-21,3.0,3.0,3.0,28.4,32.8,26.1,9.0,39.3
2022-02-22,0.0,0.0,0.0,28.8,33.5,26.0,10.1,40.7
2022-02-23,7.2,7.2,7.2,28.2,31.5,25.4,12.4,38.2
2022-02-24,5.6,7.0,10.4,25.0,27.3,23.4,10.5,39.6
2022-02-25,0.0,0.0,0.0,27.3,31.3,24.1,10.6,30.6
2022-02-26,0.0,0.0,0.0,27.3,29.7,26.0,9.4,38.9
2022-02-27,1.4,1.4,1.4,27.1,29.7,23.7,11.6,46.1
2022-02-28,10.8,11.0,13.4,27.5,31.2,25.8,10.1,41.5
2022-03-01,17.0,17.0,17.0,27.2,30.2,23.9,9.2,40.4
2022-03-02,2.6,2.6,2.6,27.7,32.6,25.0,8.4,32.4
2022-03-03,6.2,6.2,10.4,27.3,32.6,24.1,9.6,38.5
2022-03-04,0.0,0.0,0.0,28.4,32.8,26.0,12.1,35.0
2022-03-05,0.0,0.0,0.0,28.4,33.0,25.4,9.9,32.4
2022-03-06,0.0,0.0,0.0,27.4,29.5,25.9,6.9,21.3
2022-03-07,0.0,0.0,0.0,27.8,31.7,25.5,8.8,34.6
2022-03-08,0.0,0.0,0.0,27.9,30.8,25.5,9.5,40.0
2022-03-09,11.8,16.6,20.4,27.9,31.9,25.4,9.9,34.6
2022-03-10,4.8,6.0,10.0,27.1,31.6,22.5,8.9,46.5
2022-03-11,15.4,15.4,15.4,28.2,32.6,24.7,9.4,28.9
2022-03-12,0.4,0.4,0.4,28.3,33.7,25.9,9.0,38.5
2022-03-13,0.0,0.0,0.0,28.8,34.0,25.4,10.1,33.2
2022-03-14,0.0,0.0,0.0,29.0,32.3,27.2,10.9,35.2
2022-03-15,4.2,5.6,6.2,27.2,30.2,25.3,8.2,31.7
2022-03-16,0.4,0.4,0.4,28.3,31.1,25.5,8.4,33.5
2022-03-17,2.2,2.2,2.2,28.2,31.5,26.5,8.5,26.3
2022-03-18,0.2,0.2,0.2,28.3,31.9,25.3,9.2,35.0
2022-03-19,0.0,0.0,0.0,29.8,34.9,26.0,9.3,27.4
2022-03-20,0.4,0.6,0.6,28.2,31.0,24.6,9.6,32.8
2022-03-21,2.8,4.8,6.6,28.2,31.4,22.9,8.8,46.5
2022-03-22,0.0,0.0,0.0,29.0,32.3,27.6,13.8,42.8
2022-03-23,0.0,0.0,0.0,29.3,32.7,27.0,11.2,40.7
2022-03-24,0.0,0.0,0.0,29.2,33.1,26.2,9.5,35.6
2022-03-25,0.0,0.0,0.0,29.4,32.8,27.7,12.7,37.0
2022-03-26,0.0,0.0,0.0,29.6,33.1,27.4,9.3,28.9
2022-03-27,0.0,0.0,0.0,29.9,34.0,26.5,10.1,33.5
2022-03-28,0.0,0.0,0.0,29.4,32.8,27.9,9.5,30.9
2022-03-29,0.6,1.0,1.2,28.8,34.8,24.8,9.5,38.2
2022-03-30,0.0,0.0,0.0,29.6,33.6,26.8,9.4,30.9
2022-03-31,0.0,0.0,0.0,28.7,32.5,26.4,9.6,37.8
2022-04-01,0.0,0.0,0.0,29.9,33.7,27.2,10.3,35.0
2022-04-02,0.0,0.0,0.0,29.3,34.6,27.1,9.0,29.4
2022-04-03,0.0,0.0,0.0,28.2,30.6,26.0,7.5,31.3
2022-04-04,0.0,0.0,0.0,28.6,33.0,24.8,8.6,28.9
2022-04-05,8.0,11.8,11.8,28.6,31.8,26.2,9.4,33.9
2022-04-06,0.0,0.0,0.0,28.8,32.4,26.6,9.4,32.4
2022-04-07,2.6,3.4,5.6,26.8,28.0,24.0,7.6,36.3
2022-04-08,0.0,0.0,0.0,28.8,33.5,25.5,9.2,29.1
2022-04-09,7.2,7.8,9.2,27.3,30.0,22.5,7.6,48.5
2022-04-10,0.0,0.0,0.0,28.5,31.4,26.7,9.0,34.6
2022-04-11,0.0,0.0,0.0,27.9,30.6,26.2,7.9,32.8
2022-04-12,0.0,0.0,0.0,29.2,32.5,26.2,7.8,25.6
2022-04-13,5.4,5.8,5.8,28.2,30.7,23.8,7.6,26.7
2022-04-14,0.0,0.0,0.0,29.0,33.0,24.5,7.9,31.3
2022-04-15,5.2,6.8,7.2,28.2,30.5,24.4,8.6,39.3
2022-04-16,14.8,17.4,17.6,28.8,32.0,23.0,8.2,41.9
2022-04-17,0.6,0.6,0.6,29.1,32.8,26.4,10.2,34.6
2022-04-18,26.2,37.0,41.8,26.8,34.0,22.8,10.2,53.3
2022-04-19,1.8,2.0,2.0,27.6,30.7,25.6,7.3,31.7
2022-04-20,,,,,,,,
2022-04-21,,,,,,,,
2022-04-22,,,,,,,,
2022-04-23,19.4,21.6,21.6,28.3,32.9,23.6,8.1,51.5
