Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,37.8,38.8,39.6,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,9.0,9.0,9.0,,,,,
2023-01-06,0.2,0.2,0.2,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,0.0,0.0,0.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,3.4,3.6,3.8,,,,,
2023-01-14,0.8,0.8,1.0,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,0.2,0.2,0.2,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,1.2,1.8,2.2,,,,,
2023-01-20,4.2,4.6,6.0,,,,,
2023-01-21,0.4,0.4,0.8,,,,,
2023-01-22,13.2,24.0,31.2,,,,,
2023-01-23,2.2,2.2,2.4,,,,,
2023-01-24,1.8,3.2,5.6,,,,,
2023-01-25,6.6,8.8,11.2,,,,,
2023-01-26,4.8,5.6,6.6,,,,,
2023-01-27,0.4,0.4,0.6,,,,,
2023-01-28,1.6,2.4,3.4,,,,,
2023-01-29,1.4,2.8,4.0,,,,,
2023-01-30,2.2,2.2,3.6,,,,,
2023-01-31,1.4,2.0,2.6,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,15.0,17.4,19.0,,,,,
2023-02-03,9.6,10.8,20.6,,,,,
2023-02-04,2.8,2.8,3.0,,,,,
2023-02-05,51.2,66.2,72.0,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,4.6,5.4,5.4,,,,,
2023-02-09,0.2,0.2,0.2,,,,,
2023-02-10,6.6,7.0,7.4,,,,,
2023-02-11,5.8,5.8,5.8,,,,,
2023-02-12,9.6,13.2,15.0,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,0.0,0.0,0.0,,,,,
2023-02-15,6.4,9.4,10.6,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,7.0,9.0,10.0,,,,,
2023-02-18,9.5,10.5,10.5,,,,,
2023-02-19,3.0,3.5,7.0,,,,,
2023-02-20,0.5,0.5,0.5,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,1.5,1.5,1.5,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.0,0.0,0.0,,,,,
2023-02-27,0.5,0.5,0.5,,,,,
2023-02-28,14.5,24.5,40.5,,,,,
2023-03-01,6.5,10.5,19.0,,,,,
2023-03-02,15.5,24.5,37.0,,,,,
2023-03-03,5.5,8.0,10.5,,,,,
2023-03-04,5.0,7.5,12.5,,,,,
2023-03-05,9.5,9.5,10.0,,,,,
2023-03-06,0.2,0.2,0.2,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,20.0,25.2,29.4,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.0,0.0,0.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,8.0,11.0,18.6,,,,,
2023-03-20,16.8,17.4,17.8,,,,,
2023-03-21,8.2,8.8,8.8,,,,,
2023-03-22,0.8,0.8,0.8,,,,,
2023-03-23,6.2,6.4,6.4,,,,,
2023-03-24,2.8,2.8,2.8,,,,,
2023-03-25,1.6,1.6,2.6,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,3.8,6.6,9.6,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.6,0.8,1.0,,,,,
2023-03-30,22.0,23.4,24.2,,,,,
2023-03-31,2.4,2.4,2.6,,,,,
2023-04-01,2.0,2.0,2.2,,,,,
2023-04-02,4.4,4.4,4.4,,,,,
2023-04-03,11.6,13.0,16.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,11.0,11.6,12.0,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,33.8,38.4,39.0,,,,,
2023-04-09,23.2,39.4,43.4,,,,,
2023-04-10,0.0,0.0,0.0,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,0.0,0.0,0.0,,,,,
2023-04-15,0.0,0.0,0.0,,,,,
2023-04-16,1.0,1.0,1.0,,,,,
2023-04-17,13.0,13.0,13.0,,,,,
2023-04-18,8.0,8.2,9.4,,,,,
2023-04-19,0.6,0.6,0.8,,,,,
2023-04-20,2.0,3.2,3.4,,,,,
2023-04-21,0.8,1.2,1.4,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,7.6,7.8,10.0,,,,,
2023-04-25,30.4,30.4,30.4,,,,,
2023-04-26,4.2,4.6,4.6,,,,,
2023-04-27,0.2,0.2,0.2,,,,,
2023-04-28,4.0,4.2,7.4,,,,,
2023-04-29,4.8,5.2,5.2,,,,,
