Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,26.6,30.4,24.5,6.5,26.7
2023-01-02,0.0,0.0,0.0,27.1,32.4,24.1,8.5,38.5
2023-01-03,18.2,18.2,18.4,26.5,32.4,23.8,7.3,29.8
2023-01-04,0.0,0.0,0.0,26.4,29.6,24.2,8.6,30.9
2023-01-05,0.6,0.8,0.8,26.4,31.2,24.5,6.8,28.9
2023-01-06,0.6,0.6,0.6,27.6,31.9,25.0,8.4,31.7
2023-01-07,0.0,0.0,0.0,26.6,30.0,24.5,8.1,27.4
2023-01-08,0.0,0.0,0.0,27.6,31.4,24.8,8.6,40.7
2023-01-09,0.0,0.0,0.0,27.3,31.1,24.8,6.4,29.1
2023-01-10,0.0,0.0,0.0,27.2,31.6,25.4,5.8,25.6
2023-01-11,0.0,0.0,0.0,26.3,29.9,24.8,5.5,29.4
2023-01-12,0.0,0.0,0.0,27.5,32.6,24.2,5.5,23.7
2023-01-13,8.4,10.2,11.6,26.3,30.8,24.0,4.4,17.2
2023-01-14,0.8,0.8,1.0,26.8,31.5,24.2,5.1,24.1
2023-01-15,0.0,0.0,0.0,27.1,30.9,24.8,7.4,31.7
2023-01-16,0.2,0.2,0.2,27.1,32.8,24.8,6.7,34.3
2023-01-17,0.0,0.0,0.0,27.7,33.0,24.7,9.2,33.5
2023-01-18,0.0,0.0,0.0,26.9,31.3,24.3,9.7,33.9
2023-01-19,9.6,12.8,19.8,25.4,29.3,23.2,8.0,37.4
2023-01-20,4.2,4.2,4.4,25.2,28.2,23.6,6.6,33.9
2023-01-21,0.8,1.0,1.4,26.3,31.0,24.1,6.6,21.3
2023-01-22,8.0,11.0,18.0,24.9,29.5,23.7,5.5,33.9
2023-01-23,6.4,6.4,6.4,24.2,27.1,23.2,5.2,25.9
2023-01-24,1.8,3.2,5.4,23.3,24.1,22.3,7.1,27.4
2023-01-25,16.2,18.0,28.2,23.1,23.9,22.3,5.7,19.8
2023-01-26,,,,,,,,
2023-01-27,1.0,1.0,1.0,26.4,30.7,23.2,9.0,35.9
2023-01-28,2.0,2.2,2.8,23.7,25.0,22.9,10.7,42.4
2023-01-29,1.4,2.4,3.8,23.8,25.7,22.6,12.0,43.2
2023-01-30,,,,,,,,
2023-01-31,0.8,1.2,1.8,24.3,26.2,23.6,7.9,29.8
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,12.2,18.4,24.4,25.8,32.2,22.9,8.3,40.4
2023-02-03,20.2,22.6,24.6,26.0,32.3,21.8,6.5,30.2
2023-02-04,1.0,1.8,2.8,24.4,27.0,23.5,7.6,33.9
2023-02-05,16.2,19.4,21.0,25.5,32.5,23.5,5.9,23.3
2023-02-06,0.0,0.0,0.0,25.5,29.4,23.3,7.0,27.4
2023-02-07,0.0,0.0,0.0,26.7,32.2,23.3,6.7,24.1
2023-02-08,1.8,2.2,2.2,26.6,32.0,24.4,8.1,27.0
2023-02-09,0.8,0.8,0.8,26.8,31.2,24.7,6.9,23.3
2023-02-10,1.8,1.8,2.0,26.9,32.3,24.1,7.0,22.4
2023-02-11,0.6,0.6,0.6,26.8,31.9,24.8,8.9,35.2
2023-02-12,13.6,16.6,17.6,25.2,32.4,21.9,6.2,25.6
2023-02-13,0.0,0.0,0.0,26.7,32.6,23.4,6.4,20.9
2023-02-14,0.4,0.4,0.4,26.9,32.6,24.7,6.8,21.7
2023-02-15,14.6,19.8,24.2,25.7,29.7,21.3,8.1,40.0
2023-02-16,0.0,0.0,0.0,26.5,30.9,23.2,7.0,27.4
2023-02-17,8.2,12.8,14.4,25.8,30.3,23.5,7.4,28.9
2023-02-18,2.0,3.2,3.2,27.0,32.8,24.0,8.0,30.2
2023-02-19,1.0,1.8,2.8,26.9,32.5,24.6,8.2,29.8
2023-02-20,3.8,5.0,6.0,26.0,30.6,23.9,7.2,38.9
2023-02-21,0.0,0.0,0.0,26.8,31.5,23.7,9.5,35.0
2023-02-22,4.6,4.8,4.8,26.6,30.4,24.8,8.2,28.5
2023-02-23,0.0,0.0,0.0,26.9,31.1,24.4,9.9,32.8
2023-02-24,0.0,0.0,0.0,27.4,32.0,24.9,11.0,36.7
2023-02-25,0.0,0.0,0.0,26.7,31.9,24.0,9.6,34.3
2023-02-26,0.0,0.0,0.0,26.9,31.4,24.1,14.4,42.8
2023-02-27,0.6,0.6,0.6,26.1,30.4,23.9,10.7,43.2
2023-02-28,26.0,41.8,65.4,24.0,26.2,22.0,7.4,45.0
2023-03-01,6.4,14.2,43.4,23.1,25.7,21.6,8.0,36.7
2023-03-02,6.0,10.0,14.6,24.2,31.1,22.5,6.4,43.2
2023-03-03,5.4,6.4,8.2,23.8,24.8,22.9,6.6,23.0
2023-03-04,3.8,6.4,9.4,23.4,24.2,21.9,10.2,39.3
2023-03-05,,,,,,,,
2023-03-06,0.0,0.0,0.0,25.7,30.9,23.1,8.9,31.3
2023-03-07,0.0,0.0,0.0,25.8,29.4,23.5,12.0,37.8
2023-03-08,14.8,16.2,19.0,25.7,31.2,23.5,8.4,36.3
2023-03-09,0.0,0.0,0.0,27.0,31.4,24.3,10.7,37.8
2023-03-10,0.0,0.0,0.0,27.1,30.7,25.0,10.2,35.0
2023-03-11,0.0,0.0,0.0,27.2,31.1,25.0,9.8,29.8
2023-03-12,0.2,0.2,0.2,27.1,33.5,24.6,8.5,32.0
2023-03-13,0.0,0.0,0.0,26.8,30.4,24.7,12.7,44.3
2023-03-14,0.6,0.6,0.6,26.1,29.8,23.9,9.2,33.2
2023-03-15,0.0,0.0,0.0,26.6,30.5,23.8,9.0,29.4
