Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,8.2,13.4,18.4,,,,,
2021-01-02,,,,,,,,
2021-01-03,,,,,,,,
2021-01-04,,,,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,0.0,0.0,0.0,,,,,
2021-01-07,2.8,3.0,3.0,,,,,
2021-01-08,2.8,3.0,3.2,,,,,
2021-01-09,9.0,10.8,11.6,,,,,
2021-01-10,12.6,16.6,25.0,,,,,
2021-01-11,0.2,0.8,1.8,,,,,
2021-01-12,4.0,4.4,4.8,,,,,
2021-01-13,0.6,0.6,0.6,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,3.6,4.8,5.2,,,,,
2021-01-22,0.0,0.0,0.0,,,,,
2021-01-23,26.4,30.4,31.2,,,,,
2021-01-24,8.4,8.6,8.6,,,,,
2021-01-25,0.8,0.8,0.8,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.8,0.8,0.8,,,,,
2021-01-28,2.0,2.2,2.4,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,0.0,0.0,0.0,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.2,0.2,0.2,,,,,
2021-02-09,0.0,0.0,0.0,,,,,
2021-02-10,3.2,4.0,5.6,,,,,
2021-02-11,5.2,6.0,6.2,,,,,
2021-02-12,0.0,0.0,0.0,,,,,
2021-02-13,11.6,12.6,19.4,,,,,
2021-02-14,4.4,4.4,5.0,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,3.8,3.8,3.8,,,,,
2021-02-25,2.0,3.2,3.2,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,5.6,5.6,5.6,,,,,
2021-03-07,19.0,28.2,35.6,,,,,
2021-03-08,0.2,0.2,0.2,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,32.2,33.2,33.6,,,,,
2021-03-13,1.2,1.2,1.2,,,,,
2021-03-14,4.2,4.4,4.4,,,,,
2021-03-15,17.0,17.0,17.0,,,,,
2021-03-16,0.0,0.0,0.0,,,,,
2021-03-17,1.4,1.4,1.4,,,,,
2021-03-18,30.8,38.6,39.8,,,,,
2021-03-19,0.0,0.0,0.0,,,,,
2021-03-20,0.0,0.0,0.0,,,,,
2021-03-21,18.2,18.6,18.6,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,40.6,64.8,89.0,,,,,
2021-03-24,15.8,18.4,19.2,,,,,
2021-03-25,0.0,0.0,0.0,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,1.4,2.0,2.2,,,,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,18.4,23.4,26.0,,,,,
2021-03-30,0.2,0.2,0.2,,,,,
2021-03-31,23.6,28.0,30.6,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,9.4,10.4,18.4,,,,,
2021-04-03,3.0,3.0,3.0,,,,,
2021-04-04,11.8,22.0,30.0,,,,,
2021-04-05,44.4,52.4,53.4,,,,,
2021-04-06,39.4,44.0,44.0,,,,,
2021-04-07,8.8,9.0,9.0,,,,,
2021-04-08,0.0,0.0,0.0,,,,,
2021-04-09,44.4,45.6,45.6,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,15.8,16.6,16.6,,,,,
2021-04-13,0.0,0.0,0.0,,,,,
2021-04-14,4.4,5.2,5.4,,,,,
2021-04-15,9.0,9.8,10.0,,,,,
2021-04-16,0.4,0.4,0.4,,,,,
2021-04-17,42.6,66.6,118.2,,,,,
2021-04-18,0.0,0.0,0.0,,,,,
2021-04-19,0.0,0.0,0.0,,,,,
2021-04-20,0.0,0.0,0.0,,,,,
2021-04-21,0.0,0.0,0.0,,,,,
2021-04-22,24.8,30.4,30.4,,,,,
2021-04-23,0.4,0.4,0.4,,,,,
2021-04-24,9.6,13.0,18.8,,,,,
2021-04-25,0.0,0.0,0.0,,,,,
2021-04-26,13.2,16.4,16.4,,,,,
2021-04-27,0.0,0.0,0.0,,,,,
2021-04-28,0.0,0.0,0.0,,,,,
2021-04-29,0.0,0.0,0.0,,,,,
2021-04-30,0.8,0.8,0.8,,,,,
2021-05-01,1.8,1.8,1.8,,,,,
2021-05-02,0.0,0.0,0.0,,,,,
2021-05-03,0.0,0.0,0.0,,,,,
2021-05-04,4.6,8.8,10.4,,,,,
2021-05-05,3.0,3.2,3.4,,,,,
2021-05-06,0.6,1.0,1.6,,,,,
2021-05-07,9.0,9.6,9.6,,,,,
2021-05-08,0.6,0.8,1.0,,,,,
2021-05-09,0.0,0.0,0.0,,,,,
2021-05-10,0.0,0.0,0.0,,,,,
2021-05-11,0.0,0.0,0.0,,,,,
2021-05-12,23.6,26.2,26.8,,,,,
2021-05-13,0.0,0.0,0.0,,,,,
2021-05-14,7.0,7.2,7.2,,,,,
2021-05-15,0.6,1.0,1.4,,,,,
2021-05-16,0.0,0.0,0.0,,,,,
2021-05-17,20.2,20.2,20.2,,,,,
2021-05-18,25.8,30.0,50.8,,,,,
2021-05-19,0.0,0.0,0.0,,,,,
2021-05-20,0.0,0.0,0.0,,,,,
2021-05-21,54.4,62.6,71.2,,,,,
2021-05-22,0.0,0.0,0.0,,,,,
2021-05-23,0.0,0.0,0.0,,,,,
2021-05-24,0.0,0.0,0.0,,,,,
2021-05-25,0.0,0.0,0.0,,,,,
2021-05-26,0.0,0.0,0.0,,,,,
2021-05-27,0.2,0.2,0.2,,,,,
2021-05-28,0.0,0.0,0.0,,,,,
2021-05-29,0.2,0.2,0.2,,,,,
2021-05-30,0.0,0.0,0.0,,,,,
2021-05-31,4.6,5.4,5.8,,,,,
2021-06-01,3.0,3.0,3.0,,,,,
2021-06-02,,,,,,,,
2021-06-03,0.0,0.0,0.0,,,,,
2021-06-04,10.0,10.0,10.0,,,,,
