Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,12.2,20.4,26.0,,,,,
2021-01-02,13.2,20.2,32.4,,,,,
2021-01-03,0.6,1.0,1.2,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,0.0,0.0,0.0,,,,,
2021-01-07,3.0,3.0,3.0,,,,,
2021-01-08,2.2,2.6,2.8,,,,,
2021-01-09,16.4,27.4,43.8,,,,,
2021-01-10,,,,,,,,
2021-01-11,,,,,,,,
2021-01-12,,,,,,,,
2021-01-13,1.4,1.4,1.8,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,18.2,20.6,27.2,,,,,
2021-01-22,0.0,0.0,0.0,,,,,
2021-01-23,6.2,6.8,6.8,,,,,
2021-01-24,0.4,0.6,0.8,,,,,
2021-01-25,5.0,5.2,5.2,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,3.0,3.2,3.2,,,,,
2021-01-28,12.6,15.0,15.2,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,0.0,0.0,0.0,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.8,0.8,0.8,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.0,0.0,0.0,,,,,
2021-02-09,0.0,0.0,0.0,,,,,
2021-02-10,0.8,0.8,0.8,,,,,
2021-02-11,36.6,41.6,41.8,,,,,
2021-02-12,22.4,23.2,24.2,,,,,
2021-02-13,0.0,0.0,0.0,,,,,
2021-02-14,0.0,0.0,0.0,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,0.0,0.0,0.0,,,,,
2021-02-25,20.6,23.8,23.8,,,,,
2021-02-26,0.2,0.2,0.2,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,6.4,7.0,7.0,,,,,
2021-03-01,4.6,4.6,4.6,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,0.0,0.0,0.0,,,,,
2021-03-07,26.4,33.8,49.0,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,18.2,18.6,18.6,,,,,
2021-03-13,9.0,11.2,14.6,,,,,
2021-03-14,6.2,7.8,8.0,,,,,
2021-03-15,2.2,2.6,2.8,,,,,
2021-03-16,18.2,25.2,25.4,,,,,
2021-03-17,10.4,12.0,13.4,,,,,
2021-03-18,17.2,28.0,28.4,,,,,
2021-03-19,3.6,4.2,6.8,,,,,
2021-03-20,0.2,0.2,0.2,,,,,
2021-03-21,0.0,0.0,0.0,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,11.0,13.4,13.4,,,,,
2021-03-24,15.4,15.4,16.0,,,,,
2021-03-25,0.0,0.0,0.0,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,1.4,2.6,3.0,,,,,
2021-03-28,6.4,6.4,6.4,,,,,
2021-03-29,30.4,37.0,39.8,,,,,
2021-03-30,0.0,0.0,0.0,,,,,
2021-03-31,1.2,1.4,1.6,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,26.6,32.6,33.0,,,,,
2021-04-03,1.6,1.8,2.2,,,,,
2021-04-04,3.2,4.4,5.0,,,,,
2021-04-05,2.0,3.4,4.2,,,,,
2021-04-06,1.4,1.4,1.4,,,,,
2021-04-07,1.0,1.0,1.0,,,,,
2021-04-08,2.4,2.6,2.6,,,,,
2021-04-09,5.0,5.0,5.0,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,0.0,0.0,0.0,,,,,
2021-04-13,23.2,23.6,23.8,,,,,
2021-04-14,0.0,0.0,0.0,,,,,
2021-04-15,6.6,7.8,9.4,,,,,
2021-04-16,0.0,0.0,0.0,,,,,
2021-04-17,38.0,51.2,78.4,,,,,
2021-04-18,1.0,1.2,1.2,,,,,
2021-04-19,0.4,0.4,0.4,,,,,
2021-04-20,0.0,0.0,0.0,,,,,
2021-04-21,0.0,0.0,0.0,,,,,
2021-04-22,4.8,6.6,6.6,,,,,
2021-04-23,0.0,0.0,0.0,,,,,
2021-04-24,2.2,3.8,6.2,,,,,
2021-04-25,0.0,0.0,0.0,,,,,
2021-04-26,16.4,18.6,18.6,,,,,
2021-04-27,1.8,1.8,1.8,,,,,
2021-04-28,34.0,36.2,36.2,,,,,
2021-04-29,2.4,3.6,3.6,,,,,
2021-04-30,12.0,12.2,12.2,,,,,
2021-05-01,0.0,0.0,0.0,,,,,
2021-05-02,1.4,1.4,1.6,,,,,
2021-05-03,0.0,0.0,0.0,,,,,
2021-05-04,0.0,0.0,0.0,,,,,
2021-05-05,7.8,10.2,11.8,,,,,
2021-05-06,1.2,1.8,2.0,,,,,
2021-05-07,2.8,3.0,3.2,,,,,
2021-05-08,1.6,2.8,3.0,,,,,
2021-05-09,0.2,0.4,1.4,,,,,
2021-05-10,0.0,0.0,0.0,,,,,
2021-05-11,2.6,2.6,2.6,,,,,
