Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,6.8,8.2,11.4,,,,,
2022-01-02,3.6,6.8,12.0,,,,,
2022-01-03,0.2,0.4,0.6,,,,,
2022-01-04,22.0,22.8,24.4,,,,,
2022-01-05,7.6,7.8,7.8,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,10.0,10.6,11.2,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,0.0,0.0,0.0,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,1.5,1.5,1.5,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,0.0,0.0,0.0,,,,,
2022-01-20,8.0,8.5,9.0,,,,,
2022-01-21,0.5,0.5,0.5,,,,,
2022-01-22,0.0,0.0,0.0,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,5.0,5.0,5.5,,,,,
2022-01-30,6.5,6.5,6.5,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,14.0,14.0,14.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,1.0,1.0,1.0,,,,,
2022-02-05,5.0,5.0,5.5,,,,,
2022-02-06,28.5,32.5,33.0,,,,,
2022-02-07,0.5,1.0,1.5,,,,,
2022-02-08,2.0,2.0,3.0,,,,,
2022-02-09,24.0,32.0,56.5,,,,,
2022-02-10,1.6,2.0,3.0,,,,,
2022-02-11,0.2,0.2,0.2,,,,,
2022-02-12,0.4,0.8,0.8,,,,,
2022-02-13,0.4,0.6,0.6,,,,,
2022-02-14,8.0,8.0,8.0,,,,,
2022-02-15,1.5,2.0,2.0,,,,,
2022-02-16,16.5,16.5,17.0,,,,,
2022-02-17,0.0,0.0,0.0,,,,,
2022-02-18,0.0,0.0,0.0,,,,,
2022-02-19,0.0,0.0,0.0,,,,,
2022-02-20,32.0,33.5,34.0,,,,,
2022-02-21,0.0,0.0,0.0,,,,,
2022-02-22,0.0,0.0,0.0,,,,,
2022-02-23,0.0,0.0,0.0,,,,,
2022-02-24,9.5,16.0,19.0,,,,,
2022-02-25,0.0,0.0,0.0,,,,,
2022-02-26,0.0,0.0,0.0,,,,,
2022-02-27,1.2,1.6,2.2,,,,,
2022-02-28,0.2,0.2,0.2,,,,,
2022-03-01,13.2,14.8,14.8,,,,,
2022-03-02,36.8,40.8,42.2,,,,,
2022-03-03,9.0,9.0,9.0,,,,,
2022-03-04,0.0,0.0,0.0,,,,,
2022-03-05,5.8,6.2,6.2,,,,,
2022-03-06,0.0,0.0,0.0,,,,,
2022-03-07,21.4,39.6,55.0,,,,,
2022-03-08,2.2,3.8,4.2,,,,,
2022-03-09,7.4,11.6,12.4,,,,,
2022-03-10,0.4,0.4,0.4,,,,,
2022-03-11,5.8,6.8,7.2,,,,,
2022-03-12,0.0,0.0,0.0,,,,,
2022-03-13,0.2,0.4,0.4,,,,,
2022-03-14,3.4,3.6,3.6,,,,,
2022-03-15,2.2,3.6,4.2,,,,,
2022-03-16,0.0,0.0,0.0,,,,,
2022-03-17,0.0,0.0,0.0,,,,,
2022-03-18,0.0,0.0,0.0,,,,,
2022-03-19,0.0,0.0,0.0,,,,,
2022-03-20,2.0,2.4,2.4,,,,,
2022-03-21,1.2,1.4,1.4,,,,,
2022-03-22,0.0,0.0,0.0,,,,,
2022-03-23,0.6,0.8,1.0,,,,,
2022-03-24,0.0,0.0,0.0,,,,,
