Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,11.8,18.4,32.4,,,,,
2021-01-02,17.0,20.6,34.2,,,,,
2021-01-03,0.8,1.0,1.6,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,0.0,0.0,0.0,,,,,
2021-01-07,0.6,0.6,0.6,,,,,
2021-01-08,7.4,7.8,8.2,,,,,
2021-01-09,13.8,19.4,26.8,,,,,
2021-01-10,11.0,17.4,23.6,,,,,
2021-01-11,1.0,1.2,3.4,,,,,
2021-01-12,6.2,6.4,6.4,,,,,
2021-01-13,1.0,1.0,1.2,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,16.8,19.8,20.6,,,,,
2021-01-22,19.0,23.0,23.4,,,,,
2021-01-23,28.0,41.4,42.8,,,,,
2021-01-24,0.2,0.2,0.2,,,,,
2021-01-25,1.0,1.0,1.0,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,6.0,6.0,7.8,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,1.2,1.2,1.2,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.4,0.4,0.4,,,,,
2021-02-09,3.2,4.8,5.8,,,,,
2021-02-10,0.0,0.0,0.0,,,,,
2021-02-11,2.0,2.0,2.0,,,,,
2021-02-12,5.6,5.6,6.0,,,,,
2021-02-13,0.6,0.6,0.6,,,,,
2021-02-14,0.5,0.5,0.5,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,0.8,0.8,1.0,,,,,
2021-02-25,1.2,1.2,1.2,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,3.0,3.0,3.0,,,,,
2021-03-07,9.0,14.6,18.6,,,,,
2021-03-08,0.2,0.2,0.2,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,4.2,5.4,5.4,,,,,
2021-03-13,11.6,11.8,12.8,,,,,
2021-03-14,0.4,0.4,0.4,,,,,
2021-03-15,3.6,3.6,3.6,,,,,
2021-03-16,0.0,0.0,0.0,,,,,
2021-03-17,16.6,21.4,24.6,,,,,
2021-03-18,17.0,17.0,17.0,,,,,
2021-03-19,0.2,0.4,0.4,,,,,
2021-03-20,17.8,18.2,18.2,,,,,
