Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,,,,,,,,
2022-01-02,,,,,,,,
2022-01-03,,,,,,,,
2022-01-04,,,,,,,,
2022-01-05,0.2,0.2,0.2,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,27.0,34.8,35.6,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,0.0,0.0,0.0,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,3.6,3.6,3.6,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,1.0,1.0,1.0,,,,,
2022-01-20,6.4,6.6,6.6,,,,,
2022-01-21,0.0,0.0,0.0,,,,,
2022-01-22,0.0,0.0,0.0,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,0.0,0.0,0.0,,,,,
2022-01-30,7.2,9.4,9.6,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,0.0,0.0,0.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,0.0,0.0,0.0,,,,,
2022-02-05,2.8,2.8,2.8,,,,,
2022-02-06,13.8,14.0,15.4,,,,,
2022-02-07,1.0,1.4,1.4,,,,,
2022-02-08,0.4,0.4,0.6,,,,,
2022-02-09,2.6,3.4,3.4,,,,,
2022-02-10,1.8,3.2,4.6,,,,,
2022-02-11,2.8,3.6,7.0,,,,,
2022-02-12,5.2,5.6,6.0,,,,,
2022-02-13,2.8,2.8,4.4,,,,,
2022-02-14,0.0,0.0,0.0,,,,,
2022-02-15,0.2,0.2,0.2,,,,,
2022-02-16,1.4,2.2,3.0,,,,,
2022-02-17,0.2,0.2,0.2,,,,,
2022-02-18,0.0,0.0,0.0,,,,,
2022-02-19,3.0,3.2,3.2,,,,,
2022-02-20,11.4,14.8,19.2,,,,,
2022-02-21,0.0,0.0,0.2,,,,,
2022-02-22,0.0,0.0,0.0,,,,,
2022-02-23,0.0,0.0,0.0,,,,,
2022-02-24,6.2,9.6,12.6,,,,,
2022-02-25,0.0,0.0,0.0,,,,,
2022-02-26,0.0,0.0,0.0,,,,,
2022-02-27,7.4,10.8,12.8,,,,,
2022-02-28,0.0,0.0,0.0,,,,,
2022-03-01,0.0,0.0,0.0,,,,,
2022-03-02,27.2,29.0,32.4,,,,,
2022-03-03,12.6,13.8,14.0,,,,,
2022-03-04,0.2,0.2,0.2,,,,,
2022-03-05,22.0,37.4,40.2,,,,,
2022-03-06,0.2,0.2,0.2,,,,,
2022-03-07,7.8,11.6,13.8,,,,,
2022-03-08,0.2,0.2,0.2,,,,,
2022-03-09,0.2,0.2,0.2,,,,,
2022-03-10,12.6,17.4,17.4,,,,,
2022-03-11,31.0,31.8,32.0,,,,,
2022-03-12,1.6,1.6,1.6,,,,,
2022-03-13,0.0,0.0,0.0,,,,,
2022-03-14,0.0,0.0,0.0,,,,,
2022-03-15,15.6,22.8,23.2,,,,,
2022-03-16,2.4,2.6,2.6,,,,,
2022-03-17,2.8,2.8,2.8,,,,,
2022-03-18,0.0,0.0,0.0,,,,,
2022-03-19,0.0,0.0,0.0,,,,,
