Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,0.0,0.0,0.0,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,6.6,6.6,6.6,,,,,
2023-01-06,0.2,0.2,0.2,,,,,
2023-01-07,0.0,0.2,0.2,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,1.8,2.8,2.8,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,32.8,35.6,35.8,,,,,
2023-01-14,2.6,2.6,2.6,,,,,
2023-01-15,1.2,1.2,1.2,,,,,
2023-01-16,8.8,8.8,8.8,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,1.0,1.6,2.2,,,,,
2023-01-20,2.4,2.8,3.0,,,,,
2023-01-21,0.0,0.0,0.4,,,,,
2023-01-22,23.0,37.2,48.8,,,,,
2023-01-23,4.4,7.2,8.8,,,,,
2023-01-24,,,,,,,,
2023-01-25,,,,,,,,
2023-01-26,,,,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,,,,,,,,
2023-01-29,,,,,,,,
2023-01-30,,,,,,,,
2023-01-31,1.0,1.6,2.4,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,0.8,0.8,1.0,,,,,
2023-02-03,7.6,7.8,8.0,,,,,
2023-02-04,1.2,2.2,3.8,,,,,
2023-02-05,2.4,3.6,4.2,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,21.0,22.0,22.2,,,,,
2023-02-09,1.0,1.0,1.0,,,,,
2023-02-10,1.8,2.0,3.0,,,,,
2023-02-11,0.2,0.2,0.2,,,,,
2023-02-12,8.4,8.8,11.4,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,17.0,24.8,31.4,,,,,
2023-02-15,10.6,14.8,15.2,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,1.0,1.0,1.0,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,0.0,0.0,0.0,,,,,
2023-02-20,1.4,2.2,2.6,,,,,
2023-02-21,0.2,0.2,0.2,,,,,
2023-02-22,2.6,2.6,3.2,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,2.2,3.2,4.0,,,,,
2023-02-27,2.0,3.0,4.2,,,,,
2023-02-28,22.6,34.8,62.6,,,,,
2023-03-01,12.0,15.2,18.8,,,,,
2023-03-02,13.0,16.4,18.0,,,,,
2023-03-03,4.4,8.0,10.6,,,,,
2023-03-04,,,,,,,,
2023-03-05,,,,,,,,
2023-03-06,1.6,1.6,1.6,,,,,
2023-03-07,0.4,0.4,0.4,,,,,
2023-03-08,0.0,0.0,0.0,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,10.0,14.4,17.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.4,0.4,0.4,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,16.4,16.6,17.4,,,,,
2023-03-20,20.2,22.8,35.6,,,,,
2023-03-21,7.8,7.8,8.6,,,,,
2023-03-22,0.0,0.0,0.0,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,8.0,12.6,13.2,,,,,
2023-03-25,4.0,4.6,6.4,,,,,
2023-03-26,21.8,30.0,32.6,,,,,
2023-03-27,5.8,8.0,8.4,,,,,
2023-03-28,0.2,0.2,0.2,,,,,
2023-03-29,3.0,4.6,4.8,,,,,
2023-03-30,34.2,59.8,81.4,,,,,
2023-03-31,0.8,1.4,2.2,,,,,
2023-04-01,0.8,1.2,2.0,,,,,
2023-04-02,0.2,0.2,0.2,,,,,
2023-04-03,5.0,5.4,7.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,0.8,1.0,1.2,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,0.4,0.6,0.6,,,,,
2023-04-09,0.0,0.0,0.0,,,,,
2023-04-10,19.2,34.4,43.4,,,,,
2023-04-11,0.2,0.2,0.2,,,,,
2023-04-12,1.6,1.6,1.6,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,0.0,0.0,0.0,,,,,
2023-04-15,0.2,0.2,0.2,,,,,
2023-04-16,0.0,0.0,0.0,,,,,
2023-04-17,33.4,34.0,34.0,,,,,
2023-04-18,3.4,3.6,4.0,,,,,
2023-04-19,2.6,2.8,2.8,,,,,
2023-04-20,16.6,20.6,20.8,,,,,
2023-04-21,0.8,1.0,1.2,,,,,
2023-04-22,0.8,0.8,1.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,6.0,6.8,6.8,,,,,
2023-04-25,0.6,0.6,0.6,,,,,
2023-04-26,0.0,0.0,0.0,,,,,
2023-04-27,7.8,10.0,13.2,,,,,
2023-04-28,45.2,50.6,50.6,,,,,
2023-04-29,52.2,63.6,65.2,,,,,
2023-04-30,3.0,3.8,3.8,,,,,
2023-05-01,0.0,0.0,0.0,,,,,
2023-05-02,0.0,0.0,0.0,,,,,
