Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,10.2,30.6
2023-01-02,0.0,0.0,0.0,,,,11.2,32.8
2023-01-03,1.6,1.6,1.6,,,,9.3,29.4
2023-01-04,0.0,0.0,0.0,,,,12.5,32.0
2023-01-05,19.8,31.6,37.6,,,,7.4,43.2
2023-01-06,3.0,3.0,3.2,,,,8.6,30.6
2023-01-07,0.0,0.0,0.0,,,,7.3,26.3
2023-01-08,0.0,0.0,0.0,,,,6.9,33.5
2023-01-09,0.0,0.0,0.0,,,,6.7,24.1
2023-01-10,0.0,0.0,0.0,,,,5.4,19.1
2023-01-11,5.2,5.2,5.2,,,,4.8,47.2
2023-01-12,0.0,0.0,0.0,,,,3.7,18.0
2023-01-13,0.0,0.0,0.0,,,,4.7,17.6
2023-01-14,0.0,0.0,0.0,,,,4.7,21.3
2023-01-15,5.0,5.0,5.2,,,,5.5,30.9
2023-01-16,0.2,0.2,0.2,,,,7.8,35.2
2023-01-17,0.0,0.0,0.0,,,,12.3,35.9
2023-01-18,0.0,0.0,0.0,,,,12.7,37.4
2023-01-19,5.8,7.2,8.0,,,,11.3,36.3
2023-01-20,8.4,9.6,10.6,,,,9.8,61.5
2023-01-21,0.4,1.2,10.4,,,,8.1,35.2
2023-01-22,13.4,20.2,27.8,,,,5.9,57.2
2023-01-23,6.4,9.0,9.8,,,,6.1,20.6
2023-01-24,2.0,3.6,6.4,,,,7.3,61.5
2023-01-25,5.0,8.6,12.0,,,,8.9,54.4
2023-01-26,1.8,2.6,3.4,,,,8.1,32.0
2023-01-27,0.0,0.0,0.0,,,,10.0,29.8
2023-01-28,2.0,3.2,5.2,,,,13.8,43.9
2023-01-29,1.8,3.2,5.0,,,,15.8,49.6
2023-01-30,2.0,2.2,3.0,,,,14.2,51.9
2023-01-31,0.8,1.4,2.0,,,,12.5,35.6
2023-02-01,0.0,0.0,0.0,,,,7.7,30.6
2023-02-02,20.2,27.0,28.2,,,,8.0,42.0
2023-02-03,11.8,12.8,15.6,,,,5.9,29.8
2023-02-04,2.6,3.6,5.8,,,,8.8,30.2
2023-02-05,21.8,39.0,54.8,,,,8.2,28.5
2023-02-06,0.0,0.0,0.0,,,,7.0,32.0
2023-02-07,0.0,0.0,0.0,,,,8.1,28.9
2023-02-08,39.4,42.4,44.6,,,,9.5,30.9
2023-02-09,4.4,5.0,5.4,,,,8.0,26.7
2023-02-10,10.6,10.8,15.6,,,,7.5,30.2
2023-02-11,4.0,4.0,4.0,,,,11.2,29.1
2023-02-12,30.6,32.4,34.6,,,,6.3,42.0
2023-02-13,0.0,0.0,0.0,,,,6.1,21.3
2023-02-14,11.0,11.4,17.0,,,,6.1,38.9
2023-02-15,23.2,28.8,29.2,,,,9.1,39.6
2023-02-16,0.0,0.0,0.0,,,,10.5,33.5
2023-02-17,0.8,0.8,0.8,,,,9.7,30.2
2023-02-18,0.6,0.6,0.6,,,,11.0,35.2
2023-02-19,0.2,0.2,0.2,,,,11.1,31.3
2023-02-20,0.0,0.0,0.0,,,,10.3,35.6
2023-02-21,0.0,0.0,0.0,,,,12.0,37.8
2023-02-22,0.0,0.0,0.0,,,,11.6,39.3
2023-02-23,0.0,0.0,0.0,,,,12.7,35.9
2023-02-24,0.0,0.0,0.0,,,,12.8,39.6
2023-02-25,0.0,0.0,0.0,,,,12.8,38.5
2023-02-26,1.6,1.8,1.8,,,,16.7,46.5
2023-02-27,1.0,1.8,2.0,,,,15.4,50.7
2023-02-28,23.8,34.8,58.4,,,,9.4,33.2
2023-03-01,16.8,32.0,60.2,,,,7.7,62.2
2023-03-02,19.2,30.4,35.0,,,,6.6,59.4
2023-03-03,3.2,4.6,7.4,,,,7.3,60.7
2023-03-04,2.6,4.6,7.8,,,,12.1,41.5
2023-03-05,2.6,2.6,3.2,,,,7.4,55.0
2023-03-06,0.0,0.0,0.0,,,,10.9,32.0
2023-03-07,0.0,0.0,0.0,,,,13.4,39.6
2023-03-08,0.0,0.0,0.0,,,,11.1,36.7
2023-03-09,0.0,0.0,0.0,,,,11.4,33.2
2023-03-10,0.0,0.0,0.0,,,,11.0,33.2
2023-03-11,0.4,0.4,0.4,,,,10.5,29.8
2023-03-12,0.4,0.4,0.4,,,,8.7,28.9
2023-03-13,0.0,0.0,0.0,,,,13.2,46.5
