Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,2.4,3.0,4.2,,,,,
2022-01-02,3.2,6.2,10.8,,,,,
2022-01-03,6.2,6.4,6.6,,,,,
2022-01-04,0.6,1.2,1.6,,,,,
2022-01-05,0.2,0.2,0.2,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,6.2,9.6,9.8,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,0.2,0.2,0.2,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,4.8,4.8,4.8,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,4.8,4.8,4.8,,,,,
2022-01-20,1.6,1.6,2.0,,,,,
2022-01-21,0.0,0.0,0.0,,,,,
2022-01-22,0.0,0.0,0.0,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,0.0,0.0,0.0,,,,,
2022-01-30,38.6,44.2,44.6,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,0.0,0.0,0.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,0.0,0.0,0.0,,,,,
2022-02-05,3.8,3.8,3.8,,,,,
2022-02-06,6.0,6.4,7.6,,,,,
2022-02-07,0.2,0.4,0.4,,,,,
2022-02-08,0.4,0.6,0.6,,,,,
2022-02-09,16.4,26.2,35.6,,,,,
2022-02-10,2.8,4.4,6.0,,,,,
2022-02-11,5.6,7.0,8.8,,,,,
2022-02-12,0.8,0.8,0.8,,,,,
2022-02-13,0.4,0.4,0.6,,,,,
2022-02-14,0.0,0.0,0.0,,,,,
2022-02-15,0.0,0.0,0.0,,,,,
2022-02-16,3.2,3.4,3.6,,,,,
2022-02-17,0.0,0.0,0.0,,,,,
2022-02-18,0.0,0.0,0.0,,,,,
2022-02-19,0.0,0.0,0.0,,,,,
2022-02-20,8.8,10.4,11.0,,,,,
2022-02-21,0.0,0.0,0.0,,,,,
2022-02-22,0.0,0.0,0.0,,,,,
2022-02-23,14.6,15.0,15.0,,,,,
2022-02-24,5.8,10.8,12.0,,,,,
2022-02-25,5.0,5.0,5.0,,,,,
2022-02-26,0.0,0.0,0.0,,,,,
2022-02-27,16.4,22.6,22.8,,,,,
2022-02-28,0.0,0.0,0.0,,,,,
2022-03-01,0.0,0.0,0.0,,,,,
2022-03-02,8.2,15.4,17.2,,,,,
2022-03-03,10.0,10.6,10.8,,,,,
2022-03-04,0.0,0.0,0.0,,,,,
2022-03-05,0.6,0.6,0.6,,,,,
2022-03-06,0.0,0.0,0.0,,,,,
2022-03-07,1.8,2.2,2.6,,,,,
2022-03-08,0.2,0.2,0.2,,,,,
2022-03-09,0.0,0.0,0.0,,,,,
2022-03-10,4.8,5.8,7.0,,,,,
2022-03-11,3.0,4.6,5.0,,,,,
2022-03-12,32.0,39.0,41.8,,,,,
2022-03-13,0.6,0.6,0.6,,,,,
2022-03-14,0.0,0.0,0.0,,,,,
2022-03-15,14.2,20.2,22.6,,,,,
2022-03-16,0.8,0.8,0.8,,,,,
2022-03-17,0.2,0.2,0.2,,,,,
2022-03-18,0.0,0.0,0.0,,,,,
2022-03-19,0.0,0.0,0.0,,,,,
2022-03-20,0.0,0.0,0.0,,,,,
2022-03-21,5.2,6.2,7.4,,,,,
2022-03-22,0.0,0.0,0.0,,,,,
2022-03-23,0.0,0.0,0.0,,,,,
2022-03-24,0.6,0.6,0.6,,,,,
2022-03-25,12.6,12.6,12.6,,,,,
2022-03-26,0.0,0.0,0.0,,,,,
2022-03-27,1.4,1.4,1.4,,,,,
2022-03-28,8.6,10.8,13.8,,,,,
2022-03-29,26.0,39.6,42.0,,,,,
2022-03-30,0.0,0.0,0.0,,,,,
2022-03-31,0.2,0.2,0.2,,,,,
2022-04-01,0.0,0.0,0.0,,,,,
2022-04-02,0.8,1.0,1.0,,,,,
2022-04-03,6.6,8.4,10.0,,,,,
2022-04-04,0.0,0.0,0.0,,,,,
2022-04-05,0.0,0.0,0.0,,,,,
2022-04-06,1.2,1.2,1.4,,,,,
2022-04-07,0.0,0.0,0.0,,,,,
2022-04-08,0.0,0.0,0.0,,,,,
2022-04-09,1.8,2.0,2.4,,,,,
2022-04-10,5.0,5.0,5.0,,,,,
2022-04-11,1.0,1.2,2.4,,,,,
2022-04-12,0.0,0.0,0.0,,,,,
2022-04-13,2.4,2.4,2.4,,,,,
2022-04-14,2.4,3.4,3.4,,,,,
2022-04-15,8.2,12.4,14.0,,,,,
2022-04-16,5.2,7.6,8.2,,,,,
2022-04-17,8.0,13.0,20.4,,,,,
2022-04-18,2.4,4.8,7.0,,,,,
2022-04-19,2.0,2.0,2.0,,,,,
2022-04-20,0.6,0.6,0.8,,,,,
2022-04-21,28.8,53.4,58.4,,,,,
