Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,15.6,19.6,33.8,23.7,25.7,21.2,10.2,48.5
2021-01-02,11.4,20.6,38.0,22.5,24.0,21.1,12.6,46.1
2021-01-03,0.6,1.2,1.8,23.5,24.6,22.8,5.7,30.9
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,1.2,1.2,1.2,26.5,29.7,24.7,6.3,34.3
2021-01-07,0.4,0.6,0.6,24.3,25.2,23.3,6.0,29.8
2021-01-08,2.0,2.2,3.4,25.3,27.5,24.2,6.2,33.5
2021-01-09,23.4,31.2,32.8,24.9,27.2,23.0,7.5,42.0
2021-01-10,12.2,18.4,25.2,23.3,23.7,23.0,12.8,47.8
2021-01-11,0.8,1.2,3.2,25.2,28.3,23.6,9.7,45.4
2021-01-12,11.0,11.8,14.2,24.7,27.7,23.2,9.5,52.6
2021-01-13,0.4,0.6,0.8,24.8,27.3,23.1,7.6,40.7
2021-01-14,0.0,0.0,0.0,25.5,28.5,23.3,7.2,38.2
2021-01-15,0.0,0.0,0.0,26.6,31.4,24.2,6.7,29.1
2021-01-16,0.0,0.0,0.0,26.7,31.1,24.7,6.8,32.8
2021-01-17,0.0,0.0,0.0,26.8,30.7,24.7,9.8,52.2
2021-01-18,0.0,0.0,0.0,25.9,28.3,24.6,10.5,55.4
2021-01-19,0.0,0.0,0.0,25.9,29.2,23.9,8.1,42.4
2021-01-20,0.0,0.0,0.0,26.1,30.1,23.8,7.4,34.6
2021-01-21,5.6,8.6,10.4,26.1,31.6,23.9,6.5,32.8
2021-01-22,12.8,13.4,13.4,26.0,32.6,24.0,5.0,27.0
2021-01-23,17.0,18.8,20.2,25.4,31.4,22.8,6.4,36.3
2021-01-24,0.2,0.2,0.2,26.4,31.4,23.8,6.9,31.7
2021-01-25,0.2,0.2,0.2,26.9,32.0,24.8,6.5,34.6
2021-01-26,0.0,0.0,0.0,27.0,32.2,24.4,6.5,30.9
2021-01-27,0.0,0.0,0.0,26.6,32.0,24.2,6.1,31.7
2021-01-28,4.4,4.6,5.0,25.8,30.0,23.5,6.9,40.0
2021-01-29,0.0,0.0,0.0,26.6,31.7,24.1,8.7,41.9
2021-01-30,0.0,0.0,0.0,26.4,30.5,24.3,8.9,42.0
2021-01-31,9.8,9.8,9.8,26.1,29.9,24.0,7.4,33.2
2021-02-01,0.0,0.0,0.0,26.5,30.2,24.6,8.2,36.3
2021-02-02,0.0,0.0,0.0,26.7,30.7,25.0,8.5,39.3
2021-02-03,0.0,0.0,0.0,26.7,31.0,24.8,8.8,37.4
2021-02-04,0.0,0.0,0.0,26.6,31.1,24.3,8.8,45.0
2021-02-05,0.0,0.0,0.0,26.7,31.1,23.8,8.2,40.4
