Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,23.2,24.2,24.4,,,,,
2022-01-02,,,,,,,,
2022-01-03,,,,,,,,
2022-01-04,,,,,,,,
2022-01-05,1.6,2.0,2.0,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,13.8,17.8,25.4,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,0.0,0.0,0.0,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,3.0,3.2,3.4,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,3.0,3.0,3.0,,,,,
2022-01-20,5.0,5.5,5.5,,,,,
2022-01-21,0.0,0.0,0.0,,,,,
2022-01-22,0.0,0.0,0.0,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,0.0,0.0,0.0,,,,,
2022-01-30,20.4,22.2,23.0,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,0.0,0.0,0.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,0.0,0.0,0.0,,,,,
2022-02-05,4.0,4.0,4.0,,,,,
2022-02-06,,,,,,,,
2022-02-07,1.0,1.0,1.0,,,,,
2022-02-08,,,,,,,,
2022-02-09,11.8,15.4,17.0,,,,,
