Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,27.5,30.6,25.5,17.4,43.2
2023-01-02,0.0,0.0,0.0,27.8,32.2,25.5,19.2,52.6
2023-01-03,11.2,13.0,16.0,26.9,31.8,24.0,18.2,40.7
2023-01-04,0.2,0.2,0.2,27.0,29.5,25.0,21.9,52.6
2023-01-05,12.8,18.2,18.2,27.0,30.8,24.1,20.4,48.9
2023-01-06,0.0,0.0,0.0,28.2,31.3,26.3,20.6,47.2
2023-01-07,0.0,0.0,0.0,27.8,30.4,25.7,21.4,49.6
2023-01-08,0.0,0.0,0.0,28.4,31.2,26.1,19.6,46.5
2023-01-09,0.0,0.0,0.0,28.0,31.7,26.4,15.3,39.3
2023-01-10,0.8,0.8,0.8,27.6,29.5,26.3,11.6,29.8
2023-01-11,0.0,0.0,0.0,26.7,28.8,25.5,12.7,37.8
2023-01-12,0.0,0.0,0.0,27.9,31.5,25.3,10.3,29.8
2023-01-13,0.2,0.2,0.2,27.7,31.5,26.1,13.5,39.6
2023-01-14,0.0,0.0,0.0,27.5,30.6,25.8,12.4,35.0
2023-01-15,0.0,0.0,0.0,28.1,30.7,26.0,17.3,55.7
2023-01-16,1.8,1.8,1.8,28.1,31.8,25.7,16.9,57.2
2023-01-17,0.0,0.0,0.0,28.2,32.2,26.0,17.9,54.1
2023-01-18,0.0,0.0,0.0,27.9,31.8,26.0,19.1,48.9
2023-01-19,3.0,4.2,4.8,26.5,29.4,25.2,17.4,51.1
2023-01-20,1.4,1.6,2.2,26.1,28.7,24.6,20.0,41.1
2023-01-21,0.6,0.6,1.4,27.2,31.0,25.4,14.4,38.9
2023-01-22,19.6,20.8,24.6,26.0,29.1,24.2,18.4,47.6
2023-01-23,1.6,2.4,3.0,25.4,26.8,24.9,18.9,35.9
2023-01-24,1.4,2.6,4.4,24.3,25.5,23.3,23.1,53.3
2023-01-25,3.4,4.8,7.2,24.1,25.1,23.4,21.3,43.9
2023-01-26,5.0,5.8,6.8,25.2,27.7,23.1,22.3,50.4
2023-01-27,0.4,0.4,0.4,27.3,30.6,24.4,25.8,52.6
2023-01-28,2.0,2.6,3.2,24.8,26.3,23.9,25.6,55.4
2023-01-29,1.4,2.2,3.2,24.6,26.0,23.6,23.3,60.7
2023-01-30,0.6,0.8,1.2,25.8,28.0,24.4,21.2,56.1
2023-01-31,0.6,1.2,1.6,25.4,26.9,24.9,21.3,48.5
2023-02-01,0.0,0.0,0.0,26.6,30.5,24.3,21.6,50.4
2023-02-02,65.6,80.6,81.4,26.5,31.5,22.8,17.2,47.8
2023-02-03,0.6,0.8,1.2,26.4,30.5,24.2,16.1,48.9
2023-02-04,2.0,2.2,3.0,25.3,27.3,24.2,17.5,46.1
2023-02-05,27.2,32.6,33.8,26.1,30.7,24.0,19.0,50.4
2023-02-06,0.0,0.0,0.0,26.6,29.7,24.5,24.3,48.5
2023-02-07,0.0,0.0,0.0,27.1,32.1,24.8,17.5,45.0
2023-02-08,9.8,13.2,14.2,27.0,31.5,25.3,15.8,50.7
2023-02-09,0.2,0.2,0.2,27.3,30.8,25.6,14.5,39.3
2023-02-10,9.4,9.8,10.0,26.9,30.3,24.0,14.9,48.9
2023-02-11,2.4,2.6,2.6,27.4,31.2,25.2,20.6,56.1
