Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,15.6,26.0,42.2,,,,,
2021-01-02,19.6,34.8,59.6,,,,,
2021-01-03,1.0,1.6,2.2,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,2.0,2.0,2.0,,,,,
2021-01-06,1.2,1.2,1.2,,,,,
2021-01-07,2.4,2.6,2.8,,,,,
2021-01-08,5.4,5.4,8.6,,,,,
2021-01-09,15.0,16.8,17.0,,,,,
2021-01-10,21.6,39.0,52.4,,,,,
2021-01-11,1.4,1.4,2.6,,,,,
2021-01-12,14.0,15.2,15.4,,,,,
2021-01-13,1.2,1.4,1.4,,,,,
2021-01-14,0.0,0.0,0.2,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,3.2,3.4,5.2,,,,,
2021-01-22,9.0,9.4,9.4,,,,,
2021-01-23,18.8,33.8,36.2,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,0.0,0.0,0.0,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,8.0,9.6,14.8,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,1.0,1.0,1.0,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.0,0.0,0.0,,,,,
2021-02-09,0.2,0.2,0.2,,,,,
2021-02-10,0.0,0.0,0.0,,,,,
2021-02-11,0.0,0.0,0.0,,,,,
2021-02-12,1.8,2.0,2.0,,,,,
2021-02-13,0.2,0.2,0.2,,,,,
2021-02-14,0.8,0.8,0.8,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,0.0,0.0,0.0,,,,,
2021-02-25,0.0,0.0,0.0,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,0.0,0.0,0.0,,,,,
2021-03-07,15.2,20.2,24.2,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,0.4,0.6,0.6,,,,,
2021-03-13,0.0,0.0,0.0,,,,,
2021-03-14,3.2,4.6,6.6,,,,,
2021-03-15,3.0,4.0,4.2,,,,,
2021-03-16,0.6,0.6,0.6,,,,,
2021-03-17,4.8,5.6,5.8,,,,,
2021-03-18,0.0,0.0,0.0,,,,,
2021-03-19,0.0,0.0,0.0,,,,,
2021-03-20,0.2,0.2,0.2,,,,,
2021-03-21,0.0,0.0,0.0,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,0.6,0.6,0.6,,,,,
2021-03-24,11.0,13.2,15.2,,,,,
2021-03-25,0.8,1.0,1.0,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,7.4,8.2,11.0,,,,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,6.4,6.8,7.4,,,,,
2021-03-30,16.4,19.0,19.0,,,,,
2021-03-31,31.6,55.2,64.0,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,22.6,29.2,35.2,,,,,
2021-04-03,3.6,3.6,5.2,,,,,
2021-04-04,17.0,20.0,20.2,,,,,
2021-04-05,40.2,53.0,54.0,,,,,
2021-04-06,0.0,0.0,0.0,,,,,
2021-04-07,0.0,0.0,0.0,,,,,
2021-04-08,13.6,17.6,22.2,,,,,
2021-04-09,0.0,0.0,0.0,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,11.8,13.4,13.4,,,,,
2021-04-13,0.0,0.0,0.0,,,,,
2021-04-14,0.4,0.4,0.4,,,,,
2021-04-15,15.0,18.0,19.2,,,,,
2021-04-16,0.4,0.4,0.4,,,,,
2021-04-17,22.6,32.4,39.0,,,,,
2021-04-18,0.0,0.0,0.0,,,,,
2021-04-19,0.0,0.0,0.0,,,,,
2021-04-20,0.0,0.0,0.0,,,,,
2021-04-21,0.0,0.0,0.0,,,,,
