Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,6.0,6.0,6.0,,,,,
2023-01-04,0.8,0.8,0.8,,,,,
2023-01-05,3.4,4.6,5.0,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,3.5,3.5,3.5,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,4.4,4.4,4.4,,,,,
2023-01-10,0.2,0.2,0.2,,,,,
2023-01-11,0.4,0.4,0.4,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,23.6,35.6,36.0,,,,,
2023-01-14,11.0,12.6,12.8,,,,,
2023-01-15,2.0,2.2,2.2,,,,,
2023-01-16,0.0,0.0,0.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,3.4,3.4,6.2,,,,,
2023-01-20,8.0,8.8,16.0,,,,,
2023-01-21,1.2,1.6,2.4,,,,,
2023-01-22,2.6,3.0,3.0,,,,,
2023-01-23,7.6,11.0,13.8,,,,,
2023-01-24,2.4,4.6,7.8,,,,,
2023-01-25,5.6,7.4,11.8,,,,,
2023-01-26,1.2,1.8,3.2,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.0,1.6,2.6,,,,,
2023-01-29,2.0,3.4,5.6,,,,,
2023-01-30,1.0,1.0,1.6,,,,,
2023-01-31,1.2,1.8,2.8,,,,,
2023-02-01,0.2,0.2,0.2,,,,,
2023-02-02,12.2,12.8,12.8,,,,,
2023-02-03,0.2,0.2,0.4,,,,,
2023-02-04,6.2,6.8,8.6,,,,,
2023-02-05,0.6,0.6,0.6,,,,,
2023-02-06,0.2,0.2,0.2,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,0.0,0.0,0.0,,,,,
2023-02-09,0.0,0.0,0.0,,,,,
2023-02-10,2.0,2.2,2.2,,,,,
2023-02-11,0.0,0.0,0.0,,,,,
2023-02-12,30.0,39.0,52.6,,,,,
2023-02-13,2.4,4.2,4.2,,,,,
2023-02-14,18.2,20.4,26.0,,,,,
2023-02-15,11.4,12.6,13.0,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,0.0,0.0,0.0,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,0.0,0.0,0.0,,,,,
2023-02-20,0.2,0.2,0.2,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,0.0,0.0,0.0,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,3.0,4.0,4.0,,,,,
2023-02-27,1.2,2.2,5.0,,,,,
2023-02-28,26.8,32.4,41.8,,,,,
2023-03-01,27.6,46.6,69.4,,,,,
2023-03-02,12.0,22.4,28.6,,,,,
2023-03-03,13.6,14.8,17.4,,,,,
2023-03-04,4.8,7.0,9.8,,,,,
2023-03-05,2.8,3.4,3.4,,,,,
2023-03-06,0.0,0.0,0.0,,,,,
2023-03-07,0.4,0.4,0.4,,,,,
2023-03-08,0.6,0.6,0.6,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.0,0.0,0.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,0.0,0.0,0.0,,,,,
2023-03-20,0.6,0.6,0.6,,,,,
2023-03-21,10.0,10.4,10.8,,,,,
2023-03-22,0.0,0.0,0.0,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,10.4,11.6,11.6,,,,,
2023-03-25,14.0,16.4,20.2,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,7.6,9.4,9.6,,,,,
2023-03-28,0.2,0.2,0.2,,,,,
2023-03-29,0.0,0.0,0.0,,,,,
2023-03-30,10.0,11.0,18.0,,,,,
2023-03-31,0.0,0.2,0.2,,,,,
2023-04-01,36.4,47.2,50.4,,,,,
2023-04-02,0.0,0.0,0.0,,,,,
2023-04-03,5.6,7.0,9.6,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,0.4,0.4,0.4,,,,,
2023-04-06,0.2,0.2,0.2,,,,,
2023-04-07,6.0,6.0,6.0,,,,,
2023-04-08,1.4,1.6,1.8,,,,,
2023-04-09,0.0,0.0,0.0,,,,,
2023-04-10,0.2,0.2,0.2,,,,,
2023-04-11,0.2,0.2,0.2,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,11.8,16.6,16.6,,,,,
2023-04-14,22.0,22.6,22.6,,,,,
2023-04-15,1.2,1.2,1.2,,,,,
2023-04-16,6.0,6.0,6.0,,,,,
2023-04-17,3.0,3.2,3.2,,,,,
2023-04-18,0.0,0.0,0.0,,,,,
2023-04-19,0.2,0.2,0.2,,,,,
2023-04-20,0.0,0.0,0.0,,,,,
2023-04-21,0.2,0.2,0.4,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,0.0,0.0,0.0,,,,,
2023-04-25,0.2,0.2,0.2,,,,,
2023-04-26,0.0,0.0,0.0,,,,,
2023-04-27,0.0,0.0,0.0,,,,,
2023-04-28,11.4,11.6,11.8,,,,,
2023-04-29,4.0,6.2,6.4,,,,,
