Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,27.6,31.3,25.2,10.4,27.8
2023-01-02,0.0,0.0,0.0,28.0,32.5,25.2,10.1,31.5
2023-01-03,0.2,0.2,0.2,27.8,33.0,25.2,9.2,37.0
2023-01-04,0.0,0.0,0.0,26.9,29.5,25.0,9.5,35.2
2023-01-05,1.4,1.4,2.6,26.9,32.8,24.8,6.3,29.6
2023-01-06,3.6,3.8,3.8,28.4,34.6,25.5,7.1,29.6
2023-01-07,0.0,0.0,0.0,28.3,32.9,25.7,6.8,22.2
2023-01-08,0.0,0.0,0.0,29.1,34.8,25.7,7.3,25.9
2023-01-09,0.0,0.0,0.0,27.8,32.9,25.0,8.6,35.2
2023-01-10,0.4,0.4,0.4,27.3,31.4,25.0,8.6,25.9
2023-01-11,0.0,0.0,0.0,26.2,30.6,24.7,7.2,50.0
2023-01-12,0.0,0.0,0.0,28.0,33.2,23.9,8.3,22.2
2023-01-13,10.5,12.0,12.0,26.6,32.7,24.5,7.3,37.0
2023-01-14,2.2,2.4,2.4,26.8,31.9,24.3,6.5,25.9
2023-01-15,22.0,22.0,22.0,27.2,33.1,24.6,6.5,35.2
2023-01-16,0.0,0.0,0.0,27.7,32.2,24.7,10.3,35.2
2023-01-17,0.0,0.0,0.0,28.5,33.4,25.2,11.7,38.9
2023-01-18,0.0,0.0,0.0,28.0,32.6,25.6,12.9,40.7
2023-01-19,2.6,3.0,3.4,26.6,30.3,24.3,9.8,48.2
2023-01-20,7.6,9.2,12.6,25.8,29.1,24.4,7.3,29.6
2023-01-21,0.8,1.2,8.0,27.7,32.7,24.5,9.9,35.2
2023-01-22,13.8,13.8,18.0,26.3,31.5,24.6,7.1,37.0
2023-01-23,6.4,10.8,14.0,25.6,27.7,24.3,4.9,22.2
2023-01-24,2.6,4.4,7.6,24.0,25.0,23.1,4.3,22.2
2023-01-25,4.6,7.8,12.0,23.8,25.1,23.0,5.6,31.5
2023-01-26,1.0,1.8,3.2,24.9,27.7,23.0,5.9,25.9
2023-01-27,0.0,0.0,0.0,27.2,32.0,23.2,7.5,25.9
2023-01-28,1.2,2.0,3.6,24.5,25.6,23.5,7.8,27.8
