Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,23.2,30.4,46.6,24.2,26.6,21.8,6.9,33.2
2021-01-02,22.8,38.0,57.2,22.9,24.4,21.5,5.6,37.8
2021-01-03,0.8,1.4,2.2,23.8,25.3,22.5,3.2,12.2
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.2,0.2,0.2,26.0,31.3,22.8,5.2,23.0
2021-01-06,0.4,0.4,0.4,26.3,29.9,24.2,5.1,25.2
2021-01-07,6.0,6.6,7.4,23.9,25.3,23.2,3.8,14.8
2021-01-08,4.8,5.6,7.0,25.2,28.2,23.7,4.6,30.6
2021-01-09,11.6,15.2,16.0,25.2,28.4,23.6,5.7,26.3
2021-01-10,,,,,,,,
2021-01-11,,,,,,,,
2021-01-12,7.8,8.0,8.8,25.3,28.5,23.5,9.0,35.6
2021-01-13,1.2,1.2,1.2,25.2,27.9,23.5,7.1,30.9
2021-01-14,0.0,0.0,0.2,25.6,28.8,23.0,6.5,24.8
2021-01-15,0.0,0.0,0.0,26.6,30.8,23.7,6.2,22.6
2021-01-16,0.0,0.0,0.0,26.6,30.3,23.8,6.3,24.8
2021-01-17,0.0,0.0,0.0,26.9,30.5,24.9,9.6,35.6
2021-01-18,0.0,0.0,0.0,26.3,28.9,25.0,10.5,40.0
2021-01-19,0.0,0.0,0.0,26.1,29.4,23.2,7.6,29.1
2021-01-20,0.0,0.0,0.0,26.0,29.5,23.5,6.9,23.3
2021-01-21,2.2,2.4,2.4,25.9,30.9,23.3,5.8,23.3
2021-01-22,12.4,13.0,13.0,25.3,30.5,22.7,3.9,18.7
2021-01-23,18.4,29.6,30.6,25.1,30.4,22.7,4.8,24.1
2021-01-24,0.0,0.0,0.0,26.2,31.0,22.5,6.3,23.0
2021-01-25,0.0,0.0,0.0,26.9,31.4,24.2,6.5,24.1
2021-01-26,0.0,0.0,0.0,26.8,32.1,23.6,6.7,24.1
2021-01-27,0.0,0.0,0.0,26.4,30.2,23.5,5.8,22.6
2021-01-28,8.2,8.4,8.4,26.1,29.8,23.1,6.4,28.2
2021-01-29,0.0,0.0,0.0,26.5,30.6,24.0,8.0,28.2
2021-01-30,0.0,0.0,0.0,26.6,30.7,24.0,8.4,31.3
2021-01-31,0.8,0.8,0.8,26.1,30.0,23.4,6.3,28.2
2021-02-01,0.0,0.0,0.0,26.6,30.1,24.2,7.2,28.2
2021-02-02,0.0,0.0,0.0,26.6,30.1,24.8,7.8,29.4
2021-02-03,0.0,0.0,0.0,26.5,30.5,24.4,7.4,27.8
2021-02-04,0.0,0.0,0.0,26.4,30.6,23.6,8.3,30.9
2021-02-05,0.0,0.0,0.0,26.3,31.2,22.9,7.3,28.5
2021-02-06,0.0,0.0,0.0,27.4,31.3,25.1,8.6,27.4
2021-02-07,0.0,0.0,0.0,27.3,32.6,24.3,8.9,35.0
2021-02-08,0.0,0.0,0.0,27.1,31.3,24.3,7.8,30.6
2021-02-09,0.0,0.0,0.0,27.2,32.0,24.4,6.8,25.9
2021-02-10,0.0,0.0,0.0,26.9,30.6,24.0,6.3,22.0
2021-02-11,3.8,4.0,4.0,27.1,31.8,24.6,6.9,24.8
2021-02-12,0.2,0.2,0.2,27.1,30.8,24.5,7.3,29.4
2021-02-13,0.0,0.0,0.0,27.2,31.9,24.3,7.4,28.5
2021-02-14,0.0,0.0,0.0,26.6,30.1,24.3,7.7,25.9
2021-02-15,0.0,0.0,0.0,26.5,30.4,24.0,7.6,28.5
2021-02-16,0.0,0.0,0.0,26.3,30.6,23.0,7.2,27.4
2021-02-17,0.0,0.0,0.0,26.3,31.0,22.8,7.8,26.7
2021-02-18,0.0,0.0,0.0,26.6,31.5,23.4,10.5,34.3
2021-02-19,0.0,0.0,0.0,26.8,31.0,24.7,9.9,32.8
2021-02-20,0.0,0.0,0.0,26.9,31.2,24.8,9.9,30.9
2021-02-21,0.0,0.0,0.0,26.7,30.9,24.7,8.4,29.1
2021-02-22,0.0,0.0,0.0,26.7,31.6,23.3,7.6,27.0
2021-02-23,0.0,0.0,0.0,26.6,31.8,22.9,7.5,29.1
2021-02-24,0.2,0.2,0.2,26.1,31.2,23.0,6.2,23.7
2021-02-25,0.0,0.0,0.0,27.0,32.8,23.2,5.3,20.9
2021-02-26,0.0,0.0,0.0,27.2,33.0,22.9,4.5,23.3
2021-02-27,0.0,0.0,0.0,27.7,33.9,23.9,3.5,20.9
2021-02-28,0.0,0.0,0.0,28.0,34.8,24.1,4.9,21.3
2021-03-01,0.0,0.0,0.0,27.8,34.1,23.9,5.3,22.4
2021-03-02,0.0,0.0,0.0,27.6,32.8,24.4,7.2,26.7
