Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,19.4,33.8,54.6,,,,,
2021-01-02,22.2,33.0,59.4,,,,,
2021-01-03,1.4,2.0,2.8,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,1.2,1.2,1.2,,,,,
2021-01-07,2.2,2.4,3.0,,,,,
2021-01-08,13.0,15.4,16.2,,,,,
2021-01-09,13.6,18.0,18.0,,,,,
2021-01-10,16.2,29.0,39.4,,,,,
2021-01-11,0.6,0.8,1.6,,,,,
2021-01-12,10.0,10.2,10.4,,,,,
2021-01-13,0.8,0.8,0.8,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,3.0,4.2,6.2,,,,,
2021-01-22,10.2,10.6,10.6,,,,,
2021-01-23,12.0,20.8,21.8,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,0.0,0.0,0.0,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,16.2,17.6,18.4,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,2.2,2.2,4.2,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.0,0.0,0.0,,,,,
2021-02-09,0.0,0.0,0.0,,,,,
2021-02-10,0.0,0.0,0.0,,,,,
2021-02-11,0.8,0.8,0.8,,,,,
2021-02-12,0.6,0.8,0.8,,,,,
2021-02-13,0.0,0.0,0.0,,,,,
2021-02-14,0.2,0.2,0.2,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,1.4,1.4,2.6,,,,,
2021-02-25,0.0,0.0,0.0,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,0.0,0.0,0.0,,,,,
2021-03-07,31.8,34.8,39.2,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
