Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,1.8,3.0,3.6,,,,,
2022-01-02,8.4,13.6,20.0,,,,,
2022-01-03,2.4,2.8,3.0,,,,,
2022-01-04,8.8,10.4,10.4,,,,,
2022-01-05,21.8,24.4,26.8,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,33.0,37.2,39.2,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,0.0,0.0,0.0,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,10.6,10.6,13.0,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,1.6,1.6,2.0,,,,,
2022-01-20,12.6,21.0,22.0,,,,,
2022-01-21,0.0,0.0,0.0,,,,,
2022-01-22,0.2,0.2,0.2,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,0.0,0.0,0.0,,,,,
2022-01-30,15.8,18.0,19.2,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,0.0,0.0,0.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,0.0,0.0,0.0,,,,,
2022-02-05,1.6,1.6,1.6,,,,,
2022-02-06,12.8,13.6,13.8,,,,,
2022-02-07,1.2,1.6,1.6,,,,,
2022-02-08,0.4,0.6,0.6,,,,,
2022-02-09,32.6,34.0,35.0,,,,,
2022-02-10,3.0,4.6,6.4,,,,,
2022-02-11,8.2,8.6,11.0,,,,,
2022-02-12,11.0,13.4,13.8,,,,,
2022-02-13,0.0,0.0,0.0,,,,,
2022-02-14,0.0,0.0,0.0,,,,,
2022-02-15,3.6,3.8,3.8,,,,,
2022-02-16,3.0,5.0,6.2,,,,,
2022-02-17,0.0,0.0,0.0,,,,,
2022-02-18,0.0,0.0,0.0,,,,,
2022-02-19,0.0,0.0,0.0,,,,,
2022-02-20,11.8,19.6,20.6,,,,,
2022-02-21,0.0,0.0,0.0,,,,,
2022-02-22,0.0,0.0,0.0,,,,,
2022-02-23,0.0,0.0,0.0,,,,,
2022-02-24,8.2,10.6,16.6,,,,,
2022-02-25,0.0,0.0,0.0,,,,,
2022-02-26,0.0,0.0,0.0,,,,,
2022-02-27,36.6,47.4,48.4,,,,,
2022-02-28,0.0,0.0,0.0,,,,,
2022-03-01,10.4,14.0,22.4,,,,,
2022-03-02,20.0,21.6,22.0,,,,,
2022-03-03,5.2,6.4,10.4,,,,,
2022-03-04,0.0,0.0,0.0,,,,,
2022-03-05,0.0,0.0,0.0,,,,,
2022-03-06,0.0,0.0,0.0,,,,,
2022-03-07,2.4,4.8,5.6,,,,,
