Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,2.8,3.2,3.6,25.3,29.2,23.3,6.6,40.7
2022-01-02,18.8,31.4,40.0,23.8,24.7,23.0,4.5,25.9
2022-01-03,0.6,0.6,0.8,25.8,30.6,23.4,6.3,27.8
2022-01-04,4.2,6.0,7.6,26.0,30.6,24.0,7.6,40.7
2022-01-05,0.0,0.0,0.0,27.8,32.5,24.7,9.3,31.5
2022-01-06,0.0,0.0,0.0,28.3,32.7,25.5,10.8,35.2
2022-01-07,0.0,0.0,0.0,27.8,32.4,25.3,10.3,31.5
2022-01-08,0.2,0.2,0.2,27.4,31.4,25.6,15.0,42.6
2022-01-09,0.0,0.0,0.0,27.8,32.3,25.5,15.8,40.7
2022-01-10,0.0,0.0,0.0,27.8,32.4,24.9,15.6,38.9
2022-01-11,0.0,0.0,0.0,27.6,32.6,24.7,14.6,35.2
2022-01-12,0.0,0.0,0.0,27.4,32.4,24.7,18.8,40.7
2022-01-13,0.0,0.0,0.0,27.3,32.0,24.2,15.7,37.0
2022-01-14,0.0,0.0,0.0,27.4,31.7,24.3,15.0,40.7
2022-01-15,0.0,0.0,0.0,27.8,32.8,25.2,16.0,37.0
2022-01-16,0.0,0.0,0.0,27.9,32.5,24.9,17.6,35.2
2022-01-17,0.4,0.4,0.4,27.4,31.2,25.4,18.7,44.4
2022-01-18,0.0,0.0,0.0,27.8,32.5,25.1,18.4,48.2
2022-01-19,14.6,15.8,15.8,27.0,31.0,23.7,14.9,48.2
2022-01-20,0.6,0.6,0.6,27.1,31.2,24.9,12.4,33.3
2022-01-21,0.0,0.0,0.0,27.4,32.4,23.9,16.7,37.0
2022-01-22,0.0,0.0,0.0,27.6,32.9,24.4,13.9,27.8
2022-01-23,0.0,0.0,0.0,27.7,32.8,24.1,11.0,31.5
2022-01-24,0.0,0.0,0.0,27.7,32.7,24.7,10.1,24.1
2022-01-25,0.0,0.0,0.0,28.1,33.3,24.5,15.0,33.3
2022-01-26,0.0,0.0,0.0,28.0,33.1,25.2,11.5,33.3
2022-01-27,0.0,0.0,0.0,27.8,32.8,25.1,11.7,33.3
2022-01-28,0.0,0.0,0.0,28.2,33.9,24.7,13.1,38.9
2022-01-29,0.0,0.0,0.0,27.8,33.8,24.3,12.3,33.3
2022-01-30,2.2,3.2,4.0,27.2,33.3,24.4,10.6,31.5
2022-01-31,0.0,0.0,0.0,27.8,33.0,24.6,13.1,31.5
2022-02-01,0.0,0.0,0.0,27.8,32.9,25.0,16.1,38.9
2022-02-02,0.0,0.0,0.0,28.0,33.2,24.6,11.7,37.0
2022-02-03,0.0,0.0,0.0,28.3,33.4,25.2,16.5,37.0
2022-02-04,0.0,0.0,0.0,28.6,33.9,25.6,18.8,44.4
2022-02-05,0.2,0.2,0.2,27.5,33.4,25.7,16.6,44.4
2022-02-06,2.8,3.8,4.8,26.2,30.5,24.8,6.2,37.0
2022-02-07,0.8,1.2,1.4,26.5,29.8,24.5,10.3,31.5
2022-02-08,0.4,0.6,0.8,26.7,30.8,24.2,9.9,29.6
2022-02-09,19.4,22.2,25.6,26.0,31.2,24.0,6.0,51.9
2022-02-10,2.0,3.4,4.8,24.5,25.6,23.7,5.9,24.1
2022-02-11,0.8,0.8,0.8,25.6,29.1,23.3,7.9,38.9
2022-02-12,0.4,0.4,0.4,27.2,32.3,23.7,10.4,33.3
2022-02-13,3.4,3.4,3.4,27.0,32.5,24.7,8.2,25.9
2022-02-14,4.6,4.8,4.8,27.3,31.6,24.7,10.0,29.6
2022-02-15,0.0,0.0,0.0,28.2,32.5,25.9,10.9,29.6
2022-02-16,3.2,3.4,5.4,26.1,27.9,22.6,6.2,57.4
2022-02-17,1.8,2.2,2.2,27.4,32.5,23.0,9.7,37.0
2022-02-18,0.0,0.0,0.0,28.4,32.3,26.0,12.6,29.6
2022-02-19,1.0,1.0,1.0,28.0,31.6,25.5,9.3,44.4
2022-02-20,8.8,9.0,9.0,27.1,33.8,23.5,7.9,35.2
2022-02-21,0.0,0.0,0.0,28.1,32.5,25.0,13.4,35.2
2022-02-22,0.0,0.0,0.0,27.9,32.8,24.8,13.0,33.3
2022-02-23,5.2,5.2,5.2,27.5,31.9,24.2,12.2,38.9
2022-02-24,5.8,8.0,9.0,25.1,27.7,23.4,9.6,37.0
2022-02-25,35.2,37.0,37.6,26.7,32.5,23.3,7.6,55.6
2022-02-26,0.0,0.0,0.0,26.6,29.1,24.2,8.0,22.2
2022-02-27,14.0,19.4,25.2,26.2,30.5,23.5,10.5,44.4
2022-02-28,0.0,0.0,0.0,27.5,32.1,24.6,14.4,33.3
2022-03-01,0.0,0.0,0.0,27.8,31.9,25.4,13.7,33.3
2022-03-02,48.2,67.6,86.0,26.9,33.1,23.0,9.9,42.6
2022-03-03,21.0,24.6,34.6,26.9,32.8,23.3,7.7,50.0
2022-03-04,0.0,0.0,0.0,27.7,31.7,25.4,10.2,33.3
2022-03-05,20.0,22.2,24.4,27.3,33.2,22.8,6.6,50.0
2022-03-06,0.0,0.0,0.0,27.0,31.0,24.6,5.2,20.4
2022-03-07,13.4,17.4,18.6,26.9,31.5,24.3,8.5,31.5
2022-03-08,0.2,0.2,0.2,27.4,31.1,24.8,8.0,27.8
2022-03-09,0.4,0.4,0.4,27.7,31.3,25.4,11.9,35.2
2022-03-10,1.2,1.2,1.2,27.6,32.4,23.4,14.4,40.7
2022-03-11,3.2,5.2,5.6,27.6,33.4,25.5,9.0,35.2
2022-03-12,0.0,0.0,0.0,28.1,33.8,24.8,11.3,33.3
2022-03-13,3.4,3.4,3.6,28.1,34.5,24.5,7.9,31.5
2022-03-14,15.2,16.0,16.0,28.1,33.0,25.0,8.6,35.2
2022-03-15,14.0,15.0,15.8,26.2,31.3,22.9,7.3,31.5
2022-03-16,1.4,1.6,1.6,27.9,32.9,24.7,6.3,27.8
2022-03-17,3.8,3.8,4.6,27.3,31.9,25.5,6.0,35.2
2022-03-18,0.0,0.0,0.0,28.1,33.1,25.3,6.0,27.8
2022-03-19,0.0,0.0,0.0,29.2,35.4,26.3,7.8,27.8
2022-03-20,0.0,0.0,0.0,28.9,33.4,27.0,7.7,31.5
2022-03-21,0.0,0.0,0.0,28.7,33.2,24.6,6.5,48.2
2022-03-22,11.6,12.2,12.2,28.0,32.2,24.7,7.7,33.3
2022-03-23,36.8,47.2,47.2,27.5,33.2,23.1,7.2,48.2
2022-03-24,4.6,7.2,8.6,27.7,34.4,25.0,6.4,31.5
2022-03-25,1.2,1.2,1.2,27.9,33.2,25.5,7.7,31.5
2022-03-26,30.0,33.8,33.8,27.7,34.2,24.5,6.8,48.2
2022-03-27,0.0,0.0,0.0,28.2,34.4,24.1,5.8,29.6
2022-03-28,26.0,30.8,32.8,27.7,34.3,24.2,7.3,51.9
2022-03-29,1.2,1.2,1.2,27.8,33.4,24.4,8.1,40.7
2022-03-30,0.6,0.8,0.8,28.6,33.6,25.9,6.4,25.9
2022-03-31,9.0,12.8,13.2,27.6,32.5,23.5,5.7,51.9
2022-04-01,0.0,0.0,0.0,28.4,34.5,25.0,4.9,38.9
2022-04-02,35.4,40.0,40.4,27.7,33.6,24.4,5.6,50.0
2022-04-03,4.0,4.2,4.6,26.4,30.3,24.1,5.2,29.6
2022-04-04,0.6,0.6,1.2,27.0,33.0,23.5,5.6,31.5
2022-04-05,0.0,0.0,0.0,27.6,30.6,25.5,8.8,31.5
2022-04-06,33.6,38.6,40.0,27.3,32.8,23.3,5.6,42.6
2022-04-07,0.6,0.8,1.0,26.3,27.9,24.7,6.4,27.8
2022-04-08,0.0,0.0,0.0,27.5,33.3,24.6,7.3,33.3
2022-04-09,2.0,2.6,3.6,26.6,31.6,22.9,7.2,42.6
2022-04-10,6.8,7.0,7.0,27.0,32.6,24.9,6.0,35.2
2022-04-11,8.8,9.4,9.6,26.5,31.3,23.9,4.1,48.2
2022-04-12,2.8,2.8,2.8,27.6,33.2,24.3,3.6,33.3
2022-04-13,0.0,0.0,0.0,28.0,31.9,25.3,5.3,25.9
2022-04-14,2.2,2.2,2.4,28.6,33.3,23.4,7.6,50.0
