Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,,,,,,,,
2021-01-02,12.7,16.3,26.7,,,,,
2021-01-03,0.8,1.2,2.0,,,,,
2021-01-04,0.0,0.0,0.0,,29.5,22.6,,24.1
2021-01-05,,,,,31.8,23.0,,33.3
2021-01-06,,,,,31.0,25.5,,33.3
2021-01-07,,,,,27.6,23.5,,22.2
2021-01-08,,,,,28.0,23.6,,42.6
2021-01-09,,,,,,,,
2021-01-10,,,,,,,,
2021-01-11,,,,,29.2,,,55.6
2021-01-12,,,,,29.3,23.8,,57.4
2021-01-13,,,,,27.9,22.9,,35.2
2021-01-14,,,,,29.1,23.0,,35.2
2021-01-15,0.0,0.0,0.0,,31.3,23.7,,35.2
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,29.1,24.7,,51.9
2021-01-19,0.0,0.0,0.0,,30.0,23.0,,37.0
2021-01-20,0.0,0.0,0.0,,30.0,23.3,,27.8
2021-01-21,10.3,10.9,17.3,,30.8,23.0,,31.5
2021-01-22,1.8,1.8,2.0,,30.8,22.4,,31.5
2021-01-23,33.6,34.8,35.0,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,1.4,1.8,2.0,,32.1,24.9,,29.6
2021-01-26,0.0,0.0,0.0,,,,,31.5
2021-01-27,0.0,0.0,0.0,,30.8,23.5,,35.2
2021-01-28,0.8,1.0,1.0,,29.5,24.2,,
2021-01-29,0.0,0.0,0.0,,31.1,24.2,,44.4
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,0.2,0.2,0.2,,,,,
2021-02-01,0.0,0.0,0.0,,30.9,24.7,,40.7
2021-02-02,0.0,0.0,0.0,,31.0,25.2,,42.6
2021-02-03,0.0,0.0,0.0,,31.5,24.8,,38.9
2021-02-04,0.0,0.0,0.0,,31.9,23.9,,48.2
2021-02-05,0.0,0.0,0.0,,32.3,22.8,,46.3
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.0,0.0,0.0,,32.5,24.0,,42.6
2021-02-09,0.0,0.0,0.0,,32.7,25.3,,40.7
2021-02-10,0.0,0.0,0.0,,31.4,24.2,,38.9
2021-02-11,3.0,3.0,3.0,,32.4,25.4,,31.5
2021-02-12,3.2,3.2,4.6,,,,,
2021-02-13,0.2,0.2,0.2,,,,,
2021-02-14,1.4,1.4,1.4,,,,,
2021-02-15,0.0,0.0,0.0,,31.8,24.2,,42.6
2021-02-16,0.0,0.0,0.0,,32.2,23.5,,38.9
2021-02-17,0.0,0.0,0.0,,32.2,23.8,,38.9
2021-02-18,0.0,0.0,0.0,,32.1,23.3,,44.4
2021-02-19,0.0,0.0,0.0,,31.4,24.0,,46.3
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,32.5,23.8,,37.0
2021-02-23,0.0,0.0,0.0,,33.1,23.4,,33.3
2021-02-24,1.0,2.0,2.0,,31.1,22.7,,25.9
2021-02-25,1.4,1.4,1.4,,34.3,23.2,,35.2
2021-02-26,0.0,0.0,0.0,,34.5,22.4,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,34.2,24.5,,
2021-03-02,0.0,0.0,0.0,,34.5,24.9,,
2021-03-03,0.0,0.0,0.0,,34.1,25.0,,
2021-03-04,0.0,0.0,0.0,,34.4,25.5,,
2021-03-05,0.0,0.0,0.0,,34.6,26.0,,
2021-03-06,1.0,1.0,1.0,,,,,
2021-03-07,15.3,26.1,32.2,,,,,
2021-03-08,0.0,0.0,0.0,,33.9,21.5,,
2021-03-09,0.0,0.0,0.0,,33.2,23.8,,
2021-03-10,0.0,0.0,0.0,,33.9,22.8,,
2021-03-11,0.0,0.0,0.0,,33.1,24.7,,
2021-03-12,10.0,13.9,13.9,,30.7,24.1,,
2021-03-13,25.1,30.8,32.4,,,,,
2021-03-14,0.0,0.0,0.0,,,,,
2021-03-15,12.5,13.1,14.5,,32.9,24.4,,
2021-03-16,3.4,3.4,3.4,,32.8,24.1,,
2021-03-17,20.9,31.0,33.0,,33.4,23.3,,
2021-03-18,31.8,38.0,41.2,,33.0,23.8,,
2021-03-19,13.7,14.7,14.7,,33.2,23.8,,
2021-03-20,4.4,7.8,9.2,,,,,
2021-03-21,0.0,0.0,0.0,,,,,
2021-03-22,0.6,0.6,0.6,,34.1,24.3,,
2021-03-23,0.4,0.6,0.8,,33.1,24.0,,
2021-03-24,2.6,2.8,3.2,,31.0,24.5,,
2021-03-25,0.2,0.2,0.2,,28.7,24.0,,
2021-03-26,0.0,0.0,0.0,,32.9,24.2,,
2021-03-27,1.6,2.0,3.4,,31.7,23.7,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,6.8,11.1,17.9,,32.4,23.7,,
2021-03-30,0.0,0.0,0.0,,33.9,23.4,,
2021-03-31,1.2,2.0,2.6,,33.7,24.1,,
2021-04-01,0.0,0.0,0.0,,34.3,24.7,,
2021-04-02,32.4,39.6,42.8,,,,,
2021-04-03,3.8,4.2,4.4,,,,,
2021-04-04,5.2,6.2,6.2,,,,,
2021-04-05,38.0,41.0,42.0,,32.9,24.5,,
2021-04-06,24.7,32.0,32.2,,33.1,23.9,,
2021-04-07,0.0,0.0,0.0,,33.8,23.8,,
2021-04-08,1.2,1.2,1.8,,33.8,23.5,,
2021-04-09,17.3,17.3,17.3,,33.3,24.5,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,34.0,24.9,,
2021-04-12,2.4,2.4,2.4,,33.8,23.4,,
2021-04-13,6.0,6.2,6.2,,33.5,24.2,,
2021-04-14,0.0,0.0,0.0,,33.5,24.4,,
2021-04-15,11.1,14.1,15.9,,32.9,24.1,,
2021-04-16,0.0,0.0,0.0,,31.2,23.5,,
2021-04-17,39.6,47.6,49.9,,,,,
2021-04-18,7.8,10.3,10.9,,,,,
2021-04-19,7.2,7.2,7.2,,30.9,23.6,,
2021-04-20,0.0,0.0,0.0,,33.3,23.4,,
2021-04-21,0.0,0.0,0.0,,34.2,25.6,,
2021-04-22,22.7,28.3,29.7,,31.3,24.1,,
2021-04-23,0.0,0.0,0.0,,32.2,24.1,,20.4
2021-04-24,3.4,5.4,6.8,,,,,
2021-04-25,0.0,0.0,0.0,,,,,
2021-04-26,5.4,5.6,6.2,,32.7,23.7,,22.2
2021-04-27,0.0,0.0,0.0,,31.3,23.7,,
2021-04-28,0.0,0.0,0.0,,32.3,23.7,,22.2
2021-04-29,23.9,31.8,32.6,,33.8,24.1,,
2021-04-30,5.0,6.8,6.8,,31.9,23.9,,
2021-05-01,3.0,3.0,3.2,,,,,
2021-05-02,0.0,0.2,0.2,,,,,
2021-05-03,0.0,0.0,0.0,,33.8,25.0,,24.1
2021-05-04,0.0,0.0,0.0,,34.3,25.4,,20.4
2021-05-05,11.3,13.1,13.5,,31.6,25.0,,25.9
2021-05-06,3.6,4.0,6.6,,30.7,24.5,,9.3
2021-05-07,15.1,15.3,15.5,,31.8,24.6,,20.4
2021-05-08,0.8,1.0,1.2,,,,,
2021-05-09,22.9,22.9,22.9,,,,,
2021-05-10,0.0,0.0,0.0,,34.7,24.3,,18.5
2021-05-11,0.0,0.0,0.0,,34.4,25.5,,18.5
2021-05-12,19.1,24.1,24.5,,32.2,25.8,,13.0
2021-05-13,20.9,27.1,27.5,,33.4,24.3,,
2021-05-14,0.8,0.8,0.8,,31.9,25.6,,16.7
2021-05-15,0.0,0.0,0.0,,,,,
2021-05-16,0.0,0.0,0.0,,,,,
2021-05-17,2.4,2.4,2.4,,31.2,26.0,,16.7
2021-05-18,10.7,11.1,11.5,,29.9,23.5,,24.1
2021-05-19,0.0,0.0,0.0,,30.2,25.3,,20.4
2021-05-20,0.0,0.0,0.0,,33.0,24.6,,16.7
2021-05-21,30.2,40.0,47.0,,32.6,24.6,,13.0
2021-05-22,0.0,0.0,0.0,,,,,
2021-05-23,0.0,0.0,0.0,,,,,
2021-05-24,0.2,0.2,0.2,,34.0,25.2,,18.5
2021-05-25,0.0,0.2,0.2,,34.0,25.6,,16.7
2021-05-26,0.0,0.0,0.0,,34.0,26.1,,
2021-05-27,19.3,20.7,20.7,,32.9,25.2,,18.5
2021-05-28,0.0,0.0,0.0,,34.0,24.1,,18.5
2021-05-29,0.2,0.2,0.2,,,,,
2021-05-30,0.0,0.0,0.0,,,,,
2021-05-31,11.3,11.3,11.5,,32.7,24.1,,13.0
2021-06-01,0.0,0.0,0.0,,33.4,25.2,,18.5
