Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,15.0,21.8,32.4,24.3,26.5,22.1,5.4,36.3
2021-01-02,10.2,17.6,32.4,23.3,26.0,22.0,5.6,33.9
2021-01-03,,,,26.4,29.5,24.0,3.8,23.7
2021-01-04,,,,27.0,31.4,25.3,4.4,24.8
2021-01-05,,,,26.6,29.9,23.9,5.4,26.3
2021-01-06,,,,25.5,28.2,24.7,4.5,24.4
2021-01-07,,,,25.9,28.4,23.8,4.9,33.5
2021-01-08,,,,25.2,29.7,23.8,4.9,28.2
2021-01-09,,,,25.5,29.3,23.4,6.1,34.6
2021-01-10,,,,25.6,28.3,23.7,5.7,30.9
2021-01-11,,,,26.3,30.0,24.0,4.6,29.4
2021-01-12,,,,27.3,31.3,24.7,5.5,23.3
2021-01-13,,,,27.5,31.2,25.3,5.2,24.4
2021-01-14,,,,27.8,32.0,25.6,6.8,38.5
2021-01-15,0.0,0.0,0.0,26.9,29.8,25.4,8.3,43.2
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,27.0,30.8,24.7,5.3,23.3
2021-01-21,7.0,9.4,14.8,26.6,33.2,24.6,5.2,24.4
2021-01-22,0.0,0.0,0.0,27.0,31.5,24.4,4.7,23.0
2021-01-23,0.8,0.8,0.8,26.4,31.5,24.8,5.1,25.2
2021-01-24,1.0,1.0,1.0,27.1,32.2,24.5,5.2,24.4
2021-01-25,0.2,0.2,0.2,27.5,32.2,25.5,4.9,22.6
2021-01-26,0.0,0.0,0.0,27.6,32.5,25.2,5.2,23.0
2021-01-27,0.0,0.0,0.0,27.5,32.0,25.1,4.4,23.0
2021-01-28,2.0,2.8,3.6,26.8,30.8,24.8,5.1,25.6
2021-01-29,0.0,0.0,0.0,27.6,32.3,24.8,6.1,35.2
2021-01-30,0.0,0.0,0.0,27.7,32.5,25.1,6.4,35.9
2021-01-31,1.6,1.6,1.6,27.1,31.5,25.0,5.1,26.7
2021-02-01,0.0,0.0,0.0,27.6,31.7,25.5,5.5,26.7
2021-02-02,0.0,0.0,0.0,27.9,32.0,25.8,6.3,32.0
2021-02-03,0.0,0.0,0.0,27.7,31.9,25.6,5.7,25.2
2021-02-04,0.0,0.0,0.0,27.7,32.7,25.0,6.5,35.9
2021-02-05,0.0,0.0,0.0,27.8,33.7,24.5,5.5,26.7
2021-02-06,0.0,0.0,0.0,28.4,33.6,25.8,6.2,27.8
2021-02-07,0.0,0.0,0.0,28.1,33.9,25.3,6.8,29.4
2021-02-08,1.4,1.4,1.4,28.1,33.1,25.6,6.2,30.2
2021-02-09,0.0,0.0,0.0,28.0,33.0,25.6,6.1,28.5
2021-02-10,25.0,36.8,45.2,27.2,32.2,24.6,5.2,24.1
2021-02-11,33.8,33.8,38.2,27.2,33.1,24.2,5.7,42.0
2021-02-12,2.2,2.2,2.2,27.9,32.6,25.7,5.7,32.0
2021-02-13,3.6,5.0,7.2,27.3,34.0,25.1,5.2,25.9
2021-02-14,1.2,1.2,1.2,27.4,31.9,25.4,5.6,27.0
2021-02-15,0.0,0.0,0.0,27.5,32.7,25.2,5.8,29.4
2021-02-16,0.0,0.0,0.0,27.5,32.9,24.9,5.7,24.4
2021-02-17,0.0,0.0,0.0,27.5,32.2,24.8,5.9,28.5
2021-02-18,0.0,0.0,0.0,27.4,32.7,24.3,7.4,36.3
2021-02-19,0.0,0.0,0.0,27.4,31.9,25.1,7.1,32.4
2021-02-20,0.0,0.0,0.0,27.5,32.9,25.3,6.6,33.2
2021-02-21,0.0,0.0,0.0,27.7,33.1,25.1,5.6,26.7
2021-02-22,0.0,0.0,0.0,27.8,33.7,25.0,5.6,28.5
2021-02-23,0.0,0.0,0.0,27.4,32.0,24.8,6.6,27.8
2021-02-24,2.4,2.4,2.4,26.9,30.9,24.8,5.0,24.4
2021-02-25,0.0,0.0,0.0,,,,5.5,22.0
2021-02-26,0.0,0.0,0.0,28.6,32.7,25.5,5.1,25.6
2021-02-27,0.0,0.0,0.0,28.7,33.6,25.8,5.7,24.8
2021-02-28,0.0,0.0,0.0,28.5,32.4,26.3,6.9,24.1
2021-03-01,0.0,0.0,0.0,28.5,33.2,26.2,7.3,28.5
2021-03-02,0.0,0.0,0.0,29.2,33.5,26.4,6.0,30.6
2021-03-03,0.0,0.0,0.0,29.6,35.1,26.6,5.4,26.7
2021-03-04,0.0,0.0,0.0,29.4,33.8,26.7,6.0,27.4
2021-03-05,0.0,0.0,0.0,29.2,32.6,27.1,6.9,33.9
2021-03-06,3.2,3.2,3.2,29.2,34.7,26.4,5.4,29.1
2021-03-07,13.8,19.6,22.8,26.6,31.5,24.3,4.9,41.1
2021-03-08,0.2,0.2,0.2,27.9,32.1,24.1,4.9,23.7
2021-03-09,0.0,0.0,0.0,29.0,34.4,26.2,6.0,29.8
2021-03-10,0.0,0.0,0.0,29.4,35.4,25.9,5.5,27.0
2021-03-11,0.0,0.0,0.0,29.3,34.0,26.2,5.2,25.2
2021-03-12,0.0,0.0,0.0,27.8,31.8,26.1,4.3,25.6
2021-03-13,11.8,12.4,12.4,27.7,31.9,25.7,4.5,25.2
2021-03-14,1.4,1.4,1.4,28.2,31.5,26.3,4.9,20.6
2021-03-15,6.2,6.4,6.4,28.3,34.2,24.0,5.2,38.5
2021-03-16,0.0,0.0,0.0,28.6,31.6,26.2,6.0,28.5
2021-03-17,5.4,5.6,5.6,27.8,31.1,25.6,4.3,20.2
2021-03-18,12.2,14.4,14.4,27.9,32.0,24.2,5.5,27.8
2021-03-19,0.2,0.2,0.2,29.0,33.2,26.4,5.2,19.8
2021-03-20,0.0,0.0,0.0,29.2,33.6,27.2,5.0,22.6
2021-03-21,3.8,3.8,3.8,28.7,32.9,25.3,5.5,30.2
2021-03-22,0.0,0.0,0.0,29.2,34.0,26.7,5.7,28.2
2021-03-23,43.0,56.5,64.5,27.2,32.1,24.3,5.1,33.5
2021-03-24,1.5,1.5,2.0,26.8,30.5,25.4,4.5,18.3
2021-03-25,0.0,0.0,0.0,27.3,29.5,25.3,3.9,20.9
2021-03-26,0.0,0.0,0.0,28.9,33.6,26.3,5.2,27.0
2021-03-27,1.2,1.2,1.8,27.5,31.7,24.7,5.1,38.2
2021-03-28,0.0,0.0,0.0,29.0,32.2,26.2,5.4,18.3
2021-03-29,34.4,41.4,53.2,27.4,33.0,23.4,4.1,40.7
2021-03-30,0.0,0.0,0.0,28.7,33.6,25.6,5.2,24.1
2021-03-31,11.8,17.6,21.2,29.3,34.0,23.6,6.1,47.2
2021-04-01,0.0,0.0,0.0,31.1,33.7,28.9,8.9,36.7
2021-04-02,7.2,7.2,7.2,29.4,34.1,24.7,4.3,28.9
2021-04-03,4.0,4.2,4.2,28.4,32.9,25.6,4.3,27.4
2021-04-04,13.4,14.2,19.0,28.2,33.6,24.0,4.9,29.4
2021-04-05,11.2,16.0,16.4,27.6,32.1,24.6,3.9,31.7
2021-04-06,11.8,12.8,13.0,28.2,31.6,25.8,4.1,32.4
2021-04-07,0.0,0.0,0.0,29.2,33.0,25.9,5.6,32.0
2021-04-08,0.0,0.0,0.0,28.9,33.0,26.1,4.9,21.3
2021-04-09,19.8,22.8,22.8,28.1,32.9,24.3,4.2,37.0
2021-04-10,0.0,0.0,0.0,29.1,32.3,26.0,5.1,25.2
2021-04-11,0.0,0.0,0.0,29.6,32.9,27.1,6.3,33.9
2021-04-12,1.4,1.4,1.6,28.9,32.5,25.0,6.1,37.0
2021-04-13,0.0,0.0,0.0,29.4,33.6,27.6,4.9,19.8
2021-04-14,1.8,3.0,3.4,28.8,32.3,24.3,4.9,26.7
2021-04-15,2.8,3.4,4.0,27.5,32.3,25.2,3.4,24.8
2021-04-16,2.2,2.2,2.2,28.3,30.6,25.9,3.8,21.7
2021-04-17,47.6,57.2,66.6,26.5,33.4,22.9,3.6,32.8
2021-04-18,0.0,0.0,0.0,28.5,32.1,25.4,5.2,21.3
2021-04-19,0.0,0.0,0.0,28.6,31.6,26.2,4.9,40.0
2021-04-20,0.0,0.0,0.0,29.2,32.4,26.6,5.7,24.1
2021-04-21,0.0,0.0,0.0,29.5,32.4,27.7,5.5,21.7
2021-04-22,0.2,0.4,0.4,28.3,31.2,27.0,5.4,25.6
2021-04-23,0.0,0.0,0.0,29.1,31.7,26.1,5.7,26.3
2021-04-24,25.8,37.8,45.2,27.1,28.9,24.3,5.0,40.0
2021-04-25,0.0,0.0,0.0,29.6,33.6,26.6,4.5,18.3
2021-04-26,23.2,37.4,38.0,28.6,35.5,24.5,5.2,28.5
2021-04-27,0.0,0.0,0.0,28.7,31.6,26.1,4.1,17.6
2021-04-28,0.0,0.0,0.0,29.5,34.1,26.6,4.6,22.6
2021-04-29,0.0,0.0,0.0,29.9,35.4,27.7,5.6,31.7
2021-04-30,0.0,0.0,0.0,29.1,33.2,27.8,4.6,26.3
2021-05-01,0.2,0.4,0.4,29.1,32.4,26.4,4.4,28.5
2021-05-02,0.0,0.0,0.2,30.1,34.0,26.7,5.2,27.8
2021-05-03,3.8,4.0,4.0,29.6,33.0,26.4,5.4,27.0
2021-05-04,1.4,1.4,1.4,29.3,33.6,27.5,4.2,19.4
2021-05-05,5.2,5.4,5.4,28.4,33.2,26.3,4.5,23.3
2021-05-06,2.4,2.6,2.8,27.8,29.8,26.0,3.0,17.6
2021-05-07,0.0,0.0,0.0,29.4,33.0,27.0,3.9,24.4
2021-05-08,30.4,40.6,42.0,27.9,31.4,24.2,3.4,25.6
2021-05-09,0.0,0.0,0.0,28.9,32.2,26.7,3.7,22.0
2021-05-10,0.0,0.0,0.0,30.2,33.9,27.5,5.1,20.6
2021-05-11,5.2,5.4,5.4,30.0,35.1,26.8,5.3,39.6
2021-05-12,2.4,2.6,2.6,28.7,31.5,26.7,3.8,22.4
2021-05-13,0.0,0.0,0.0,29.5,32.7,27.1,4.9,28.9
2021-05-14,12.0,12.4,12.4,28.8,30.2,27.2,4.4,25.2
2021-05-15,23.0,33.6,36.4,28.1,31.8,24.3,4.8,44.3
2021-05-16,0.0,0.0,0.0,29.8,34.2,27.1,4.0,19.4
2021-05-17,0.2,0.2,0.2,29.4,31.3,27.5,4.4,29.1
2021-05-18,14.0,18.0,23.2,27.2,30.2,24.8,5.5,31.3
2021-05-19,0.0,0.0,0.0,28.6,30.8,26.8,3.5,19.1
2021-05-20,0.0,0.0,0.0,29.5,32.5,26.9,4.0,18.0
2021-05-21,7.0,9.4,12.2,28.5,33.3,24.7,4.8,34.3
2021-05-22,0.0,0.0,0.0,28.1,30.0,26.1,5.9,27.8
2021-05-23,0.0,0.0,0.0,29.9,33.1,28.1,6.1,18.7
2021-05-24,0.0,0.0,0.0,30.5,34.1,28.2,6.3,24.1
2021-05-25,0.0,0.0,0.0,30.6,34.3,28.4,7.0,25.6
