Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,9.6,9.6,10.4,,,,,
2023-01-04,0.2,0.2,0.2,,,,,
2023-01-05,3.8,5.0,6.8,,,,,
2023-01-06,3.4,3.8,3.8,,,,,
2023-01-07,6.6,6.6,6.6,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,14.0,14.8,14.8,,,,,
2023-01-11,0.6,0.8,0.8,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,4.4,5.4,5.4,,,,,
2023-01-14,0.0,0.0,0.0,,,,,
2023-01-15,15.6,18.6,18.6,,,,,
2023-01-16,0.0,0.0,0.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,6.4,7.0,12.8,,,,,
2023-01-20,6.4,7.2,11.0,,,,,
2023-01-21,0.6,0.6,1.8,,,,,
2023-01-22,5.8,5.8,7.4,,,,,
2023-01-23,9.4,14.6,19.4,,,,,
2023-01-24,2.4,4.6,8.6,,,,,
2023-01-25,13.6,14.8,21.0,,,,,
2023-01-26,1.4,2.0,3.6,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.2,2.0,3.2,,,,,
2023-01-29,2.2,3.6,7.0,,,,,
2023-01-30,2.2,2.6,2.6,,,,,
2023-01-31,4.2,5.8,7.8,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,19.8,21.2,21.2,,,,,
2023-02-03,9.4,9.4,9.6,,,,,
2023-02-04,2.8,4.2,7.8,,,,,
2023-02-05,6.6,6.6,7.4,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,0.0,0.0,0.0,,,,,
2023-02-09,0.0,0.0,0.0,,,,,
2023-02-10,3.0,3.0,3.0,,,,,
2023-02-11,2.6,2.6,2.6,,,,,
2023-02-12,22.0,24.0,27.5,,,,,
2023-02-13,5.4,6.4,7.0,,,,,
2023-02-14,16.0,16.5,30.0,,,,,
2023-02-15,12.4,14.8,16.2,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,0.0,0.0,0.0,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,0.0,0.0,0.0,,,,,
2023-02-20,6.2,6.2,6.2,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,0.0,0.0,0.0,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,1.4,2.6,4.2,,,,,
2023-02-27,1.6,3.0,5.2,,,,,
2023-02-28,23.6,39.6,52.2,,,,,
2023-03-01,16.0,28.2,57.2,,,,,
2023-03-02,12.6,19.0,23.0,,,,,
2023-03-03,11.2,13.6,15.6,,,,,
2023-03-04,6.8,8.6,11.6,,,,,
2023-03-05,5.6,6.0,6.8,,,,,
2023-03-06,0.0,0.0,0.0,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,0.0,0.0,0.0,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.0,0.0,0.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,0.0,0.0,0.0,,,,,
2023-03-20,0.4,0.4,0.4,,,,,
2023-03-21,7.2,7.4,7.6,,,,,
2023-03-22,0.0,0.0,0.0,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,7.6,9.0,9.4,,,,,
2023-03-25,6.8,10.2,14.6,,,,,
2023-03-26,0.0,0.0,0.2,,,,,
2023-03-27,11.8,17.4,25.4,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.0,0.0,0.0,,,,,
2023-03-30,5.0,7.6,9.0,,,,,
2023-03-31,0.0,0.0,0.0,,,,,
2023-04-01,2.0,2.6,3.0,,,,,
2023-04-02,3.4,3.6,3.6,,,,,
2023-04-03,14.4,17.4,20.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,4.2,4.2,4.2,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,0.0,0.0,0.0,,,,,
2023-04-09,0.0,0.0,0.0,,,,,
2023-04-10,8.2,8.6,8.8,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,8.8,12.0,12.0,,,,,
2023-04-14,5.8,5.8,5.8,,,,,
2023-04-15,3.0,3.0,3.0,,,,,
2023-04-16,1.6,1.6,1.6,,,,,
2023-04-17,0.2,0.4,0.4,,,,,
2023-04-18,5.4,5.4,5.4,,,,,
2023-04-19,5.6,5.8,5.8,,,,,
2023-04-20,0.0,0.0,0.0,,,,,
2023-04-21,1.0,1.2,1.8,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,0.0,0.0,0.0,,,,,
2023-04-25,0.2,0.2,0.2,,,,,
2023-04-26,0.0,0.0,0.0,,,,,
2023-04-27,0.0,0.0,0.0,,,,,
2023-04-28,2.6,2.6,2.6,,,,,
2023-04-29,25.8,36.4,39.4,,,,,
