Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,,,,,,,,
2021-01-02,,,,,,,,
2021-01-03,0.6,1.2,1.8,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,1.0,1.0,1.0,,,,,
2021-01-07,1.2,1.2,1.2,,,,,
2021-01-08,1.2,1.2,2.0,,,,,
2021-01-09,18.2,25.4,26.6,,,,,
2021-01-10,10.4,16.2,23.4,,,,,
2021-01-11,0.8,1.4,3.2,,,,,
2021-01-12,10.6,12.0,14.6,,,,,
2021-01-13,0.6,0.8,1.0,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,4.0,5.8,8.2,,,,,
2021-01-22,6.4,6.4,6.4,,,,,
2021-01-23,12.8,16.6,17.8,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,0.6,0.6,0.6,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,5.4,6.0,6.2,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,4.6,4.6,4.6,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.0,0.0,0.0,,,,,
2021-02-09,0.4,0.4,0.4,,,,,
2021-02-10,5.4,5.4,5.4,,,,,
2021-02-11,5.2,5.4,5.4,,,,,
2021-02-12,3.8,3.8,4.4,,,,,
2021-02-13,0.8,0.8,0.8,,,,,
2021-02-14,0.0,0.0,0.0,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,2.8,2.8,2.8,,,,,
2021-02-25,0.0,0.0,0.0,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,5.6,5.6,5.6,,,,,
2021-03-07,18.0,29.0,32.4,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,27.8,29.2,29.2,,,,,
2021-03-13,0.6,0.6,0.8,,,,,
2021-03-14,0.0,0.0,0.0,,,,,
2021-03-15,0.0,0.0,0.0,,,,,
2021-03-16,1.8,1.8,1.8,,,,,
2021-03-17,4.2,6.0,6.2,,,,,
2021-03-18,6.6,8.2,8.2,,,,,
2021-03-19,1.2,1.2,1.6,,,,,
2021-03-20,0.0,0.0,0.0,,,,,
2021-03-21,4.6,5.0,5.2,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,6.4,6.4,6.4,,,,,
2021-03-24,6.8,7.2,8.6,,,,,
2021-03-25,0.0,0.0,0.0,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,1.6,1.8,1.8,,,,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,29.8,54.4,55.4,,,,,
2021-03-30,0.0,0.0,0.0,,,,,
2021-03-31,19.2,32.4,36.6,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,10.0,14.4,14.8,,,,,
2021-04-03,10.0,10.2,10.2,,,,,
2021-04-04,7.4,8.0,11.6,,,,,
2021-04-05,33.0,40.4,41.2,,,,,
2021-04-06,0.6,0.6,0.6,,,,,
2021-04-07,0.2,0.2,0.2,,,,,
2021-04-08,0.0,0.0,0.0,,,,,
2021-04-09,22.0,27.8,28.4,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,5.8,8.6,8.6,,,,,
2021-04-13,0.0,0.0,0.0,,,,,
2021-04-14,3.8,4.6,4.8,,,,,
2021-04-15,13.8,16.0,23.2,,,,,
2021-04-16,0.2,0.2,0.2,,,,,
2021-04-17,28.8,51.4,70.8,,,,,
2021-04-18,0.0,0.0,0.0,,,,,
2021-04-19,0.0,0.0,0.0,,,,,
2021-04-20,0.0,0.0,0.0,,,,,
2021-04-21,0.0,0.0,0.0,,,,,
2021-04-22,3.2,3.2,3.4,,,,,
2021-04-23,0.0,0.0,0.0,,,,,
2021-04-24,6.4,10.4,15.4,,,,,
2021-04-25,0.0,0.0,0.0,,,,,
2021-04-26,40.4,64.8,69.8,,,,,
2021-04-27,0.0,0.0,0.0,,,,,
2021-04-28,0.0,0.0,0.0,,,,,
2021-04-29,0.0,0.0,0.0,,,,,
2021-04-30,0.4,0.4,0.4,,,,,
2021-05-01,0.6,0.8,0.8,,,,,
2021-05-02,0.0,0.0,0.8,,,,,
2021-05-03,0.0,0.0,0.0,,,,,
2021-05-04,0.2,0.2,0.2,,,,,
2021-05-05,2.8,2.8,2.8,,,,,
2021-05-06,1.2,1.8,2.4,,,,,
2021-05-07,0.0,0.0,0.0,,,,,
2021-05-08,1.2,1.4,1.8,,,,,
2021-05-09,0.0,0.0,0.0,,,,,
2021-05-10,0.0,0.0,0.0,,,,,
2021-05-11,14.0,14.0,14.0,,,,,
2021-05-12,6.4,7.4,8.2,,,,,
2021-05-13,0.0,0.0,0.0,,,,,
2021-05-14,2.2,3.0,3.0,,,,,
2021-05-15,3.2,4.8,5.2,,,,,
2021-05-16,0.0,0.0,0.0,,,,,
2021-05-17,1.4,2.4,2.6,,,,,
2021-05-18,17.2,25.2,39.4,,,,,
2021-05-19,0.0,0.0,0.0,,,,,
