Date,Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014-01-01,0.0,0.0,0.0,27.1,29.2,25.5,13.1,37.4
2014-01-02,0.2,0.2,0.2,27.6,30.6,25.6,13.8,40.3
2014-01-03,1.0,1.0,1.0,27.4,30.0,26.1,11.9,36.0
2014-01-04,1.8,1.8,1.8,27.1,30.8,25.4,6.5,34.6
2014-01-05,2.2,3.4,6.2,25.3,26.4,24.1,8.4,25.6
2014-01-06,3.4,5.4,9.2,25.7,27.4,24.2,5.8,31.7
2014-01-07,0.0,0.0,0.0,27.2,30.4,24.9,7.5,25.9
2014-01-08,0.0,0.0,0.0,27.7,31.6,25.6,11.2,34.9
2014-01-09,0.2,0.2,0.2,26.4,28.9,25.0,6.2,33.5
2014-01-10,0.6,0.6,0.6,27.4,31.4,25.0,5.2,18.7
2014-01-11,1.0,1.0,1.0,27.3,31.3,24.7,12.2,40.0
2014-01-12,6.0,6.2,6.2,26.6,28.9,25.1,13.8,41.0
2014-01-13,0.0,0.0,0.0,27.1,29.7,25.3,16.5,45.7
2014-01-14,0.0,0.0,0.0,26.9,29.4,24.8,15.5,46.4
2014-01-15,0.2,0.4,0.4,26.1,28.1,24.7,14.7,39.2
2014-01-16,0.0,0.0,0.0,26.2,28.4,24.5,15.7,38.9
2014-01-17,0.0,0.0,0.0,26.4,29.5,24.7,17.3,43.2
2014-01-18,0.0,0.0,0.0,26.4,29.3,24.6,17.7,45.7
2014-01-19,0.0,0.0,0.0,26.4,28.7,24.5,15.8,41.0
2014-01-20,0.0,0.0,0.0,26.4,29.9,24.6,16.6,43.6
2014-01-21,0.0,0.0,0.0,26.1,29.2,24.4,16.5,41.0
2014-01-22,0.0,0.0,0.0,26.0,28.6,24.3,15.9,37.8
2014-01-23,0.0,0.0,0.0,26.0,28.9,24.3,16.4,43.9
2014-01-24,0.0,0.0,0.0,26.0,28.6,24.4,16.2,36.7
2014-01-25,0.0,0.0,0.0,25.9,28.9,23.9,14.1,37.4
2014-01-26,0.0,0.0,0.0,25.8,29.0,23.9,13.7,33.8
2014-01-27,0.0,0.0,0.0,25.9,29.3,23.8,16.3,41.0
2014-01-28,0.0,0.0,0.0,26.6,30.0,24.4,16.5,43.9
2014-01-29,0.0,0.0,0.0,26.7,30.2,24.5,17.3,47.5
2014-01-30,0.0,0.0,0.0,26.4,30.3,23.7,15.5,41.4
2014-01-31,0.0,0.0,0.0,26.3,30.4,23.7,16.5,40.3
2014-02-01,0.0,0.0,0.0,26.3,31.4,23.2,14.4,38.2
2014-02-02,0.0,0.0,0.0,26.1,29.7,23.8,14.0,41.0
2014-02-03,0.0,0.0,0.0,26.6,31.4,23.9,10.8,33.1
2014-02-04,0.0,0.0,0.0,26.8,32.4,24.1,10.8,31.0
2014-02-05,0.0,0.0,0.0,26.4,31.0,23.8,13.5,35.6
2014-02-06,0.0,0.0,0.0,26.6,31.3,23.7,12.9,33.8
2014-02-07,0.0,0.0,0.0,26.9,31.1,24.7,12.1,28.8
2014-02-08,5.8,6.0,6.0,26.7,30.9,24.4,10.0,30.2
2014-02-09,0.4,0.4,0.4,27.3,32.4,25.1,9.7,24.8
2014-02-10,0.0,0.0,0.0,27.9,32.9,25.0,9.0,26.3
2014-02-11,0.0,0.0,0.0,27.7,31.6,25.6,13.6,34.2
2014-02-12,0.0,0.0,0.0,27.6,32.1,24.9,14.9,37.8
2014-02-13,0.0,0.0,0.0,28.1,32.6,25.7,15.5,44.3
2014-02-14,0.0,0.0,0.0,27.7,31.1,25.7,15.4,36.7
2014-02-15,0.0,0.0,0.0,27.7,31.6,25.4,16.6,42.1
2014-02-16,0.0,0.0,0.0,27.7,31.4,25.5,14.4,38.9
2014-02-17,0.0,0.0,0.0,27.6,31.0,25.6,14.8,35.3
2014-02-18,0.0,0.0,0.0,27.8,31.7,25.4,13.9,34.9
2014-02-19,0.0,0.0,0.0,27.5,31.4,25.2,12.1,32.8
2014-02-20,0.0,0.0,0.0,27.7,31.8,25.3,15.4,41.8
2014-02-21,0.0,0.0,0.0,27.6,30.4,25.9,17.4,42.8
2014-02-22,0.0,0.0,0.0,28.0,32.1,25.4,18.9,50.0
