Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,27.3,30.1,25.4,11.7,32.0
2023-01-02,0.0,0.0,0.0,27.8,31.3,25.5,12.8,34.6
2023-01-03,0.0,0.0,0.0,27.7,31.7,25.8,10.3,30.6
2023-01-04,0.0,0.0,0.0,26.8,28.8,25.1,12.5,33.5
2023-01-05,13.4,17.2,22.0,26.9,31.2,25.2,7.1,31.7
2023-01-06,5.2,5.2,5.2,28.3,33.9,26.0,7.3,27.8
2023-01-07,0.0,0.0,0.0,28.1,32.0,25.9,8.4,27.4
2023-01-08,0.0,0.0,0.0,28.6,33.4,25.9,8.0,32.0
2023-01-09,0.0,0.0,0.0,27.8,32.5,26.2,7.5,32.0
2023-01-10,6.6,6.6,6.6,27.5,31.6,25.8,7.3,24.1
2023-01-11,1.2,1.2,1.2,26.4,29.5,24.7,5.9,45.7
2023-01-12,0.0,0.0,0.0,28.0,32.9,24.9,6.3,21.3
2023-01-13,10.0,10.0,14.4,27.0,31.4,25.1,6.6,32.0
2023-01-14,0.8,1.2,1.4,27.3,31.3,25.4,5.6,24.4
2023-01-15,5.4,5.4,5.4,27.6,32.3,25.8,5.7,39.3
2023-01-16,0.0,0.0,0.0,27.5,30.8,25.3,10.8,39.6
2023-01-17,0.0,0.0,0.0,28.1,31.9,25.8,15.2,40.0
2023-01-18,0.8,0.8,0.8,27.6,30.7,26.1,15.8,40.7
2023-01-19,5.4,5.6,5.8,26.5,28.7,24.5,11.8,43.9
2023-01-20,10.8,12.0,12.6,25.9,28.4,24.7,10.2,38.5
2023-01-21,1.0,1.2,10.8,27.4,31.6,25.2,11.0,36.3
2023-01-22,16.2,20.2,25.4,26.4,30.3,24.5,8.5,37.8
2023-01-23,5.0,8.6,11.4,25.7,27.1,24.4,7.4,29.1
2023-01-24,2.6,4.6,7.2,24.1,25.2,23.3,12.2,33.5
2023-01-25,4.2,7.0,11.6,23.9,25.0,23.2,12.5,33.9
2023-01-26,1.0,1.8,2.6,24.9,27.3,23.1,9.2,29.8
2023-01-27,0.0,0.0,0.0,27.1,31.4,24.3,9.7,30.6
2023-01-28,1.2,2.0,3.8,24.6,25.7,23.7,12.5,39.6
2023-01-29,2.0,3.8,6.2,24.4,25.8,23.0,17.0,44.6
2023-01-30,0.8,0.8,1.2,25.7,28.4,24.1,15.5,45.4
2023-01-31,0.6,1.0,1.6,25.2,26.7,24.4,12.1,38.9
2023-02-01,0.0,0.0,0.0,26.6,30.4,24.1,9.3,34.3
2023-02-02,6.0,7.2,7.4,26.9,31.3,24.0,8.9,35.0
2023-02-03,11.2,16.2,22.0,26.6,31.2,23.4,8.0,32.0
2023-02-04,2.0,3.4,6.0,25.1,27.5,24.0,8.9,35.2
2023-02-05,18.6,19.8,21.2,26.2,30.8,23.8,8.7,34.3
2023-02-06,0.0,0.0,0.0,26.7,31.1,24.6,6.8,27.0
2023-02-07,0.0,0.0,0.0,27.2,31.2,24.8,9.7,31.3
2023-02-08,0.0,0.0,0.0,27.3,30.8,25.3,13.1,37.8
2023-02-09,0.6,0.6,0.6,27.3,30.4,25.8,11.3,27.4
2023-02-10,0.8,0.8,0.8,27.4,32.4,25.5,9.7,31.7
2023-02-11,2.2,2.2,2.2,27.6,31.2,25.8,12.0,32.4
2023-02-12,1.8,3.2,5.6,25.8,30.4,23.6,8.9,35.9
2023-02-13,6.2,6.2,6.2,27.0,33.2,24.9,6.5,30.9
2023-02-14,19.6,22.2,30.6,26.9,32.3,23.6,7.9,43.2
2023-02-15,6.8,9.0,10.6,25.9,28.4,22.5,11.5,35.0
2023-02-16,0.0,0.0,0.0,27.0,30.3,24.3,12.4,35.2
2023-02-17,0.2,0.2,0.2,27.2,30.2,24.8,12.0,32.4
2023-02-18,0.0,0.0,0.0,27.6,31.5,25.6,15.1,38.9
2023-02-19,0.0,0.0,0.0,27.7,31.6,25.7,15.3,35.2
2023-02-20,0.0,0.0,0.0,27.0,29.8,25.7,13.5,34.3
2023-02-21,0.0,0.0,0.0,27.3,30.8,25.4,16.4,44.3
2023-02-22,0.0,0.0,0.0,27.3,30.0,25.5,15.4,38.5
2023-02-23,0.0,0.0,0.0,27.7,31.1,25.7,15.5,36.7
2023-02-24,0.0,0.0,0.0,27.8,31.1,26.0,16.4,38.5
2023-02-25,0.0,0.0,0.0,27.5,31.2,25.5,15.3,37.0
2023-02-26,3.6,4.2,4.2,27.2,31.0,24.5,20.2,48.9
2023-02-27,0.8,3.4,4.8,26.9,30.0,24.6,16.8,55.4
2023-02-28,23.2,31.8,50.6,24.9,27.5,22.6,11.9,40.4
2023-03-01,17.0,31.0,54.4,23.8,26.4,21.7,8.1,25.2
2023-03-02,25.0,35.8,41.0,24.8,30.2,22.6,10.4,46.1
2023-03-03,13.4,14.6,16.8,24.5,25.3,23.5,11.4,29.4
2023-03-04,10.0,10.0,13.2,24.3,25.2,22.5,13.2,46.1
2023-03-05,3.0,3.0,3.4,25.4,28.1,23.7,10.1,41.9
2023-03-06,0.0,0.0,0.0,25.9,29.0,24.3,12.2,36.7
2023-03-07,0.0,0.0,0.0,26.1,28.8,24.1,15.3,41.1
2023-03-08,0.0,0.0,0.0,26.8,30.0,25.0,14.1,40.0
2023-03-09,0.0,0.0,0.0,27.2,30.7,24.9,14.8,37.4
2023-03-10,0.4,0.4,0.4,27.1,30.2,25.4,14.5,37.4
2023-03-11,0.0,0.0,0.0,27.2,30.6,25.4,13.8,33.9
2023-03-12,0.0,0.0,0.0,27.3,31.2,24.9,12.7,34.6
2023-03-13,0.0,0.0,0.0,27.1,30.4,25.1,18.0,45.7
2023-03-14,0.0,0.0,0.0,26.7,29.4,24.8,15.8,41.9
2023-03-15,0.0,0.0,0.0,26.9,30.3,24.3,13.9,38.5
2023-03-16,0.0,0.0,0.0,27.4,31.2,24.9,14.9,38.2
2023-03-17,0.0,0.0,0.0,27.5,31.3,25.2,14.2,37.4
2023-03-18,0.0,0.0,0.0,27.5,31.2,25.1,14.9,38.5
2023-03-19,0.0,0.0,0.0,27.9,31.9,25.8,13.1,34.3
2023-03-20,0.2,0.2,0.2,27.8,31.5,26.1,10.8,28.5
2023-03-21,2.0,2.8,3.2,27.2,30.9,23.9,8.0,28.5
2023-03-22,25.0,28.0,32.8,27.6,31.6,24.9,7.6,36.3
2023-03-23,0.0,0.0,0.0,28.5,32.8,25.7,8.6,30.2
2023-03-24,8.0,8.4,9.4,28.0,31.7,25.1,6.9,35.6
2023-03-25,4.2,6.6,9.0,26.5,31.4,24.4,6.6,37.0
2023-03-26,1.4,1.4,1.4,27.6,32.5,25.0,4.9,28.9
2023-03-27,10.8,14.0,19.0,26.0,28.4,23.4,6.3,32.8
2023-03-28,0.0,0.0,0.0,28.8,33.0,25.7,7.7,28.2
2023-03-29,6.0,6.0,6.0,28.2,33.1,24.7,8.5,40.0
2023-03-30,10.6,13.0,16.8,27.7,33.0,23.1,11.6,41.5
2023-03-31,0.0,0.0,0.0,28.3,32.5,25.7,6.9,29.1
2023-04-01,33.6,35.6,35.8,27.5,31.7,24.3,7.9,48.5
2023-04-02,0.2,0.2,0.2,28.2,32.2,26.4,4.6,21.7
2023-04-03,18.8,27.0,30.8,26.4,28.5,23.6,7.2,32.8
2023-04-04,0.0,0.0,0.0,29.4,34.6,26.0,5.8,23.7
2023-04-05,2.6,2.8,2.8,27.9,29.9,23.8,4.7,33.9
2023-04-06,0.0,0.0,0.0,28.9,32.5,26.5,5.4,19.8
2023-04-07,0.0,0.0,0.0,28.0,30.2,26.8,5.3,22.6
2023-04-08,8.4,9.0,9.0,28.1,33.2,26.0,5.4,30.6
