Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,21.2,38.2,61.6,,,,,
2021-01-02,22.4,30.4,55.2,,,,,
2021-01-03,0.8,1.4,2.4,,,,,
2021-01-04,0.0,0.0,0.0,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,0.0,0.0,0.0,,,,,
2021-01-07,0.2,0.4,0.4,,,,,
2021-01-08,3.4,5.2,5.4,,,,,
2021-01-09,9.6,11.8,12.0,,,,,
2021-01-10,20.0,34.2,51.8,,,,,
2021-01-11,1.2,1.2,3.6,,,,,
2021-01-12,12.2,14.8,15.0,,,,,
2021-01-13,0.4,0.4,0.6,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,10.8,13.4,13.8,,,,,
2021-01-22,0.2,0.2,0.2,,,,,
2021-01-23,6.6,9.2,10.0,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,3.8,4.0,4.0,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,6.8,7.0,8.4,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,0.2,0.2,0.2,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.4,0.4,0.4,,,,,
2021-02-09,9.8,12.6,13.4,,,,,
2021-02-10,0.0,0.0,0.0,,,,,
2021-02-11,0.0,0.0,0.0,,,,,
2021-02-12,1.4,1.4,1.6,,,,,
2021-02-13,0.2,0.2,0.2,,,,,
2021-02-14,0.0,0.0,0.0,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.0,0.0,0.0,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,1.4,1.4,1.4,,,,,
2021-02-25,0.0,0.0,0.0,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,1.2,1.2,1.2,,,,,
2021-03-07,6.4,11.4,14.6,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,6.0,7.2,11.8,,,,,
2021-03-13,13.4,15.2,17.6,,,,,
2021-03-14,7.6,7.6,7.6,,,,,
2021-03-15,6.2,8.2,8.6,,,,,
2021-03-16,0.0,0.0,0.0,,,,,
2021-03-17,2.2,2.4,2.4,,,,,
2021-03-18,3.4,3.4,3.4,,,,,
2021-03-19,0.0,0.0,0.0,,,,,
2021-03-20,0.2,0.2,0.2,,,,,
2021-03-21,0.2,0.4,0.4,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,7.2,7.4,7.4,,,,,
2021-03-24,16.8,18.2,18.2,,,,,
2021-03-25,0.2,0.2,0.2,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,0.0,0.0,0.0,,,,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,36.8,45.8,51.0,,,,,
2021-03-30,0.0,0.0,0.0,,,,,
2021-03-31,22.4,35.2,40.6,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,12.8,13.8,14.0,,,,,
2021-04-03,52.2,64.8,65.8,,,,,
2021-04-04,5.4,5.4,5.4,,,,,
2021-04-05,16.4,17.0,17.4,,,,,
2021-04-06,0.8,1.2,1.4,,,,,
2021-04-07,0.0,0.0,0.0,,,,,
2021-04-08,0.0,0.0,0.0,,,,,
2021-04-09,9.0,9.2,9.2,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,5.4,5.4,5.6,,,,,
2021-04-13,1.2,1.2,1.2,,,,,
2021-04-14,3.8,4.0,4.0,,,,,
2021-04-15,23.8,27.0,27.4,,,,,
2021-04-16,0.8,1.0,1.0,,,,,
2021-04-17,37.2,46.6,63.0,,,,,
2021-04-18,0.0,0.0,0.0,,,,,
2021-04-19,0.0,0.0,0.0,,,,,
2021-04-20,0.0,0.0,0.0,,,,,
2021-04-21,0.0,0.0,0.0,,,,,
2021-04-22,0.4,0.4,0.6,,,,,
2021-04-23,0.0,0.0,0.0,,,,,
2021-04-24,4.6,8.0,13.2,,,,,
2021-04-25,0.0,0.0,0.0,,,,,
2021-04-26,0.0,0.0,0.0,,,,,
2021-04-27,1.2,1.2,1.2,,,,,
2021-04-28,0.0,0.0,0.0,,,,,
2021-04-29,0.0,0.0,0.0,,,,,
2021-04-30,1.4,1.6,1.6,,,,,
2021-05-01,1.4,1.6,1.6,,,,,
2021-05-02,0.0,0.0,0.8,,,,,
2021-05-03,0.0,0.0,0.0,,,,,
2021-05-04,0.0,0.0,0.0,,,,,
2021-05-05,0.0,0.0,0.0,,,,,
2021-05-06,1.2,2.2,3.0,,,,,
2021-05-07,3.8,4.0,4.0,,,,,
2021-05-08,16.8,19.8,22.8,,,,,
2021-05-09,0.2,0.2,0.2,,,,,
2021-05-10,0.0,0.0,0.0,,,,,
2021-05-11,0.6,0.6,0.6,,,,,
2021-05-12,0.2,0.2,0.2,,,,,
2021-05-13,0.0,0.0,0.0,,,,,
2021-05-14,2.0,3.2,3.2,,,,,
2021-05-15,16.0,21.0,26.2,,,,,
2021-05-16,0.0,0.0,0.0,,,,,
2021-05-17,6.8,7.0,7.0,,,,,
2021-05-18,21.8,27.2,28.0,,,,,
2021-05-19,0.0,0.0,0.0,,,,,
2021-05-20,0.0,0.0,0.0,,,,,
2021-05-21,35.6,41.8,44.4,,,,,
2021-05-22,0.0,0.0,0.0,,,,,
2021-05-23,0.0,0.0,0.0,,,,,
2021-05-24,0.0,0.0,0.0,,,,,
2021-05-25,0.0,0.0,0.0,,,,,
2021-05-26,0.0,0.0,0.0,,,,,
2021-05-27,0.0,0.0,0.0,,,,,
2021-05-28,0.0,0.0,0.0,,,,,
2021-05-29,3.4,3.6,3.6,,,,,
2021-05-30,0.0,0.0,0.0,,,,,
2021-05-31,1.6,1.6,1.6,,,,,
2021-06-01,0.0,0.0,0.0,,,,,
2021-06-02,16.2,21.4,21.8,,,,,
2021-06-03,1.8,1.8,1.8,,,,,
2021-06-04,3.0,3.0,3.0,,,,,
2021-06-05,12.2,12.6,12.6,,,,,
2021-06-06,0.0,0.0,0.0,,,,,
2021-06-07,3.0,3.0,3.0,,,,,
2021-06-08,0.0,0.0,0.0,,,,,
2021-06-09,0.0,0.0,0.0,,,,,
2021-06-10,4.8,5.4,9.6,,,,,
2021-06-11,0.0,0.2,0.2,,,,,
2021-06-12,0.0,0.0,0.0,,,,,
2021-06-13,4.6,7.8,9.8,,,,,
2021-06-14,0.0,0.0,0.0,,,,,
2021-06-15,0.6,0.8,0.8,,,,,
2021-06-16,0.0,0.0,0.0,,,,,
2021-06-17,0.0,0.0,0.0,,,,,
2021-06-18,15.0,24.6,27.2,,,,,
2021-06-19,0.0,0.0,0.0,,,,,
2021-06-20,2.8,3.2,5.0,,,,,
2021-06-21,0.0,0.0,0.6,,,,,
2021-06-22,2.4,2.4,2.4,,,,,
2021-06-23,0.0,0.0,0.0,,,,,
2021-06-24,0.8,1.2,1.6,,,,,
2021-06-25,0.2,0.2,0.2,,,,,
2021-06-26,5.8,7.6,7.6,,,,,
2021-06-27,0.6,0.8,0.8,,,,,
2021-06-28,0.2,0.2,0.2,,,,,
2021-06-29,9.4,9.6,9.6,,,,,
2021-06-30,0.0,0.2,3.6,,,,,
2021-07-01,0.0,0.0,0.0,,,,,
2021-07-02,0.0,0.0,0.0,,,,,
2021-07-03,12.6,22.4,33.6,,,,,
2021-07-04,21.4,29.0,29.8,,,,,
2021-07-05,13.6,13.8,14.0,,,,,
2021-07-06,3.4,3.4,3.4,,,,,
2021-07-07,0.0,0.0,0.0,,,,,
2021-07-08,0.0,0.0,0.0,,,,,
2021-07-09,14.8,15.4,15.4,,,,,
2021-07-10,2.4,3.8,5.0,,,,,
2021-07-11,9.6,12.6,13.0,,,,,
2021-07-12,11.0,18.4,26.8,,,,,
2021-07-13,6.6,9.4,11.2,,,,,
2021-07-14,0.2,0.2,0.2,,,,,
2021-07-15,0.0,0.0,0.0,,,,,
2021-07-16,0.0,0.0,0.0,,,,,
2021-07-17,0.0,0.0,0.0,,,,,
2021-07-18,0.0,0.0,0.0,,,,,
2021-07-19,0.6,0.8,0.8,,,,,
2021-07-20,0.0,0.0,0.0,,,,,
2021-07-21,0.0,0.0,0.0,,,,,
2021-07-22,0.0,0.0,0.0,,,,,
2021-07-23,2.0,2.0,2.0,,,,,
2021-07-24,0.0,0.2,0.6,,,,,
2021-07-25,0.0,0.0,0.0,,,,,
2021-07-26,0.0,0.0,0.0,,,,,
2021-07-27,0.0,0.0,0.0,,,,,
2021-07-28,0.0,0.0,0.0,,,,,
2021-07-29,0.0,0.0,0.0,,,,,
2021-07-30,0.0,0.0,0.0,,,,,
2021-07-31,1.4,1.4,1.4,,,,,
2021-08-01,31.4,42.2,43.6,,,,,
2021-08-02,0.0,0.0,0.0,,,,,
2021-08-03,2.8,3.0,3.0,,,,,
2021-08-04,3.2,6.0,6.2,,,,,
2021-08-05,0.0,0.0,0.0,,,,,
2021-08-06,0.0,0.0,0.0,,,,,
2021-08-07,3.4,4.6,4.6,,,,,
2021-08-08,0.0,0.0,0.0,,,,,
2021-08-09,0.0,0.0,0.0,,,,,
2021-08-10,0.0,0.0,0.0,,,,,
2021-08-11,12.4,12.4,12.4,,,,,
2021-08-12,14.4,15.8,15.8,,,,,
2021-08-13,2.2,2.4,2.4,,,,,
2021-08-14,1.6,1.6,1.6,,,,,
2021-08-15,11.2,12.4,16.2,,,,,
2021-08-16,1.0,2.0,4.6,,,,,
2021-08-17,24.0,32.8,36.8,,,,,
2021-08-18,0.8,1.0,1.6,,,,,
2021-08-19,21.6,25.0,30.2,,,,,
2021-08-20,32.8,36.6,40.6,,,,,
2021-08-21,0.2,0.2,0.2,,,,,
2021-08-22,37.2,50.0,52.4,,,,,
2021-08-23,0.0,0.0,0.0,,,,,
2021-08-24,9.8,10.6,17.4,,,,,
2021-08-25,2.4,2.6,4.0,,,,,
2021-08-26,0.8,1.0,1.4,,,,,
2021-08-27,0.2,0.2,0.2,,,,,
2021-08-28,0.0,0.0,0.0,,,,,
2021-08-29,7.2,8.2,8.2,,,,,
2021-08-30,26.8,49.2,63.8,,,,,
2021-08-31,3.8,6.4,7.0,,,,,
2021-09-01,23.0,24.6,24.8,,,,,
2021-09-02,35.4,43.0,46.4,,,,,
2021-09-03,0.0,0.0,0.0,,,,,
2021-09-04,1.2,1.2,1.2,,,,,
2021-09-05,0.0,0.0,0.0,,,,,
2021-09-06,2.0,2.0,2.0,,,,,
2021-09-07,0.2,0.2,0.2,,,,,
2021-09-08,3.8,3.8,4.2,,,,,
2021-09-09,0.0,0.0,0.0,,,,,
2021-09-10,11.4,14.2,15.2,,,,,
2021-09-11,0.0,0.0,0.0,,,,,
2021-09-12,0.0,0.0,0.0,,,,,
2021-09-13,0.8,1.0,1.0,,,,,
2021-09-14,0.0,0.0,0.0,,,,,
2021-09-15,0.0,0.0,0.0,,,,,
2021-09-16,4.8,4.8,4.8,,,,,
2021-09-17,0.0,0.0,0.0,,,,,
2021-09-18,0.0,0.0,0.0,,,,,
2021-09-19,2.8,2.8,4.0,,,,,
2021-09-20,1.2,1.2,1.2,,,,,
2021-09-21,0.0,0.0,0.0,,,,,
2021-09-22,0.0,0.0,0.0,,,,,
2021-09-23,0.6,0.6,0.6,,,,,
2021-09-24,0.0,0.0,0.0,,,,,
2021-09-25,4.2,4.4,4.6,,,,,
2021-09-26,8.4,8.4,8.4,,,,,
2021-09-27,9.0,9.8,9.8,,,,,
2021-09-28,8.8,10.6,13.0,,,,,
2021-09-29,0.0,0.0,0.0,,,,,
2021-09-30,9.2,12.2,13.8,,,,,
2021-10-01,13.6,17.6,22.2,,,,,
2021-10-02,4.8,6.0,6.0,,,,,
2021-10-03,0.0,0.0,0.0,,,,,
2021-10-04,0.0,0.0,0.0,,,,,
2021-10-05,0.2,0.2,0.2,,,,,
2021-10-06,0.0,0.0,0.0,,,,,
2021-10-07,2.8,2.8,2.8,,,,,
2021-10-08,0.0,0.0,0.0,,,,,
2021-10-09,0.0,0.0,0.0,,,,,
2021-10-10,6.2,7.0,7.8,,,,,
2021-10-11,0.2,0.2,0.2,,,,,
2021-10-12,0.0,0.0,0.0,,,,,
2021-10-13,0.0,0.0,0.0,,,,,
2021-10-14,0.0,0.0,0.0,,,,,
2021-10-15,0.0,0.0,0.0,,,,,
2021-10-16,0.0,0.0,0.0,,,,,
2021-10-17,0.8,0.8,1.4,,,,,
2021-10-18,12.8,13.2,13.4,,,,,
2021-10-19,0.0,0.0,0.0,,,,,
2021-10-20,4.6,5.8,8.6,,,,,
2021-10-21,0.0,0.0,0.0,,,,,
2021-10-22,0.0,0.0,0.0,,,,,
2021-10-23,2.8,3.4,3.4,,,,,
2021-10-24,0.0,0.0,0.0,,,,,
2021-10-25,10.6,11.0,17.0,,,,,
2021-10-26,2.0,2.0,2.0,,,,,
2021-10-27,0.4,0.4,0.6,,,,,
2021-10-28,3.8,3.8,3.8,,,,,
2021-10-29,0.0,0.0,0.0,,,,,
2021-10-30,0.4,0.4,0.4,,,,,
2021-10-31,4.2,4.2,4.6,,,,,
2021-11-01,9.0,11.8,13.4,,,,,
2021-11-02,13.8,21.6,25.2,,,,,
2021-11-03,0.2,0.4,0.4,,,,,
2021-11-04,0.2,0.4,0.4,,,,,
2021-11-05,1.4,1.4,1.4,,,,,
2021-11-06,24.2,32.4,32.6,,,,,
2021-11-07,6.0,6.8,7.2,,,,,
2021-11-08,0.8,1.2,1.4,,,,,
2021-11-09,21.2,22.6,24.4,,,,,
2021-11-10,24.0,42.8,63.4,,,,,
2021-11-11,0.4,0.4,0.6,,,,,
2021-11-12,5.4,6.2,6.4,,,,,
2021-11-13,2.4,2.6,3.0,,,,,
2021-11-14,0.0,0.0,0.0,,,,,
2021-11-15,3.2,3.4,3.4,,,,,
2021-11-16,0.0,0.0,0.0,,,,,
2021-11-17,4.4,5.0,5.0,,,,,
2021-11-18,11.8,18.4,27.8,,,,,
2021-11-19,0.0,0.0,0.0,,,,,
2021-11-20,3.6,4.4,4.8,,,,,
2021-11-21,13.8,13.8,14.0,,,,,
2021-11-22,2.0,2.2,2.2,,,,,
2021-11-23,13.0,13.2,13.4,,,,,
2021-11-24,8.2,9.8,12.8,,,,,
2021-11-25,0.0,0.0,0.0,,,,,
2021-11-26,0.0,0.0,0.0,,,,,
