Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,26.6,29.8,24.3,7.2,20.7
2023-01-02,0.0,0.0,0.0,27.2,31.9,23.8,8.3,26.6
2023-01-03,0.8,0.8,0.8,26.5,33.0,24.0,7.0,25.9
2023-01-04,0.0,0.0,0.0,26.5,29.6,24.3,8.8,29.2
2023-01-05,4.2,4.2,4.2,26.6,31.9,24.3,6.6,32.1
2023-01-06,1.2,1.2,1.2,27.8,33.1,24.3,8.3,26.4
2023-01-07,0.0,0.0,0.0,27.1,30.8,24.4,7.5,25.8
2023-01-08,0.0,0.0,0.0,27.9,32.8,24.3,9.4,34.5
2023-01-09,0.0,0.0,0.0,27.6,32.4,24.5,6.8,24.1
2023-01-10,0.0,0.0,0.0,27.2,32.1,24.5,5.8,25.8
2023-01-11,6.1,6.5,6.5,25.8,29.3,24.2,4.6,23.4
2023-01-12,0.0,0.0,0.0,27.2,32.6,23.1,5.2,18.2
2023-01-13,0.2,0.2,0.2,26.2,32.0,24.3,4.0,18.5
2023-01-14,13.7,14.1,14.1,26.5,32.5,23.7,4.5,22.7
2023-01-15,2.5,2.5,2.5,27.1,31.7,24.0,7.4,108.4
2023-01-16,0.0,0.0,0.0,27.0,31.7,24.2,8.0,31.5
2023-01-17,0.0,0.0,0.0,27.9,33.0,25.1,9.8,27.6
2023-01-18,0.0,0.0,0.0,26.9,31.6,24.0,10.4,36.5
2023-01-19,5.7,5.7,8.3,25.7,29.6,23.7,6.9,37.8
2023-01-20,2.2,2.2,3.0,25.4,28.0,23.5,6.4,31.3
2023-01-21,0.2,0.2,0.2,26.8,31.5,23.7,6.6,32.2
2023-01-22,8.5,14.5,22.4,25.2,29.3,24.0,5.1,24.0
2023-01-23,13.5,13.7,13.7,24.6,27.2,23.4,3.6,32.9
2023-01-24,2.2,4.0,6.9,23.7,24.4,22.4,5.9,18.9
2023-01-25,10.9,13.1,19.4,23.5,24.8,22.5,5.1,19.7
2023-01-26,5.0,5.7,6.5,24.6,27.7,22.8,6.8,34.2
2023-01-27,0.0,0.0,0.0,26.7,31.0,23.4,9.4,31.8
2023-01-28,1.2,2.2,3.0,24.1,25.3,23.4,10.5,36.4
2023-01-29,1.6,2.8,4.2,24.1,25.8,23.1,11.7,36.2
2023-01-30,2.2,2.2,2.4,25.1,27.9,23.5,9.1,30.6
2023-01-31,4.8,5.1,5.7,24.7,26.7,23.6,6.6,24.0
2023-02-01,0.0,0.0,0.0,26.2,30.7,22.9,7.2,28.8
2023-02-02,12.3,13.1,13.5,26.1,31.8,23.7,7.4,24.5
2023-02-03,22.8,23.2,23.6,26.0,31.5,23.6,6.5,42.5
2023-02-04,0.8,1.4,2.6,24.5,27.9,23.6,6.9,31.4
2023-02-05,15.4,20.6,21.8,25.5,31.6,23.5,5.3,22.6
2023-02-06,0.0,0.0,0.0,25.7,29.4,23.5,7.6,26.0
2023-02-07,0.0,0.0,0.0,26.8,31.9,23.3,6.8,20.3
2023-02-08,3.8,5.7,7.1,26.5,31.5,24.0,8.5,28.2
2023-02-09,16.0,16.4,16.4,26.8,31.0,24.6,7.2,20.2
2023-02-10,2.6,2.6,4.6,27.0,32.6,24.3,7.2,24.1
2023-02-11,8.1,8.1,8.1,26.9,31.3,24.9,7.8,25.0
2023-02-12,16.4,22.2,23.8,25.0,31.1,22.7,5.8,25.6
2023-02-13,0.2,0.2,0.2,26.7,32.2,23.2,5.4,17.9
2023-02-14,1.4,1.4,1.4,26.5,32.5,24.7,6.6,23.0
2023-02-15,14.7,18.2,18.6,25.7,28.9,22.0,8.8,25.8
2023-02-16,0.0,0.0,0.0,26.2,30.5,22.1,7.5,26.4
2023-02-17,3.0,3.0,3.0,26.0,30.5,22.6,7.5,29.0
2023-02-18,0.0,0.0,0.2,27.3,32.7,23.6,9.6,28.0
2023-02-19,0.6,0.6,0.8,27.4,32.7,24.9,9.6,25.1
2023-02-20,7.7,9.9,10.7,26.2,30.5,24.3,7.5,28.9
2023-02-21,0.0,0.0,0.0,26.7,31.0,23.0,11.3,30.6
2023-02-22,1.2,1.2,1.6,26.7,30.4,24.5,9.5,27.0
2023-02-23,0.0,0.0,0.0,27.1,31.6,24.4,9.3,29.8
2023-02-24,0.0,0.0,0.0,27.5,32.0,24.9,10.8,27.1
2023-02-25,0.0,0.0,0.0,26.8,31.4,23.5,9.4,29.3
2023-02-26,0.6,0.6,0.8,27.0,31.9,24.1,15.0,44.0
2023-02-27,1.8,2.0,2.0,26.3,30.5,23.6,10.6,38.7
2023-02-28,27.1,38.8,66.1,24.3,26.8,22.3,7.3,42.2
2023-03-01,7.9,13.7,29.7,23.3,26.0,21.8,7.5,24.8
2023-03-02,6.7,10.9,15.6,24.3,30.7,22.6,5.9,31.9
2023-03-03,3.6,4.4,5.5,24.2,25.6,23.3,5.0,22.0
2023-03-04,7.5,10.1,14.1,23.9,24.7,22.3,9.9,32.1
2023-03-05,2.0,2.0,2.0,25.3,29.4,23.4,7.7,41.4
2023-03-06,0.2,0.2,0.2,25.7,31.5,22.5,9.3,30.2
2023-03-07,0.0,0.0,0.0,26.0,29.8,23.7,11.5,31.7
2023-03-08,8.5,8.7,10.1,25.8,30.6,23.1,9.1,33.3
2023-03-09,0.0,0.0,0.0,27.1,31.2,24.5,14.0,33.3
2023-03-10,0.0,0.0,0.0,27.3,31.0,25.1,13.8,29.9
2023-03-11,0.0,0.0,0.0,27.3,31.5,25.1,13.6,26.6
2023-03-12,0.0,0.0,0.0,27.1,32.1,24.6,11.4,25.1
2023-03-13,0.0,0.0,0.0,26.9,31.0,24.8,14.8,39.1
2023-03-14,0.0,0.0,0.0,26.3,30.3,23.6,11.1,28.2
2023-03-15,0.0,0.0,0.0,26.6,30.5,23.8,12.5,26.4
2023-03-16,0.0,0.0,0.0,27.3,32.3,24.2,13.9,31.6
2023-03-17,0.0,0.0,0.0,27.7,32.1,24.9,13.6,28.4
2023-03-18,0.0,0.0,0.0,27.5,31.3,24.7,12.9,28.9
2023-03-19,1.2,1.2,1.2,27.2,31.9,25.0,8.7,29.4
2023-03-20,34.5,53.7,60.8,26.5,32.1,23.5,8.0,32.6
2023-03-21,5.1,8.3,9.5,26.6,31.4,23.0,6.3,32.2
2023-03-22,0.2,0.2,0.2,27.3,32.7,24.7,5.7,21.3
2023-03-23,0.0,0.0,0.0,27.7,34.2,24.6,6.4,40.9
2023-03-24,1.0,1.0,1.6,26.9,32.3,24.9,4.8,21.0
2023-03-25,1.4,1.8,3.2,25.7,31.0,23.8,5.5,30.0
2023-03-26,0.8,1.0,1.0,26.7,33.0,24.0,5.3,25.6
2023-03-27,6.7,8.3,11.7,25.1,26.8,23.2,4.3,26.7
2023-03-28,0.0,0.0,0.0,27.9,33.6,23.9,6.2,23.9
2023-03-29,0.0,0.0,0.0,27.3,33.0,24.4,7.3,25.3
2023-03-30,24.8,35.6,59.6,26.5,32.8,22.1,7.5,31.9
2023-03-31,5.5,8.1,9.9,26.3,33.5,23.7,4.8,26.6
2023-04-01,0.2,0.2,0.2,26.5,31.0,24.4,5.5,27.0
