Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,9.8,10.0,10.0,,,,,
2022-01-02,24.6,33.2,53.4,,,,,
2022-01-03,0.6,0.6,0.6,,,,,
2022-01-04,8.2,11.0,11.2,,,,,
2022-01-05,0.2,0.2,0.2,,,,,
2022-01-06,0.0,0.0,0.0,,,,,
2022-01-07,39.4,65.2,68.6,,,,,
2022-01-08,0.0,0.0,0.0,,,,,
2022-01-09,1.0,1.0,1.0,,,,,
2022-01-10,0.0,0.0,0.0,,,,,
2022-01-11,0.0,0.0,0.0,,,,,
2022-01-12,0.0,0.0,0.0,,,,,
2022-01-13,0.0,0.0,0.0,,,,,
2022-01-14,0.0,0.0,0.0,,,,,
2022-01-15,0.0,0.0,0.0,,,,,
2022-01-16,0.0,0.0,0.0,,,,,
2022-01-17,0.2,0.2,0.2,,,,,
2022-01-18,0.0,0.0,0.0,,,,,
2022-01-19,1.6,1.6,1.8,,,,,
2022-01-20,6.4,6.4,6.4,,,,,
2022-01-21,0.0,0.0,0.0,,,,,
2022-01-22,0.0,0.0,0.0,,,,,
2022-01-23,0.0,0.0,0.0,,,,,
2022-01-24,0.0,0.0,0.0,,,,,
2022-01-25,0.0,0.0,0.0,,,,,
2022-01-26,0.0,0.0,0.0,,,,,
2022-01-27,0.0,0.0,0.0,,,,,
2022-01-28,0.0,0.0,0.0,,,,,
2022-01-29,0.0,0.0,0.0,,,,,
2022-01-30,1.4,2.2,2.2,,,,,
2022-01-31,0.0,0.0,0.0,,,,,
2022-02-01,0.0,0.0,0.0,,,,,
2022-02-02,0.0,0.0,0.0,,,,,
2022-02-03,0.0,0.0,0.0,,,,,
2022-02-04,0.0,0.0,0.0,,,,,
2022-02-05,3.4,3.4,3.4,,,,,
2022-02-06,5.0,5.2,7.4,,,,,
2022-02-07,0.8,1.2,1.4,,,,,
2022-02-08,0.2,0.4,0.4,,,,,
2022-02-09,2.6,4.0,4.0,,,,,
2022-02-10,2.0,3.2,4.8,,,,,
2022-02-11,6.0,6.6,9.8,,,,,
2022-02-12,3.8,4.2,4.4,,,,,
2022-02-13,7.6,7.6,8.8,,,,,
2022-02-14,0.0,0.0,0.0,,,,,
2022-02-15,0.0,0.0,0.0,,,,,
2022-02-16,2.0,2.6,3.0,,,,,
2022-02-17,0.0,0.0,0.0,,,,,
2022-02-18,0.0,0.0,0.0,,,,,
2022-02-19,2.8,2.8,3.0,,,,,
2022-02-20,12.0,18.4,24.8,,,,,
2022-02-21,0.0,0.0,0.0,,,,,
2022-02-22,0.0,0.0,0.0,,,,,
2022-02-23,0.0,0.0,0.0,,,,,
2022-02-24,6.0,10.2,11.4,,,,,
2022-02-25,0.0,0.0,0.0,,,,,
2022-02-26,0.0,0.0,0.0,,,,,
2022-02-27,10.4,13.8,18.4,,,,,
2022-02-28,0.0,0.0,0.0,,,,,
2022-03-01,0.0,0.0,0.0,,,,,
2022-03-02,23.6,26.8,32.6,,,,,
2022-03-03,24.2,25.0,25.2,,,,,
2022-03-04,0.4,0.4,0.4,,,,,
2022-03-05,25.8,26.6,29.4,,,,,
2022-03-06,0.0,0.0,0.0,,,,,
2022-03-07,18.8,21.0,21.6,,,,,
2022-03-08,0.2,0.2,0.2,,,,,
2022-03-09,0.0,0.0,0.0,,,,,
2022-03-10,18.0,21.0,23.4,,,,,
2022-03-11,19.4,19.6,19.6,,,,,
2022-03-12,1.2,1.4,1.4,,,,,
2022-03-13,0.0,0.0,0.0,,,,,
2022-03-14,0.2,0.2,0.2,,,,,
2022-03-15,20.6,33.8,35.0,,,,,
2022-03-16,3.2,3.4,3.4,,,,,
2022-03-17,1.6,1.6,1.6,,,,,
2022-03-18,0.0,0.0,0.0,,,,,
2022-03-19,0.0,0.0,0.0,,,,,
2022-03-20,0.0,0.0,0.0,,,,,
2022-03-21,2.2,2.8,3.0,,,,,
2022-03-22,15.2,15.4,15.4,,,,,
2022-03-23,0.0,0.0,0.0,,,,,
2022-03-24,8.4,9.0,9.2,,,,,
2022-03-25,3.4,3.6,3.6,,,,,
2022-03-26,0.0,0.0,0.0,,,,,
2022-03-27,0.0,0.0,0.0,,,,,
2022-03-28,3.2,5.4,6.0,,,,,
2022-03-29,53.0,78.8,83.6,,,,,
2022-03-30,0.0,0.0,0.0,,,,,
2022-03-31,5.8,6.2,6.2,,,,,
2022-04-01,0.0,0.0,0.0,,,,,
2022-04-02,1.8,1.8,1.8,,,,,
2022-04-03,1.0,1.8,2.0,,,,,
2022-04-04,0.0,0.0,0.0,,,,,
