Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,8.2,11.0,14.6,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,0.4,0.6,0.6,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,0.0,0.0,0.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,4.2,6.0,7.4,,,,,
2023-01-14,0.2,0.2,0.2,,,,,
2023-01-15,0.0,0.0,0.0,,,,,
2023-01-16,1.0,1.0,1.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,12.4,12.4,19.0,,,,,
2023-01-20,6.4,6.4,6.4,,,,,
2023-01-21,1.6,1.8,2.4,,,,,
2023-01-22,17.2,21.4,30.2,,,,,
2023-01-23,6.2,6.2,6.2,,,,,
2023-01-24,1.6,2.6,4.8,,,,,
2023-01-25,10.4,12.4,22.6,,,,,
2023-01-26,1.2,2.0,3.2,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.0,1.6,2.6,,,,,
2023-01-29,1.4,2.4,4.2,,,,,
2023-01-30,0.6,1.0,1.0,,,,,
2023-01-31,0.6,1.2,1.6,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,29.0,34.4,41.8,,,,,
2023-02-03,15.4,17.2,18.0,,,,,
2023-02-04,1.4,1.8,2.8,,,,,
2023-02-05,2.6,3.8,4.0,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,0.8,1.0,1.0,,,,,
2023-02-09,0.8,0.8,0.8,,,,,
2023-02-10,3.0,3.0,3.0,,,,,
2023-02-11,6.2,6.2,6.2,,,,,
2023-02-12,4.8,5.0,5.4,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,0.0,0.0,0.0,,,,,
2023-02-15,15.0,27.2,30.8,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,16.6,25.4,26.4,,,,,
2023-02-18,1.0,1.2,2.2,,,,,
2023-02-19,5.6,6.6,6.8,,,,,
2023-02-20,1.0,1.2,2.0,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,2.8,2.8,2.8,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.0,0.0,0.0,,,,,
2023-02-27,0.4,0.4,0.4,,,,,
2023-02-28,26.0,42.2,65.2,,,,,
2023-03-01,5.6,14.0,46.4,,,,,
2023-03-02,8.2,14.4,20.0,,,,,
2023-03-03,4.4,5.2,6.4,,,,,
2023-03-04,2.8,5.2,7.8,,,,,
2023-03-05,0.8,0.8,1.2,,,,,
2023-03-06,0.0,0.0,0.0,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,20.2,23.2,24.8,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.8,0.8,0.8,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,0.0,0.0,0.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,1.8,2.0,2.4,,,,,
2023-03-20,11.2,12.0,13.4,,,,,
2023-03-21,2.2,2.2,2.2,,,,,
2023-03-22,0.4,0.4,0.4,,,,,
2023-03-23,10.8,12.4,18.4,,,,,
2023-03-24,1.0,1.0,1.2,,,,,
2023-03-25,0.8,1.0,1.2,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,8.6,11.8,13.8,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,0.0,0.0,0.0,,,,,
2023-03-30,20.8,22.0,22.2,,,,,
2023-03-31,6.2,7.0,9.0,,,,,
2023-04-01,0.4,0.4,0.6,,,,,
2023-04-02,0.0,0.0,0.0,,,,,
2023-04-03,7.8,8.8,10.4,,,,,
2023-04-04,0.2,0.4,0.4,,,,,
2023-04-05,4.6,4.8,5.0,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,25.0,27.4,27.6,,,,,
2023-04-09,4.4,5.4,5.6,,,,,
2023-04-10,0.0,0.0,0.0,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,0.0,0.0,0.0,,,,,
2023-04-15,0.0,0.0,0.0,,,,,
2023-04-16,1.0,1.0,1.0,,,,,
2023-04-17,0.0,0.0,0.0,,,,,
2023-04-18,33.0,40.6,42.4,,,,,
2023-04-19,0.2,0.2,0.2,,,,,
2023-04-20,7.4,9.6,10.4,,,,,
2023-04-21,2.0,2.6,3.4,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,21.0,23.0,23.0,,,,,
2023-04-24,19.2,22.2,27.8,,,,,
2023-04-25,8.2,9.6,9.6,,,,,
2023-04-26,6.6,6.6,6.6,,,,,
2023-04-27,12.4,12.4,12.4,,,,,
2023-04-28,3.4,4.4,6.6,,,,,
2023-04-29,7.0,7.0,7.8,,,,,
