Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2022-01-01,2.2,2.6,3.2,25.7,29.7,24.2,5.8,26.3
2022-01-02,2.2,4.0,7.6,24.7,25.9,23.9,6.6,23.7
2022-01-03,0.4,0.6,0.8,25.8,28.9,23.9,7.9,23.3
2022-01-04,11.0,11.4,11.4,26.0,29.5,24.3,7.9,21.7
2022-01-05,0.0,0.0,0.0,27.6,31.9,25.1,9.4,25.6
2022-01-06,1.2,1.2,1.2,28.5,32.5,26.0,10.4,25.6
2022-01-07,11.8,12.4,12.4,27.4,32.1,24.2,8.2,29.1
2022-01-08,0.4,0.4,0.4,27.7,31.3,25.7,8.1,25.2
2022-01-09,0.0,0.0,0.0,28.4,32.7,25.9,8.6,27.8
2022-01-10,0.0,0.0,0.0,28.3,32.9,25.8,10.9,29.8
2022-01-11,6.0,6.0,6.0,27.4,32.8,25.2,8.4,27.4
2022-01-12,0.0,0.0,0.0,27.9,32.8,25.5,9.0,30.6
2022-01-13,0.0,0.0,0.0,27.9,33.2,24.8,10.5,27.0
2022-01-14,0.0,0.0,0.0,27.8,32.9,25.2,10.9,28.2
2022-01-15,0.0,0.0,0.0,28.0,32.6,25.6,9.1,25.6
2022-01-16,30.2,39.8,41.2,27.6,32.6,24.0,9.2,32.8
2022-01-17,0.2,0.2,0.2,27.4,30.5,25.6,7.0,23.7
2022-01-18,0.0,0.0,0.0,28.1,32.3,25.4,10.0,25.9
2022-01-19,0.2,0.2,0.2,27.7,31.5,25.4,8.8,43.5
2022-01-20,4.4,4.4,4.4,27.5,32.5,25.8,7.2,26.7
2022-01-21,0.0,0.0,0.0,27.6,32.0,24.9,7.2,26.7
2022-01-22,0.0,0.0,0.0,27.8,32.6,25.5,7.4,24.8
2022-01-23,0.0,0.0,0.0,28.2,32.7,25.6,6.1,24.4
2022-01-24,0.0,0.0,0.0,27.9,31.3,25.4,6.2,22.6
2022-01-25,0.0,0.0,0.0,28.2,32.9,25.5,7.9,24.4
2022-01-26,0.0,0.0,0.0,28.4,33.5,25.7,7.6,27.8
2022-01-27,0.0,0.0,0.0,28.0,32.7,25.5,6.5,23.0
