Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,11.8,12.2,16.4,,,,,
2023-01-04,0.2,0.2,0.2,,,,,
2023-01-05,10.2,13.4,13.4,,,,,
2023-01-06,0.0,0.0,0.0,,,,,
2023-01-07,0.0,0.0,0.0,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,2.2,2.2,2.2,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,11.8,13.6,13.6,,,,,
2023-01-14,11.2,12.8,13.0,,,,,
2023-01-15,0.2,0.2,0.2,,,,,
2023-01-16,0.4,0.4,0.6,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,1.6,1.6,1.6,,,,,
2023-01-20,4.2,4.2,6.8,,,,,
2023-01-21,0.2,0.2,0.8,,,,,
2023-01-22,24.8,42.0,61.4,,,,,
2023-01-23,2.2,3.0,4.4,,,,,
2023-01-24,1.8,3.4,6.2,,,,,
2023-01-25,3.2,4.2,6.2,,,,,
2023-01-26,,,,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.8,2.6,4.0,,,,,
2023-01-29,1.6,3.0,4.2,,,,,
2023-01-30,0.8,1.0,1.2,,,,,
2023-01-31,1.0,1.6,2.0,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,13.0,14.8,19.8,,,,,
2023-02-03,1.6,2.6,3.0,,,,,
2023-02-04,1.0,1.8,3.0,,,,,
2023-02-05,11.4,15.2,18.8,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,31.0,38.2,39.6,,,,,
2023-02-09,0.2,0.2,0.2,,,,,
2023-02-10,11.8,12.0,12.0,,,,,
2023-02-11,2.6,2.6,2.6,,,,,
2023-02-12,8.2,11.8,14.0,,,,,
2023-02-13,0.0,0.0,0.0,,,,,
2023-02-14,6.8,6.8,6.8,,,,,
2023-02-15,9.6,16.2,21.0,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,2.0,2.2,2.2,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,4.8,4.8,5.6,,,,,
2023-02-20,1.8,1.8,1.8,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,3.4,3.4,3.8,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,0.0,0.0,0.0,,,,,
2023-02-27,0.4,0.6,0.6,,,,,
2023-02-28,26.4,40.6,68.6,,,,,
2023-03-01,7.8,14.4,21.4,,,,,
2023-03-02,18.6,23.2,27.2,,,,,
2023-03-03,6.2,7.6,8.8,,,,,
2023-03-04,7.6,11.6,16.4,,,,,
2023-03-05,1.4,1.4,1.4,,,,,
2023-03-06,0.0,0.0,0.0,,,,,
2023-03-07,0.0,0.0,0.0,,,,,
2023-03-08,0.2,0.2,0.2,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,6.4,6.4,7.0,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.4,0.4,0.4,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,18.8,18.8,19.0,,,,,
2023-03-20,13.8,17.0,17.4,,,,,
2023-03-21,1.8,3.4,3.6,,,,,
2023-03-22,5.0,5.0,5.0,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,0.6,0.6,0.8,,,,,
2023-03-25,3.6,4.2,5.8,,,,,
2023-03-26,0.0,0.0,0.0,,,,,
2023-03-27,2.6,3.0,3.6,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,4.0,4.6,6.6,,,,,
2023-03-30,20.2,33.2,37.2,,,,,
2023-03-31,13.6,17.0,24.8,,,,,
2023-04-01,19.2,26.0,27.6,,,,,
2023-04-02,0.2,0.2,0.2,,,,,
2023-04-03,15.8,26.6,29.8,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,4.8,7.8,8.0,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,41.4,53.0,55.0,,,,,
2023-04-09,21.4,31.2,32.2,,,,,
2023-04-10,8.2,8.2,8.2,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,0.0,0.0,0.0,,,,,
2023-04-14,0.0,0.0,0.0,,,,,
2023-04-15,0.0,0.0,0.0,,,,,
2023-04-16,0.2,0.2,0.2,,,,,
2023-04-17,25.8,27.6,27.6,,,,,
2023-04-18,1.8,1.8,2.4,,,,,
2023-04-19,7.2,7.2,7.2,,,,,
2023-04-20,18.2,22.8,22.8,,,,,
2023-04-21,1.0,1.2,1.6,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,0.0,0.0,0.0,,,,,
2023-04-24,2.8,2.8,2.8,,,,,
2023-04-25,0.4,0.4,0.4,,,,,
2023-04-26,2.4,2.4,2.4,,,,,
2023-04-27,0.2,0.2,0.2,,,,,
2023-04-28,2.2,2.2,3.0,,,,,
2023-04-29,2.4,2.4,3.0,,,,,
