Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2023-01-01,0.0,0.0,0.0,,,,,
2023-01-02,0.0,0.0,0.0,,,,,
2023-01-03,0.6,0.6,0.6,,,,,
2023-01-04,0.0,0.0,0.0,,,,,
2023-01-05,12.0,12.0,13.2,,,,,
2023-01-06,3.4,3.4,3.4,,,,,
2023-01-07,0.2,0.2,0.2,,,,,
2023-01-08,0.0,0.0,0.0,,,,,
2023-01-09,0.0,0.0,0.0,,,,,
2023-01-10,0.0,0.0,0.0,,,,,
2023-01-11,0.0,0.0,0.0,,,,,
2023-01-12,0.0,0.0,0.0,,,,,
2023-01-13,13.6,14.8,14.8,,,,,
2023-01-14,7.2,7.4,7.4,,,,,
2023-01-15,0.2,0.2,0.2,,,,,
2023-01-16,5.0,5.0,5.0,,,,,
2023-01-17,0.0,0.0,0.0,,,,,
2023-01-18,0.0,0.0,0.0,,,,,
2023-01-19,4.2,4.6,5.8,,,,,
2023-01-20,2.2,3.4,4.4,,,,,
2023-01-21,0.2,0.2,0.6,,,,,
2023-01-22,31.6,46.8,71.6,,,,,
2023-01-23,5.8,8.0,10.6,,,,,
2023-01-24,,,,,,,,
2023-01-25,,,,,,,,
2023-01-26,,,,,,,,
2023-01-27,0.0,0.0,0.0,,,,,
2023-01-28,1.4,2.4,3.8,,,,,
2023-01-29,,,,,,,,
2023-01-30,4.8,5.8,6.2,,,,,
2023-01-31,0.6,1.0,1.6,,,,,
2023-02-01,0.0,0.0,0.0,,,,,
2023-02-02,1.4,1.6,1.8,,,,,
2023-02-03,16.8,17.2,17.2,,,,,
2023-02-04,1.2,2.2,4.2,,,,,
2023-02-05,1.4,2.2,2.6,,,,,
2023-02-06,0.0,0.0,0.0,,,,,
2023-02-07,0.0,0.0,0.0,,,,,
2023-02-08,33.0,40.6,41.2,,,,,
2023-02-09,0.6,0.6,0.6,,,,,
2023-02-10,14.0,14.2,14.6,,,,,
2023-02-11,0.0,0.0,0.0,,,,,
2023-02-12,24.2,25.4,29.8,,,,,
2023-02-13,0.8,0.8,0.8,,,,,
2023-02-14,11.2,11.6,12.8,,,,,
2023-02-15,7.8,12.0,15.6,,,,,
2023-02-16,0.0,0.0,0.0,,,,,
2023-02-17,1.0,1.0,1.0,,,,,
2023-02-18,0.0,0.0,0.0,,,,,
2023-02-19,0.0,0.0,0.0,,,,,
2023-02-20,2.0,2.2,3.6,,,,,
2023-02-21,0.0,0.0,0.0,,,,,
2023-02-22,1.2,1.4,1.4,,,,,
2023-02-23,0.0,0.0,0.0,,,,,
2023-02-24,0.0,0.0,0.0,,,,,
2023-02-25,0.0,0.0,0.0,,,,,
2023-02-26,2.6,2.6,3.0,,,,,
2023-02-27,3.6,4.0,4.8,,,,,
2023-02-28,22.4,35.8,64.6,,,,,
2023-03-01,11.8,17.6,28.0,,,,,
2023-03-02,10.8,17.8,22.2,,,,,
2023-03-03,21.8,24.8,26.4,,,,,
2023-03-04,,,,,,,,
2023-03-05,2.4,3.0,5.0,,,,,
2023-03-06,0.2,0.2,0.2,,,,,
2023-03-07,0.2,0.2,0.2,,,,,
2023-03-08,0.2,0.2,0.2,,,,,
2023-03-09,0.0,0.0,0.0,,,,,
2023-03-10,0.0,0.0,0.0,,,,,
2023-03-11,0.0,0.0,0.0,,,,,
2023-03-12,4.8,6.0,6.6,,,,,
2023-03-13,0.0,0.0,0.0,,,,,
2023-03-14,0.0,0.0,0.0,,,,,
2023-03-15,0.0,0.0,0.0,,,,,
2023-03-16,0.0,0.0,0.0,,,,,
2023-03-17,0.0,0.0,0.0,,,,,
2023-03-18,0.0,0.0,0.0,,,,,
2023-03-19,14.0,14.4,16.8,,,,,
2023-03-20,16.0,24.2,26.8,,,,,
2023-03-21,3.4,3.6,5.0,,,,,
2023-03-22,5.2,5.2,5.2,,,,,
2023-03-23,0.0,0.0,0.0,,,,,
2023-03-24,12.6,14.4,14.4,,,,,
2023-03-25,5.4,6.8,9.8,,,,,
2023-03-26,24.4,26.2,26.2,,,,,
2023-03-27,0.6,1.0,1.4,,,,,
2023-03-28,0.0,0.0,0.0,,,,,
2023-03-29,3.2,3.8,5.6,,,,,
2023-03-30,25.4,33.2,41.8,,,,,
2023-03-31,4.8,4.8,6.2,,,,,
2023-04-01,12.6,18.0,19.2,,,,,
2023-04-02,0.0,0.2,0.2,,,,,
2023-04-03,5.8,10.6,13.4,,,,,
2023-04-04,0.0,0.0,0.0,,,,,
2023-04-05,4.2,6.2,6.4,,,,,
2023-04-06,0.0,0.0,0.0,,,,,
2023-04-07,0.0,0.0,0.0,,,,,
2023-04-08,8.8,12.4,13.2,,,,,
2023-04-09,0.2,0.2,0.2,,,,,
2023-04-10,8.2,8.6,11.8,,,,,
2023-04-11,0.0,0.0,0.0,,,,,
2023-04-12,0.0,0.0,0.0,,,,,
2023-04-13,4.0,4.0,4.0,,,,,
2023-04-14,19.8,19.8,19.8,,,,,
2023-04-15,1.0,1.0,1.0,,,,,
2023-04-16,0.0,0.0,0.0,,,,,
2023-04-17,11.0,11.8,12.0,,,,,
2023-04-18,13.4,13.6,13.6,,,,,
2023-04-19,1.8,2.4,2.4,,,,,
2023-04-20,16.6,17.2,17.2,,,,,
2023-04-21,1.2,1.6,1.6,,,,,
2023-04-22,0.0,0.0,0.0,,,,,
2023-04-23,9.4,9.4,9.4,,,,,
2023-04-24,2.2,2.2,2.2,,,,,
2023-04-25,1.4,1.4,1.4,,,,,
2023-04-26,0.8,0.8,0.8,,,,,
2023-04-27,24.4,29.2,29.6,,,,,
2023-04-28,23.8,30.4,32.6,,,,,
2023-04-29,19.8,23.0,24.0,,,,,
2023-04-30,4.8,5.2,5.2,,,,,
