Date,Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2021-01-01,15.0,27.2,44.4,,,,,
2021-01-02,19.4,24.6,38.8,,,,,
2021-01-03,0.8,1.2,2.0,,,,,
2021-01-04,0.2,0.2,0.2,,,,,
2021-01-05,0.0,0.0,0.0,,,,,
2021-01-06,0.0,0.0,0.0,,,,,
2021-01-07,0.6,0.6,0.6,,,,,
2021-01-08,5.8,5.8,6.2,,,,,
2021-01-09,23.2,30.8,31.8,,,,,
2021-01-10,12.8,23.0,35.6,,,,,
2021-01-11,0.4,1.4,4.6,,,,,
2021-01-12,13.4,14.2,15.2,,,,,
2021-01-13,0.6,1.0,1.0,,,,,
2021-01-14,0.0,0.0,0.0,,,,,
2021-01-15,0.0,0.0,0.0,,,,,
2021-01-16,0.0,0.0,0.0,,,,,
2021-01-17,0.0,0.0,0.0,,,,,
2021-01-18,0.0,0.0,0.0,,,,,
2021-01-19,0.0,0.0,0.0,,,,,
2021-01-20,0.0,0.0,0.0,,,,,
2021-01-21,21.0,30.8,31.6,,,,,
2021-01-22,10.4,19.2,20.8,,,,,
2021-01-23,9.4,14.0,15.6,,,,,
2021-01-24,0.0,0.0,0.0,,,,,
2021-01-25,0.4,0.6,0.8,,,,,
2021-01-26,0.0,0.0,0.0,,,,,
2021-01-27,0.0,0.0,0.0,,,,,
2021-01-28,3.2,3.6,4.4,,,,,
2021-01-29,0.0,0.0,0.0,,,,,
2021-01-30,0.0,0.0,0.0,,,,,
2021-01-31,6.6,6.6,6.6,,,,,
2021-02-01,0.0,0.0,0.0,,,,,
2021-02-02,0.0,0.0,0.0,,,,,
2021-02-03,0.0,0.0,0.0,,,,,
2021-02-04,0.0,0.0,0.0,,,,,
2021-02-05,0.0,0.0,0.0,,,,,
2021-02-06,0.0,0.0,0.0,,,,,
2021-02-07,0.0,0.0,0.0,,,,,
2021-02-08,0.4,0.4,0.4,,,,,
2021-02-09,3.4,4.4,6.4,,,,,
2021-02-10,0.0,0.0,0.0,,,,,
2021-02-11,0.4,0.4,0.4,,,,,
2021-02-12,4.6,4.6,4.6,,,,,
2021-02-13,0.4,0.4,0.4,,,,,
2021-02-14,0.2,0.2,0.2,,,,,
2021-02-15,0.0,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,,
2021-02-17,0.0,0.0,0.0,,,,,
2021-02-18,0.0,0.0,0.0,,,,,
2021-02-19,0.0,0.0,0.0,,,,,
2021-02-20,0.2,0.2,0.2,,,,,
2021-02-21,0.0,0.0,0.0,,,,,
2021-02-22,0.0,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,,
2021-02-24,0.2,0.2,0.2,,,,,
2021-02-25,0.0,0.0,0.0,,,,,
2021-02-26,0.0,0.0,0.0,,,,,
2021-02-27,0.0,0.0,0.0,,,,,
2021-02-28,0.0,0.0,0.0,,,,,
2021-03-01,0.0,0.0,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,,
2021-03-03,0.0,0.0,0.0,,,,,
2021-03-04,0.0,0.0,0.0,,,,,
2021-03-05,0.0,0.0,0.0,,,,,
2021-03-06,2.2,2.2,2.2,,,,,
2021-03-07,21.0,33.0,36.6,,,,,
2021-03-08,0.0,0.0,0.0,,,,,
2021-03-09,0.0,0.0,0.0,,,,,
2021-03-10,0.0,0.0,0.0,,,,,
2021-03-11,0.0,0.0,0.0,,,,,
2021-03-12,36.4,37.0,37.0,,,,,
2021-03-13,12.0,13.2,13.2,,,,,
2021-03-14,0.0,0.0,0.0,,,,,
2021-03-15,0.8,0.8,0.8,,,,,
2021-03-16,1.4,1.4,1.4,,,,,
2021-03-17,12.2,17.4,17.6,,,,,
2021-03-18,16.8,20.8,21.2,,,,,
2021-03-19,1.4,1.6,2.0,,,,,
2021-03-20,1.6,1.6,1.6,,,,,
2021-03-21,2.2,2.2,2.2,,,,,
2021-03-22,0.0,0.0,0.0,,,,,
2021-03-23,6.6,6.6,6.6,,,,,
2021-03-24,29.5,39.0,39.0,,,,,
2021-03-25,0.2,0.2,0.2,,,,,
2021-03-26,0.0,0.0,0.0,,,,,
2021-03-27,5.0,5.0,5.0,,,,,
2021-03-28,0.0,0.0,0.0,,,,,
2021-03-29,43.5,58.5,72.0,,,,,
2021-03-30,0.0,0.0,0.0,,,,,
2021-03-31,19.0,32.0,38.5,,,,,
2021-04-01,0.0,0.0,0.0,,,,,
2021-04-02,19.5,24.5,24.5,,,,,
2021-04-03,14.0,15.0,15.5,,,,,
2021-04-04,15.5,15.5,15.5,,,,,
2021-04-05,34.5,38.5,39.5,,,,,
2021-04-06,1.5,2.0,2.0,,,,,
2021-04-07,0.0,0.0,0.0,,,,,
2021-04-08,0.0,0.0,0.0,,,,,
2021-04-09,25.0,28.5,28.5,,,,,
2021-04-10,0.0,0.0,0.0,,,,,
2021-04-11,0.0,0.0,0.0,,,,,
2021-04-12,19.0,25.5,26.0,,,,,
